# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-07 23:16:35 UTC;1197664;1489632;6938872;85.28;41564;486824;12739704;82.32;5224616;1274564;13708
hn0-hadoop;5;2024-07-07 23:16:40 UTC;1195548;1487632;6940988;85.31;41564;486936;12744624;82.35;5227432;1274192;492
hn0-hadoop;5;2024-07-07 23:16:45 UTC;1198300;1490600;6938236;85.27;41564;487256;12731720;82.26;5221960;1274144;900
hn0-hadoop;5;2024-07-07 23:16:50 UTC;1194220;1486528;6942316;85.32;41576;487184;12738532;82.31;5224480;1274156;764
hn0-hadoop;5;2024-07-07 23:16:55 UTC;1191620;1484960;6944916;85.35;41576;488148;12744244;82.35;5225988;1275080;1736
hn0-hadoop;5;2024-07-07 23:17:00 UTC;1187444;1480828;6949092;85.41;41576;488192;12758212;82.44;5228736;1274820;1764
hn0-hadoop;5;2024-07-07 23:17:05 UTC;1185096;1478640;6951440;85.43;41608;488468;12753832;82.41;5230344;1274944;2188
hn0-hadoop;5;2024-07-07 23:17:10 UTC;1133116;1427356;7003420;86.07;41608;489096;12987024;83.91;5281560;1275488;2704
hn0-hadoop;5;2024-07-07 23:17:15 UTC;1020140;1315472;7116396;87.46;41608;490148;13038148;84.24;5393372;1276132;3668
hn0-hadoop;5;2024-07-07 23:17:20 UTC;1036160;1331404;7100376;87.27;41616;490176;13057384;84.37;5377256;1275656;3300
hn0-hadoop;5;2024-07-07 23:17:25 UTC;1113472;1408524;7023064;86.32;41616;489960;13100076;84.64;5298804;1275320;2072
hn0-hadoop;5;2024-07-07 23:17:30 UTC;922856;1226784;7213680;88.66;41624;500436;13340796;86.20;5477724;1285400;10332
hn0-hadoop;5;2024-07-07 23:17:35 UTC;788972;1085824;7347564;90.30;41636;493352;13790680;89.11;5617800;1278212;2528
hn0-hadoop;5;2024-07-07 23:17:40 UTC;772240;1069296;7364296;90.51;41640;493492;13420468;86.71;5636464;1277796;2504
hn0-hadoop;5;2024-07-07 23:17:45 UTC;716592;1014900;7419944;91.19;41640;494740;13858808;89.55;5690496;1278744;2496
