# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
hn0-hadoop;5;2024-07-07 23:47:59 UTC;-1;19.20;0.00;14.67;0.00;0.00;66.13
hn0-hadoop;5;2024-07-07 23:48:04 UTC;-1;56.93;0.00;27.67;0.00;0.00;15.39
hn0-hadoop;5;2024-07-07 23:48:09 UTC;-1;52.03;0.00;34.73;0.00;0.00;13.23
hn0-hadoop;5;2024-07-07 23:48:14 UTC;-1;51.44;0.00;33.78;3.65;0.00;11.13
hn0-hadoop;5;2024-07-07 23:48:19 UTC;-1;8.85;0.00;7.94;0.00;0.00;83.22
hn0-hadoop;5;2024-07-07 23:48:24 UTC;-1;7.35;0.00;7.78;0.00;0.00;84.87
hn0-hadoop;5;2024-07-07 23:48:29 UTC;-1;7.15;0.00;7.37;0.05;0.00;85.42
hn0-hadoop;5;2024-07-07 23:48:34 UTC;-1;8.52;0.00;9.11;0.00;0.00;82.37
hn0-hadoop;5;2024-07-07 23:48:39 UTC;-1;46.65;0.00;19.11;0.00;0.00;34.24
hn0-hadoop;5;2024-07-07 23:48:44 UTC;-1;65.33;0.00;22.70;0.32;0.00;11.64
hn0-hadoop;5;2024-07-07 23:48:49 UTC;-1;58.18;0.00;28.58;0.00;0.00;13.24
hn0-hadoop;5;2024-07-07 23:48:54 UTC;-1;59.50;0.00;28.43;0.06;0.00;12.00
hn0-hadoop;5;2024-07-07 23:48:59 UTC;-1;69.21;0.00;26.54;0.00;0.00;4.25
hn0-hadoop;5;2024-07-07 23:49:04 UTC;-1;67.16;0.00;29.89;0.00;0.00;2.95
hn0-hadoop;5;2024-07-07 23:49:09 UTC;-1;63.24;0.00;30.57;0.13;0.00;6.06
hn0-hadoop;5;2024-07-07 23:49:14 UTC;-1;56.37;0.00;31.92;0.58;0.00;11.13
hn0-hadoop;5;2024-07-07 23:49:19 UTC;-1;39.30;0.00;24.26;0.06;0.00;36.39
hn0-hadoop;5;2024-07-07 23:49:24 UTC;-1;31.45;0.00;26.11;7.72;0.00;34.72
hn0-hadoop;5;2024-07-07 23:49:29 UTC;-1;33.31;0.00;19.53;0.70;0.00;46.45
hn0-hadoop;5;2024-07-07 23:49:34 UTC;-1;40.62;0.00;12.76;0.00;0.00;46.62
hn0-hadoop;5;2024-07-07 23:49:39 UTC;-1;35.81;0.00;19.16;0.00;0.00;45.04
hn0-hadoop;5;2024-07-07 23:49:44 UTC;-1;27.17;0.00;11.99;0.06;0.00;60.79
hn0-hadoop;5;2024-07-07 23:49:49 UTC;-1;43.06;0.00;19.26;0.00;0.00;37.68
hn0-hadoop;5;2024-07-07 23:49:54 UTC;-1;21.59;0.00;10.79;0.28;0.00;67.34
hn0-hadoop;5;2024-07-07 23:49:59 UTC;-1;22.15;0.00;11.10;4.88;0.00;61.86
hn0-hadoop;5;2024-07-07 23:50:04 UTC;-1;8.94;0.00;6.20;0.92;0.00;83.94
hn0-hadoop;5;2024-07-07 23:50:09 UTC;-1;5.15;0.00;6.58;0.00;0.00;88.27
hn0-hadoop;5;2024-07-07 23:50:14 UTC;-1;6.71;0.00;6.29;0.00;0.00;87.00
hn0-hadoop;5;2024-07-07 23:50:19 UTC;-1;6.65;0.00;5.53;0.00;0.00;87.83
hn0-hadoop;5;2024-07-07 23:50:24 UTC;-1;18.42;0.00;9.60;0.22;0.00;71.76
hn0-hadoop;5;2024-07-07 23:50:29 UTC;-1;22.41;0.00;9.47;0.00;0.00;68.12
hn0-hadoop;5;2024-07-07 23:50:34 UTC;-1;20.98;0.00;9.53;0.00;0.00;69.49
hn0-hadoop;5;2024-07-07 23:50:39 UTC;-1;6.99;0.00;6.94;0.00;0.00;86.07
hn0-hadoop;5;2024-07-07 23:50:44 UTC;-1;11.86;0.00;6.28;0.00;0.00;81.85
hn0-hadoop;5;2024-07-07 23:50:49 UTC;-1;10.11;0.00;7.07;0.00;0.00;82.82
hn0-hadoop;5;2024-07-07 23:50:54 UTC;-1;5.72;0.00;5.19;0.05;0.00;89.03
hn0-hadoop;5;2024-07-07 23:50:59 UTC;-1;20.61;0.00;9.75;0.00;0.00;69.64
hn0-hadoop;5;2024-07-07 23:51:04 UTC;-1;21.69;0.00;9.33;0.06;0.00;68.93
hn0-hadoop;5;2024-07-07 23:51:09 UTC;-1;20.70;0.00;10.10;0.00;0.00;69.20
hn0-hadoop;5;2024-07-07 23:51:14 UTC;-1;7.07;0.00;5.72;0.22;0.00;86.99
hn0-hadoop;5;2024-07-07 23:51:19 UTC;-1;6.47;0.00;6.25;0.00;0.00;87.28
hn0-hadoop;5;2024-07-07 23:51:24 UTC;-1;6.31;0.00;5.10;0.00;0.00;88.58
hn0-hadoop;5;2024-07-07 23:51:29 UTC;-1;6.19;0.00;6.83;0.00;0.00;86.98
hn0-hadoop;5;2024-07-07 23:51:34 UTC;-1;32.85;0.00;13.08;0.00;0.00;54.06
hn0-hadoop;5;2024-07-07 23:51:39 UTC;-1;37.20;0.00;13.11;0.06;0.00;49.62
hn0-hadoop;5;2024-07-07 23:51:44 UTC;-1;21.66;0.00;9.43;0.22;0.00;68.69
hn0-hadoop;5;2024-07-07 23:51:49 UTC;-1;23.12;0.00;13.45;0.00;0.00;63.43
hn0-hadoop;5;2024-07-07 23:51:54 UTC;-1;42.75;0.00;15.74;0.12;0.00;41.39
hn0-hadoop;5;2024-07-07 23:51:59 UTC;-1;27.03;0.00;11.70;0.17;0.00;61.10
hn0-hadoop;5;2024-07-07 23:52:04 UTC;-1;7.83;0.00;5.64;0.21;0.00;86.32
hn0-hadoop;5;2024-07-07 23:52:09 UTC;-1;23.34;0.00;11.31;0.00;0.00;65.35
hn0-hadoop;5;2024-07-07 23:52:14 UTC;-1;22.87;0.00;11.18;0.28;0.00;65.66
hn0-hadoop;5;2024-07-07 23:52:19 UTC;-1;17.01;0.00;10.24;0.00;0.00;72.76
hn0-hadoop;5;2024-07-07 23:52:24 UTC;-1;6.29;0.00;5.92;0.05;0.00;87.74
hn0-hadoop;5;2024-07-07 23:52:29 UTC;-1;10.44;0.00;8.67;0.00;0.00;80.89
hn0-hadoop;5;2024-07-07 23:52:34 UTC;-1;14.04;0.00;6.69;0.00;0.00;79.28
hn0-hadoop;5;2024-07-07 23:52:39 UTC;-1;23.98;0.00;12.59;0.00;0.00;63.44
hn0-hadoop;5;2024-07-07 23:52:44 UTC;-1;45.55;0.00;17.97;0.12;0.00;36.36
hn0-hadoop;5;2024-07-07 23:52:49 UTC;-1;57.70;0.00;28.72;0.06;0.00;13.52
hn0-hadoop;5;2024-07-07 23:52:54 UTC;-1;20.01;0.00;10.59;0.00;0.00;69.40
hn0-hadoop;5;2024-07-07 23:52:59 UTC;-1;14.43;0.00;9.48;0.00;0.00;76.09
hn0-hadoop;5;2024-07-07 23:53:04 UTC;-1;44.34;0.00;14.08;0.00;0.00;41.58
hn0-hadoop;5;2024-07-07 23:53:09 UTC;-1;51.92;0.00;19.31;0.00;0.00;28.77
hn0-hadoop;5;2024-07-07 23:53:14 UTC;-1;21.89;0.00;11.98;0.45;0.00;65.68
hn0-hadoop;5;2024-07-07 23:53:19 UTC;-1;24.23;0.00;11.97;0.06;0.00;63.74
hn0-hadoop;5;2024-07-07 23:53:24 UTC;-1;21.56;0.00;9.15;0.00;0.00;69.29
hn0-hadoop;5;2024-07-07 23:53:29 UTC;-1;18.98;0.00;11.17;0.00;0.00;69.85
hn0-hadoop;5;2024-07-07 23:53:34 UTC;-1;6.87;0.00;7.34;0.00;0.00;85.79
hn0-hadoop;5;2024-07-07 23:53:39 UTC;-1;5.49;0.00;5.65;0.00;0.00;88.86
hn0-hadoop;5;2024-07-07 23:53:44 UTC;-1;13.63;0.00;8.41;0.05;0.00;77.90
hn0-hadoop;5;2024-07-07 23:53:49 UTC;-1;15.57;0.00;10.30;0.06;0.00;74.07
hn0-hadoop;5;2024-07-07 23:53:54 UTC;-1;22.48;0.00;10.68;0.00;0.00;66.83
hn0-hadoop;5;2024-07-07 23:53:59 UTC;-1;44.73;0.00;22.67;0.06;0.00;32.53
hn0-hadoop;5;2024-07-07 23:54:04 UTC;-1;58.40;0.00;20.67;0.00;0.00;20.92
hn0-hadoop;5;2024-07-07 23:54:09 UTC;-1;24.36;0.00;9.79;0.39;0.00;65.46
hn0-hadoop;5;2024-07-07 23:54:14 UTC;-1;8.09;0.00;7.40;0.37;0.00;84.14
hn0-hadoop;5;2024-07-07 23:54:19 UTC;-1;6.98;0.00;5.39;0.00;0.00;87.63
hn0-hadoop;5;2024-07-07 23:54:24 UTC;-1;8.87;0.00;5.34;0.00;0.00;85.78
hn0-hadoop;5;2024-07-07 23:54:29 UTC;-1;21.80;0.00;10.12;0.00;0.00;68.08
hn0-hadoop;5;2024-07-07 23:54:34 UTC;-1;20.17;0.00;9.19;0.00;0.00;70.64
hn0-hadoop;5;2024-07-07 23:54:39 UTC;-1;25.69;0.00;12.23;0.00;0.00;62.08
hn0-hadoop;5;2024-07-07 23:54:44 UTC;-1;8.43;0.00;5.69;0.11;0.00;85.78
hn0-hadoop;5;2024-07-07 23:54:49 UTC;-1;23.75;0.00;12.81;0.00;0.00;63.44
hn0-hadoop;5;2024-07-07 23:54:54 UTC;-1;43.93;0.00;15.37;0.06;0.00;40.64
hn0-hadoop;5;2024-07-07 23:54:59 UTC;-1;39.17;0.00;13.90;0.23;0.00;46.70
hn0-hadoop;5;2024-07-07 23:55:04 UTC;-1;22.81;0.00;10.88;0.17;0.00;66.15
hn0-hadoop;5;2024-07-07 23:55:09 UTC;-1;21.79;0.00;10.36;0.06;0.00;67.79
hn0-hadoop;5;2024-07-07 23:55:14 UTC;-1;13.27;0.00;8.23;0.54;0.00;77.95
hn0-hadoop;5;2024-07-07 23:55:19 UTC;-1;6.82;0.00;6.18;0.00;0.00;87.00
hn0-hadoop;5;2024-07-07 23:55:24 UTC;-1;5.27;0.00;5.48;0.00;0.00;89.25
hn0-hadoop;5;2024-07-07 23:55:29 UTC;-1;5.32;0.00;5.21;0.00;0.00;89.47
hn0-hadoop;5;2024-07-07 23:55:34 UTC;-1;13.30;0.00;7.35;0.00;0.00;79.35
hn0-hadoop;5;2024-07-07 23:55:39 UTC;-1;22.24;0.00;10.15;0.00;0.00;67.61
hn0-hadoop;5;2024-07-07 23:55:44 UTC;-1;21.99;0.00;9.38;0.17;0.00;68.46
hn0-hadoop;5;2024-07-07 23:55:49 UTC;-1;15.73;0.00;7.86;0.05;0.00;76.35
hn0-hadoop;5;2024-07-07 23:55:54 UTC;-1;4.26;0.00;5.74;0.00;0.00;90.00
hn0-hadoop;5;2024-07-07 23:55:59 UTC;-1;4.87;0.00;5.14;0.00;0.00;89.99
hn0-hadoop;5;2024-07-07 23:56:04 UTC;-1;5.32;0.00;5.22;0.00;0.00;89.46
hn0-hadoop;5;2024-07-07 23:56:09 UTC;-1;16.50;0.00;8.25;0.00;0.00;75.25
hn0-hadoop;5;2024-07-07 23:56:14 UTC;-1;21.87;0.00;11.46;0.28;0.00;66.39
hn0-hadoop;5;2024-07-07 23:56:19 UTC;-1;24.51;0.00;11.47;0.00;0.00;64.02
hn0-hadoop;5;2024-07-07 23:56:24 UTC;-1;7.97;0.00;6.35;0.00;0.00;85.68
hn0-hadoop;5;2024-07-07 23:56:29 UTC;-1;8.06;0.00;5.93;0.00;0.00;86.01
hn0-hadoop;5;2024-07-07 23:56:34 UTC;-1;11.24;0.00;6.73;0.00;0.00;82.03
hn0-hadoop;5;2024-07-07 23:56:39 UTC;-1;8.22;0.00;5.80;0.00;0.00;85.98
hn0-hadoop;5;2024-07-07 23:56:44 UTC;-1;23.09;0.00;11.04;0.17;0.00;65.70
hn0-hadoop;5;2024-07-07 23:56:49 UTC;-1;26.84;0.00;12.80;0.00;0.00;60.36
hn0-hadoop;5;2024-07-07 23:56:54 UTC;-1;22.64;0.00;10.75;0.06;0.00;66.55
hn0-hadoop;5;2024-07-07 23:56:59 UTC;-1;6.79;0.00;6.79;0.00;0.00;86.41
hn0-hadoop;5;2024-07-07 23:57:04 UTC;-1;6.67;0.00;5.50;0.00;0.00;87.83
hn0-hadoop;5;2024-07-07 23:57:09 UTC;-1;4.79;0.00;5.00;0.00;0.00;90.21
hn0-hadoop;5;2024-07-07 23:57:14 UTC;-1;7.91;0.00;8.44;3.08;0.00;80.57
hn0-hadoop;5;2024-07-07 23:57:19 UTC;-1;37.66;0.00;28.14;0.06;0.00;34.14
hn0-hadoop;5;2024-07-07 23:57:24 UTC;-1;57.28;0.00;22.37;0.00;0.00;20.35
hn0-hadoop;5;2024-07-07 23:57:29 UTC;-1;54.70;0.00;25.87;0.00;0.00;19.43
hn0-hadoop;5;2024-07-07 23:57:34 UTC;-1;49.55;0.00;19.99;0.00;0.00;30.47
hn0-hadoop;5;2024-07-07 23:57:39 UTC;-1;41.74;0.00;24.62;0.06;0.00;33.58
