# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-08 02:25:00 UTC;eth0;123.75;120.16;56.11;36.53;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:00 UTC;lo;60.28;60.28;52.59;52.59;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:05 UTC;eth0;107.00;109.80;48.61;33.41;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:05 UTC;lo;48.40;48.40;36.37;36.37;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:10 UTC;eth0;145.80;139.60;71.24;57.33;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:10 UTC;lo;35.60;35.60;31.76;31.76;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:15 UTC;eth0;114.40;131.20;43.24;60.82;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:15 UTC;lo;49.00;49.00;232.49;232.49;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:20 UTC;eth0;188.60;173.40;102.44;52.42;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:20 UTC;lo;22.40;22.40;11.10;11.10;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:25 UTC;eth0;164.80;142.60;101.06;58.65;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:25 UTC;lo;19.60;19.60;16.40;16.40;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:30 UTC;eth0;176.60;148.80;116.81;57.08;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:30 UTC;lo;25.40;25.40;23.99;23.99;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:35 UTC;eth0;161.48;137.33;100.62;38.65;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:35 UTC;lo;38.52;38.52;77.95;77.95;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:40 UTC;eth0;67.00;69.00;30.58;10.27;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:40 UTC;lo;28.20;28.20;32.63;32.63;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:45 UTC;eth0;52.80;61.80;20.07;13.04;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:45 UTC;lo;35.80;35.80;14.69;14.69;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:50 UTC;eth0;105.40;103.40;52.55;152.64;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:50 UTC;lo;55.80;55.80;29.71;29.71;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:55 UTC;eth0;72.80;61.60;43.16;15.03;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:25:55 UTC;lo;25.60;25.60;48.97;48.97;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:00 UTC;eth0;370.40;286.20;65.06;1546.96;0.00;0.00;0.00;0.03
hn0-hadoop;5;2024-07-08 02:26:00 UTC;lo;31.40;31.40;17.13;17.13;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:05 UTC;eth0;82.20;83.40;39.69;57.49;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:05 UTC;lo;33.40;33.40;14.11;14.11;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:10 UTC;eth0;75.20;79.40;32.47;14.23;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:10 UTC;lo;32.60;32.60;25.91;25.91;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:15 UTC;eth0;47.31;62.08;14.78;8.06;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:15 UTC;lo;28.34;28.34;17.47;17.47;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:20 UTC;eth0;116.40;96.80;75.52;14.71;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:20 UTC;lo;21.80;21.80;12.04;12.04;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:25 UTC;eth0;62.40;66.00;30.13;12.89;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:25 UTC;lo;44.40;44.40;221.85;221.85;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:30 UTC;eth0;110.60;91.20;73.12;14.76;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:30 UTC;lo;28.60;28.60;38.10;38.10;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:35 UTC;eth0;71.40;67.00;41.44;8.43;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:35 UTC;lo;60.20;60.20;334.58;334.58;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:40 UTC;eth0;72.20;76.80;35.95;11.34;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:40 UTC;lo;33.80;33.80;37.20;37.20;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:45 UTC;eth0;56.40;70.80;19.65;11.59;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:45 UTC;lo;875.60;875.60;405.55;405.55;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:50 UTC;eth0;104.60;90.80;61.17;122.82;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:50 UTC;lo;91.20;91.20;84.89;84.89;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:55 UTC;eth0;101.80;82.60;72.45;18.03;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:26:55 UTC;lo;23.20;23.20;18.14;18.14;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:27:00 UTC;eth0;51.00;58.60;20.39;8.14;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:27:00 UTC;lo;22.80;22.80;12.27;12.27;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:27:05 UTC;eth0;74.40;74.40;38.86;11.37;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:27:05 UTC;lo;29.80;29.80;16.08;16.08;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:27:10 UTC;eth0;79.60;83.00;35.70;75.58;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:27:10 UTC;lo;22.20;22.20;16.41;16.41;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:27:15 UTC;eth0;50.40;72.80;12.91;33.23;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:27:15 UTC;lo;20.60;20.60;5.95;5.95;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:27:20 UTC;eth0;75.60;68.80;49.04;11.50;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:27:20 UTC;lo;21.40;21.40;9.92;9.92;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:27:25 UTC;eth0;77.40;75.20;44.10;14.54;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:27:25 UTC;lo;24.20;24.20;21.21;21.21;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:27:30 UTC;eth0;120.40;97.40;83.06;16.54;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:27:30 UTC;lo;60.80;60.80;24.86;24.86;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 02:27:35 UTC;eth0;93.00;84.80;55.54;12.57;0.00;0.00;0.00;0.00
