# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-08 03:20:06 UTC;eth0;117.60;112.80;56.57;33.97;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 03:20:06 UTC;lo;61.80;61.80;294.17;294.17;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 03:20:11 UTC;eth0;141.80;135.40;80.10;55.93;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 03:20:11 UTC;lo;35.80;35.80;35.60;35.60;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 03:20:16 UTC;eth0;104.40;116.80;38.69;34.06;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 03:20:16 UTC;lo;21.80;21.80;7.42;7.42;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 03:20:21 UTC;eth0;137.40;128.60;78.18;53.30;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 03:20:21 UTC;lo;19.40;19.40;14.16;14.16;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 03:20:26 UTC;eth0;140.72;144.91;67.59;58.51;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 03:20:26 UTC;lo;25.55;25.55;13.67;13.67;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 03:20:31 UTC;eth0;135.40;117.00;82.82;32.76;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 03:20:31 UTC;lo;18.60;18.60;9.56;9.56;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 03:20:36 UTC;eth0;161.00;148.00;93.84;57.50;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 03:20:36 UTC;lo;35.00;35.00;43.51;43.51;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 03:20:41 UTC;eth0;177.25;149.50;118.84;39.23;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 03:20:41 UTC;lo;42.12;42.12;198.01;198.01;0.00;0.00;0.00;0.00
