# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-08 03:28:40 UTC;15.00;5.00;10.00;260.80;532.80
hn0-hadoop;5;2024-07-08 03:28:45 UTC;2.40;0.20;2.20;1.60;390.40
hn0-hadoop;5;2024-07-08 03:28:50 UTC;5.40;1.20;4.20;11.20;52.80
hn0-hadoop;5;2024-07-08 03:28:55 UTC;19.00;16.60;2.40;841.60;38.40
hn0-hadoop;5;2024-07-08 03:29:00 UTC;20.36;1.20;19.16;47.90;6248.30
hn0-hadoop;5;2024-07-08 03:29:05 UTC;4.19;0.20;3.99;1.60;38.32
hn0-hadoop;5;2024-07-08 03:29:10 UTC;10.40;0.80;9.60;8.00;68.80
hn0-hadoop;5;2024-07-08 03:29:15 UTC;4.40;0.00;4.40;0.00;134.40
hn0-hadoop;5;2024-07-08 03:29:20 UTC;2.20;0.40;1.80;3.19;20.76
hn0-hadoop;5;2024-07-08 03:29:25 UTC;25.60;0.00;25.60;0.00;5345.60
hn0-hadoop;5;2024-07-08 03:29:30 UTC;3.20;1.20;2.00;102.40;232.00
hn0-hadoop;5;2024-07-08 03:29:35 UTC;2.80;0.00;2.80;0.00;33.60
hn0-hadoop;5;2024-07-08 03:29:40 UTC;4.00;0.20;3.80;6.40;59.20
hn0-hadoop;5;2024-07-08 03:29:45 UTC;3.80;1.00;2.80;8.00;28.80
hn0-hadoop;5;2024-07-08 03:29:50 UTC;3.60;0.00;3.60;0.00;171.20
hn0-hadoop;5;2024-07-08 03:29:55 UTC;7.20;0.00;7.20;0.00;115.20
hn0-hadoop;5;2024-07-08 03:30:00 UTC;2.60;0.00;2.60;0.00;275.20
hn0-hadoop;5;2024-07-08 03:30:05 UTC;34.00;2.20;31.80;185.60;600.00
hn0-hadoop;5;2024-07-08 03:30:10 UTC;2.60;0.00;2.60;0.00;28.80
hn0-hadoop;5;2024-07-08 03:30:15 UTC;6.20;1.80;4.40;14.40;451.20
hn0-hadoop;5;2024-07-08 03:30:20 UTC;3.00;0.00;3.00;0.00;30.40
hn0-hadoop;5;2024-07-08 03:30:25 UTC;9.00;0.20;8.80;1.60;596.80
hn0-hadoop;5;2024-07-08 03:30:30 UTC;3.80;0.20;3.60;1.60;627.20
hn0-hadoop;5;2024-07-08 03:30:35 UTC;2.80;0.00;2.80;0.00;102.40
hn0-hadoop;5;2024-07-08 03:30:40 UTC;0.60;0.00;0.60;0.00;12.80
hn0-hadoop;5;2024-07-08 03:30:45 UTC;1.60;0.00;1.60;0.00;19.20
hn0-hadoop;5;2024-07-08 03:30:50 UTC;5.79;1.40;4.39;25.55;52.69
hn0-hadoop;5;2024-07-08 03:30:55 UTC;9.80;0.00;9.80;0.00;555.20
hn0-hadoop;5;2024-07-08 03:31:00 UTC;28.60;0.20;28.40;1.60;1012.80
hn0-hadoop;5;2024-07-08 03:31:05 UTC;2.60;0.00;2.60;0.00;48.00
hn0-hadoop;5;2024-07-08 03:31:10 UTC;3.00;0.00;3.00;0.00;73.60
hn0-hadoop;5;2024-07-08 03:31:15 UTC;3.80;1.80;2.00;24.00;25.60
hn0-hadoop;5;2024-07-08 03:31:20 UTC;1.80;0.00;1.80;0.00;25.60
hn0-hadoop;5;2024-07-08 03:31:25 UTC;8.20;0.00;8.20;0.00;107.20
hn0-hadoop;5;2024-07-08 03:31:30 UTC;3.20;0.00;3.20;0.00;174.40
hn0-hadoop;5;2024-07-08 03:31:35 UTC;5.20;0.00;5.20;0.00;172.80
hn0-hadoop;5;2024-07-08 03:31:40 UTC;1.20;0.20;1.00;1.60;417.60
hn0-hadoop;5;2024-07-08 03:31:45 UTC;2.20;0.20;2.00;1.60;64.00
hn0-hadoop;5;2024-07-08 03:31:50 UTC;2.40;0.40;2.00;3.20;33.60
hn0-hadoop;5;2024-07-08 03:31:55 UTC;2.00;0.20;1.80;6.40;32.00
hn0-hadoop;5;2024-07-08 03:32:00 UTC;8.60;0.00;8.60;0.00;254.40
hn0-hadoop;5;2024-07-08 03:32:05 UTC;18.00;0.00;18.00;0.00;281.60
hn0-hadoop;5;2024-07-08 03:32:10 UTC;2.60;0.00;2.60;0.00;33.60
hn0-hadoop;5;2024-07-08 03:32:15 UTC;1.00;0.00;1.00;0.00;17.60
hn0-hadoop;5;2024-07-08 03:32:20 UTC;1.80;0.00;1.80;0.00;70.40
hn0-hadoop;5;2024-07-08 03:32:25 UTC;1.80;0.00;1.80;0.00;22.40
hn0-hadoop;5;2024-07-08 03:32:30 UTC;10.80;0.60;10.20;11.20;673.60
hn0-hadoop;5;2024-07-08 03:32:35 UTC;20.80;15.00;5.80;360.00;153.60
