# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
hn0-hadoop;5;2024-07-08 02:44:55 UTC;-1;15.54;0.00;11.04;0.00;0.00;73.42
hn0-hadoop;5;2024-07-08 02:45:00 UTC;-1;6.85;0.00;5.74;0.00;0.00;87.41
hn0-hadoop;5;2024-07-08 02:45:05 UTC;-1;7.71;0.00;7.55;0.00;0.00;84.74
hn0-hadoop;5;2024-07-08 02:45:10 UTC;-1;6.60;0.00;7.55;0.00;0.00;85.85
hn0-hadoop;5;2024-07-08 02:45:15 UTC;-1;11.97;0.00;7.80;1.25;0.00;78.99
hn0-hadoop;5;2024-07-08 02:45:20 UTC;-1;22.21;0.00;11.67;0.00;0.00;66.12
hn0-hadoop;5;2024-07-08 02:45:25 UTC;-1;23.58;0.00;14.10;0.00;0.00;62.32
hn0-hadoop;5;2024-07-08 02:45:30 UTC;-1;30.34;0.00;13.45;0.00;0.00;56.21
hn0-hadoop;5;2024-07-08 02:45:35 UTC;-1;44.71;0.00;12.59;0.00;0.00;42.71
hn0-hadoop;5;2024-07-08 02:45:40 UTC;-1;46.43;0.00;13.22;0.00;0.00;40.35
hn0-hadoop;5;2024-07-08 02:45:45 UTC;-1;44.84;0.00;12.21;0.18;0.00;42.77
hn0-hadoop;5;2024-07-08 02:45:50 UTC;-1;52.57;0.00;35.61;0.06;0.00;11.76
hn0-hadoop;5;2024-07-08 02:45:55 UTC;-1;60.54;0.00;28.42;0.00;0.00;11.05
hn0-hadoop;5;2024-07-08 02:46:00 UTC;-1;65.76;0.00;25.21;0.06;0.00;8.96
hn0-hadoop;5;2024-07-08 02:46:05 UTC;-1;39.63;0.00;16.01;0.24;0.00;44.12
hn0-hadoop;5;2024-07-08 02:46:10 UTC;-1;6.20;0.00;6.09;0.21;0.00;87.49
hn0-hadoop;5;2024-07-08 02:46:15 UTC;-1;6.45;0.00;5.70;0.16;0.00;87.69
hn0-hadoop;5;2024-07-08 02:46:20 UTC;-1;5.92;0.00;6.03;0.05;0.00;88.00
hn0-hadoop;5;2024-07-08 02:46:25 UTC;-1;8.29;0.00;6.31;0.00;0.00;85.40
hn0-hadoop;5;2024-07-08 02:46:30 UTC;-1;21.60;0.00;10.26;0.00;0.00;68.14
hn0-hadoop;5;2024-07-08 02:46:35 UTC;-1;29.84;0.00;10.58;0.00;0.00;59.57
hn0-hadoop;5;2024-07-08 02:46:40 UTC;-1;18.87;0.00;9.63;0.00;0.00;71.50
hn0-hadoop;5;2024-07-08 02:46:45 UTC;-1;16.04;0.00;7.06;0.17;0.00;76.74
hn0-hadoop;5;2024-07-08 02:46:50 UTC;-1;11.24;0.00;7.14;0.05;0.00;81.57
hn0-hadoop;5;2024-07-08 02:46:55 UTC;-1;5.10;0.00;6.05;0.00;0.00;88.85
hn0-hadoop;5;2024-07-08 02:47:00 UTC;-1;7.06;0.00;5.83;0.00;0.00;87.12
hn0-hadoop;5;2024-07-08 02:47:05 UTC;-1;20.95;0.00;8.25;0.00;0.00;70.81
hn0-hadoop;5;2024-07-08 02:47:10 UTC;-1;21.40;0.00;9.94;0.00;0.00;68.65
hn0-hadoop;5;2024-07-08 02:47:15 UTC;-1;16.15;0.00;7.36;0.44;0.00;76.04
hn0-hadoop;5;2024-07-08 02:47:20 UTC;-1;4.03;0.00;3.98;0.00;0.00;91.99
hn0-hadoop;5;2024-07-08 02:47:25 UTC;-1;6.19;0.00;6.51;0.00;0.00;87.29
hn0-hadoop;5;2024-07-08 02:47:30 UTC;-1;9.70;0.00;6.52;0.00;0.00;83.77
hn0-hadoop;5;2024-07-08 02:47:35 UTC;-1;21.34;0.00;10.14;0.00;0.00;68.52
hn0-hadoop;5;2024-07-08 02:47:40 UTC;-1;38.37;0.00;16.35;0.06;0.00;45.22
hn0-hadoop;5;2024-07-08 02:47:45 UTC;-1;38.21;0.00;13.71;0.18;0.00;47.90
hn0-hadoop;5;2024-07-08 02:47:50 UTC;-1;46.68;0.00;25.77;0.06;0.00;27.49
hn0-hadoop;5;2024-07-08 02:47:55 UTC;-1;7.08;0.00;6.87;0.00;0.00;86.05
hn0-hadoop;5;2024-07-08 02:48:00 UTC;-1;17.24;0.00;7.44;0.00;0.00;75.31
hn0-hadoop;5;2024-07-08 02:48:05 UTC;-1;41.52;0.00;14.05;0.00;0.00;44.43
hn0-hadoop;5;2024-07-08 02:48:10 UTC;-1;54.71;0.00;20.49;0.00;0.00;24.80
hn0-hadoop;5;2024-07-08 02:48:15 UTC;-1;28.77;0.00;14.97;0.12;0.00;56.14
hn0-hadoop;5;2024-07-08 02:48:20 UTC;-1;21.66;0.00;9.47;0.00;0.00;68.88
hn0-hadoop;5;2024-07-08 02:48:25 UTC;-1;20.67;0.00;11.50;0.00;0.00;67.83
hn0-hadoop;5;2024-07-08 02:48:30 UTC;-1;4.81;0.00;5.39;0.00;0.00;89.80
hn0-hadoop;5;2024-07-08 02:48:35 UTC;-1;5.95;0.00;6.53;0.05;0.00;87.47
hn0-hadoop;5;2024-07-08 02:48:40 UTC;-1;4.44;0.00;5.29;0.00;0.00;90.27
