# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-11 11:24:15 UTC;140.40;136.60;3.80;5424.00;41.60
hn0-hadoop;5;2024-07-11 11:24:20 UTC;13.40;10.60;2.80;139.20;28.80
hn0-hadoop;5;2024-07-11 11:24:25 UTC;204.20;195.60;8.60;2884.80;220.80
hn0-hadoop;5;2024-07-11 11:24:30 UTC;14.00;10.80;3.20;128.00;52.80
hn0-hadoop;5;2024-07-11 11:24:35 UTC;24.80;15.80;9.00;236.80;4857.60
hn0-hadoop;5;2024-07-11 11:24:40 UTC;89.82;68.86;20.96;2109.38;4701.00
hn0-hadoop;5;2024-07-11 11:24:45 UTC;19.80;14.60;5.20;208.00;512.00
hn0-hadoop;5;2024-07-11 11:24:50 UTC;33.73;25.75;7.98;330.54;83.03
hn0-hadoop;5;2024-07-11 11:24:55 UTC;37.00;28.40;8.60;318.40;603.20
hn0-hadoop;5;2024-07-11 11:25:00 UTC;30.40;24.00;6.40;472.00;62.40
hn0-hadoop;5;2024-07-11 11:25:05 UTC;100.80;95.00;5.80;16244.80;1200.00
hn0-hadoop;5;2024-07-11 11:25:10 UTC;171.60;50.20;121.40;11716.80;40264.00
hn0-hadoop;5;2024-07-11 11:25:15 UTC;208.20;52.80;155.40;10611.20;57092.80
hn0-hadoop;5;2024-07-11 11:25:20 UTC;209.00;147.20;61.80;4940.80;16526.40
hn0-hadoop;5;2024-07-11 11:25:25 UTC;229.40;179.40;50.00;4398.40;11846.40
hn0-hadoop;5;2024-07-11 11:25:30 UTC;345.80;248.40;97.40;16200.00;21569.60
hn0-hadoop;5;2024-07-11 11:25:35 UTC;525.60;523.80;1.80;19904.00;20.80
hn0-hadoop;5;2024-07-11 11:25:40 UTC;71.60;70.20;1.40;1864.00;20.80
hn0-hadoop;5;2024-07-11 11:25:45 UTC;90.40;85.40;5.00;2126.40;3280.00
hn0-hadoop;5;2024-07-11 11:25:50 UTC;109.80;106.40;3.40;8651.20;44.80
hn0-hadoop;5;2024-07-11 11:25:55 UTC;14.40;12.00;2.40;270.40;25.60
hn0-hadoop;5;2024-07-11 11:26:00 UTC;11.20;4.40;6.80;73.60;212.80
hn0-hadoop;5;2024-07-11 11:26:05 UTC;11.80;8.60;3.20;177.60;80.00
hn0-hadoop;5;2024-07-11 11:26:10 UTC;4.80;3.20;1.60;96.00;25.60
hn0-hadoop;5;2024-07-11 11:26:15 UTC;42.80;13.80;29.00;435.20;3385.60
hn0-hadoop;5;2024-07-11 11:26:20 UTC;36.20;14.20;22.00;355.20;784.00
hn0-hadoop;5;2024-07-11 11:26:25 UTC;92.00;77.20;14.80;4955.20;216.00
hn0-hadoop;5;2024-07-11 11:26:30 UTC;538.60;474.80;63.80;44211.20;22697.60
hn0-hadoop;5;2024-07-11 11:26:35 UTC;296.01;289.82;6.19;8308.18;52.69
hn0-hadoop;5;2024-07-11 11:26:40 UTC;14.80;14.20;0.60;164.80;17.60
hn0-hadoop;5;2024-07-11 11:26:45 UTC;39.20;34.60;4.60;614.40;28.80
hn0-hadoop;5;2024-07-11 11:26:50 UTC;39.00;35.20;3.80;3104.00;48.00
hn0-hadoop;5;2024-07-11 11:26:55 UTC;31.20;28.00;3.20;1044.80;187.20
hn0-hadoop;5;2024-07-11 11:27:00 UTC;65.60;46.20;19.40;924.80;491.20
hn0-hadoop;5;2024-07-11 11:27:05 UTC;19.00;15.60;3.40;553.60;572.80
hn0-hadoop;5;2024-07-11 11:27:10 UTC;40.80;38.60;2.20;1140.80;48.00
