# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-11 11:12:37 UTC;747420;946728;7389116;90.81;11412;419728;15168124;98.01;5463196;1531064;2396
hn0-hadoop;5;2024-07-11 11:12:42 UTC;741180;949352;7395356;90.89;11700;428108;14990820;96.86;5466864;1534176;3176
hn0-hadoop;5;2024-07-11 11:12:47 UTC;734200;942636;7402336;90.98;11700;433444;15002440;96.94;5465184;1538944;2376
hn0-hadoop;5;2024-07-11 11:12:52 UTC;732104;940696;7404432;91.00;11708;433620;15002560;96.94;5468620;1538680;2280
hn0-hadoop;5;2024-07-11 11:12:57 UTC;727092;935768;7409444;91.06;11716;433664;15002760;96.94;5470404;1538752;2344
hn0-hadoop;5;2024-07-11 11:13:02 UTC;604844;816104;7531692;92.57;11736;436204;15269064;98.66;5593736;1539064;2588
hn0-hadoop;5;2024-07-11 11:13:07 UTC;605080;822284;7531456;92.56;11812;442080;15288572;98.79;5592588;1538580;3440
hn0-hadoop;5;2024-07-11 11:13:12 UTC;679164;897000;7457372;91.65;11812;442884;15183032;98.10;5513364;1538380;3052
hn0-hadoop;5;2024-07-11 11:13:17 UTC;520264;739880;7616272;93.61;11812;444320;15508536;100.21;5673456;1539552;2960
hn0-hadoop;5;2024-07-11 11:13:22 UTC;317264;542444;7819272;96.10;12224;449496;16167864;104.47;5870800;1542732;2980
hn0-hadoop;5;2024-07-11 11:13:27 UTC;170476;312812;7966060;97.90;10012;363640;16272136;105.14;5943060;1618932;320
hn0-hadoop;5;2024-07-11 11:13:32 UTC;349292;509784;7787244;95.71;10484;376124;16226472;104.85;5744116;1639056;432
hn0-hadoop;5;2024-07-11 11:13:37 UTC;413480;578292;7723056;94.92;11520;378900;15812492;102.17;5679724;1638692;1984
hn0-hadoop;5;2024-07-11 11:13:42 UTC;385848;578932;7750688;95.26;13736;404764;15809568;102.15;5713664;1632456;2380
hn0-hadoop;5;2024-07-11 11:13:47 UTC;234868;460816;7901668;97.11;14072;437092;16266520;105.10;5865112;1635672;2464
hn0-hadoop;5;2024-07-11 11:13:52 UTC;249604;476956;7886932;96.93;14336;438024;16308108;105.37;5887956;1596024;3280
hn0-hadoop;5;2024-07-11 11:13:57 UTC;329072;556716;7807464;95.96;14436;438156;16180932;104.55;5825148;1580008;3048
hn0-hadoop;5;2024-07-11 11:14:02 UTC;288052;563356;7848484;96.46;14824;485160;16040292;103.64;5847992;1596428;2980
hn0-hadoop;5;2024-07-11 11:14:07 UTC;309780;585124;7826756;96.19;14824;485192;15863496;102.50;5834292;1589340;1496
hn0-hadoop;5;2024-07-11 11:14:12 UTC;309688;586240;7826848;96.19;14828;488512;15791636;102.04;5833344;1591144;2776
hn0-hadoop;5;2024-07-11 11:14:17 UTC;297688;574992;7838848;96.34;14920;489152;15788528;102.02;5846644;1590980;2940
hn0-hadoop;5;2024-07-11 11:14:22 UTC;307484;585828;7829052;96.22;14920;490048;15780708;101.97;5836988;1590488;2712
hn0-hadoop;5;2024-07-11 11:14:27 UTC;152248;310792;7984288;98.13;12868;374168;16459904;106.35;5985712;1600800;676
hn0-hadoop;5;2024-07-11 11:14:32 UTC;310300;481348;7826236;96.19;12648;385696;16060952;103.78;5836028;1592200;868
hn0-hadoop;5;2024-07-11 11:14:37 UTC;480764;654632;7655772;94.09;12948;387672;15770172;101.90;5700504;1556508;460
hn0-hadoop;5;2024-07-11 11:14:42 UTC;388588;592644;7747948;95.22;15256;415160;16058296;103.76;5792436;1556108;1780
hn0-hadoop;5;2024-07-11 11:14:47 UTC;271716;494152;7864820;96.66;15620;432916;16094684;103.99;5899660;1564084;1952
hn0-hadoop;5;2024-07-11 11:14:52 UTC;231760;455604;7904776;97.15;15680;434012;16027528;103.56;5943868;1562108;2968
hn0-hadoop;5;2024-07-11 11:14:57 UTC;423456;647592;7713080;94.80;15712;434328;15671852;101.26;5752664;1561276;2656
hn0-hadoop;5;2024-07-11 11:15:02 UTC;398680;647596;7737856;95.10;16536;458220;15674164;101.28;5756332;1582988;2668
hn0-hadoop;5;2024-07-11 11:15:07 UTC;397372;647864;7739164;95.12;16960;459356;15667128;101.23;5763280;1577928;1856
hn0-hadoop;5;2024-07-11 11:15:12 UTC;334144;586100;7802392;95.89;17084;460808;15701004;101.45;5812780;1591612;3152
