# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-11 20:30:47 UTC;32.40;24.60;7.80;1635.20;137.60
hn0-hadoop;5;2024-07-11 20:30:52 UTC;4.20;1.40;2.80;12.80;64.00
hn0-hadoop;5;2024-07-11 20:30:57 UTC;26.20;22.60;3.60;489.60;483.20
hn0-hadoop;5;2024-07-11 20:31:02 UTC;5.00;1.60;3.40;20.80;264.00
hn0-hadoop;5;2024-07-11 20:31:07 UTC;15.80;6.60;9.20;72.00;4780.80
hn0-hadoop;5;2024-07-11 20:31:12 UTC;4.20;0.40;3.80;3.20;460.80
hn0-hadoop;5;2024-07-11 20:31:17 UTC;9.60;1.20;8.40;9.60;192.00
hn0-hadoop;5;2024-07-11 20:31:22 UTC;4.60;2.40;2.20;88.00;444.80
hn0-hadoop;5;2024-07-11 20:31:27 UTC;5.00;1.00;4.00;8.00;64.00
hn0-hadoop;5;2024-07-11 20:31:32 UTC;90.20;0.20;90.00;4.80;37707.20
hn0-hadoop;5;2024-07-11 20:31:37 UTC;178.60;7.60;171.00;1254.40;79104.00
hn0-hadoop;5;2024-07-11 20:31:42 UTC;89.80;55.80;34.00;998.40;10580.80
hn0-hadoop;5;2024-07-11 20:31:47 UTC;14.40;1.40;13.00;12.80;806.40
hn0-hadoop;5;2024-07-11 20:31:52 UTC;8.60;7.80;0.80;123.20;12.80
hn0-hadoop;5;2024-07-11 20:31:57 UTC;31.00;28.60;2.40;768.00;27.20
hn0-hadoop;5;2024-07-11 20:32:02 UTC;9.20;7.40;1.80;118.40;20.80
hn0-hadoop;5;2024-07-11 20:32:07 UTC;14.40;5.00;9.40;40.00;3779.20
hn0-hadoop;5;2024-07-11 20:32:12 UTC;38.40;28.80;9.60;982.40;203.20
hn0-hadoop;5;2024-07-11 20:32:17 UTC;8.20;5.80;2.40;102.40;92.80
hn0-hadoop;5;2024-07-11 20:32:22 UTC;3.60;2.80;0.80;70.40;12.80
hn0-hadoop;5;2024-07-11 20:32:27 UTC;322.36;143.71;178.64;7030.74;5681.44
hn0-hadoop;5;2024-07-11 20:32:32 UTC;71.80;41.40;30.40;1140.80;1153.60
hn0-hadoop;5;2024-07-11 20:32:37 UTC;141.20;88.80;52.40;3912.00;3712.00
hn0-hadoop;5;2024-07-11 20:32:42 UTC;59.80;49.20;10.60;1283.20;180.80
