# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-11 20:59:47 UTC;38.12;25.95;12.18;1496.21;4815.97
hn0-hadoop;5;2024-07-11 20:59:52 UTC;11.60;4.40;7.20;72.00;96.00
hn0-hadoop;5;2024-07-11 20:59:57 UTC;16.00;8.80;7.20;100.80;473.60
hn0-hadoop;5;2024-07-11 21:00:02 UTC;52.20;40.80;11.40;4323.20;416.00
hn0-hadoop;5;2024-07-11 21:00:07 UTC;99.00;93.40;5.60;20625.60;348.80
hn0-hadoop;5;2024-07-11 21:00:12 UTC;8.00;3.40;4.60;46.40;576.00
hn0-hadoop;5;2024-07-11 21:00:17 UTC;7.58;2.20;5.39;23.95;523.75
hn0-hadoop;5;2024-07-11 21:00:22 UTC;25.20;3.20;22.00;70.40;4761.60
hn0-hadoop;5;2024-07-11 21:00:27 UTC;16.80;11.00;5.80;577.60;78.40
hn0-hadoop;5;2024-07-11 21:00:32 UTC;11.20;2.40;8.80;25.60;564.80
hn0-hadoop;5;2024-07-11 21:00:37 UTC;8.00;6.20;1.80;113.60;428.80
hn0-hadoop;5;2024-07-11 21:00:42 UTC;16.20;13.00;3.20;113.60;329.60
hn0-hadoop;5;2024-07-11 21:00:47 UTC;3.60;0.40;3.20;3.20;118.40
hn0-hadoop;5;2024-07-11 21:00:52 UTC;5.20;0.80;4.40;6.40;89.60
hn0-hadoop;5;2024-07-11 21:00:57 UTC;14.20;1.00;13.20;16.00;1174.40
hn0-hadoop;5;2024-07-11 21:01:02 UTC;9.60;1.60;8.00;19.20;139.20
hn0-hadoop;5;2024-07-11 21:01:07 UTC;2.60;1.00;1.60;9.60;24.00
hn0-hadoop;5;2024-07-11 21:01:12 UTC;16.80;2.00;14.80;22.40;200.00
hn0-hadoop;5;2024-07-11 21:01:17 UTC;3.40;1.00;2.40;14.40;33.60
hn0-hadoop;5;2024-07-11 21:01:22 UTC;4.60;0.80;3.80;6.40;41.60
hn0-hadoop;5;2024-07-11 21:01:27 UTC;7.80;3.20;4.60;27.20;275.20
hn0-hadoop;5;2024-07-11 21:01:32 UTC;11.00;2.40;8.60;20.80;137.60
hn0-hadoop;5;2024-07-11 21:01:37 UTC;2.00;0.40;1.60;3.20;24.00
hn0-hadoop;5;2024-07-11 21:01:42 UTC;3.40;1.40;2.00;11.20;38.40
hn0-hadoop;5;2024-07-11 21:01:47 UTC;3.20;0.60;2.60;4.80;432.00
hn0-hadoop;5;2024-07-11 21:01:52 UTC;3.40;0.00;3.40;0.00;38.40
hn0-hadoop;5;2024-07-11 21:01:57 UTC;19.20;11.60;7.60;260.80;244.80
hn0-hadoop;5;2024-07-11 21:02:02 UTC;11.00;2.60;8.40;24.00;280.00
hn0-hadoop;5;2024-07-11 21:02:07 UTC;8.20;7.20;1.00;193.60;19.20
hn0-hadoop;5;2024-07-11 21:02:12 UTC;4.40;1.40;3.00;14.40;545.60
hn0-hadoop;5;2024-07-11 21:02:17 UTC;4.00;1.60;2.40;22.40;35.20
hn0-hadoop;5;2024-07-11 21:02:22 UTC;40.40;36.20;4.20;491.20;67.20
hn0-hadoop;5;2024-07-11 21:02:27 UTC;9.20;5.40;3.80;60.80;48.00
hn0-hadoop;5;2024-07-11 21:02:32 UTC;8.60;0.00;8.60;0.00;238.40
hn0-hadoop;5;2024-07-11 21:02:37 UTC;14.00;2.20;11.80;19.20;708.80
hn0-hadoop;5;2024-07-11 21:02:42 UTC;11.40;5.20;6.20;70.40;68.80
hn0-hadoop;5;2024-07-11 21:02:47 UTC;3.60;1.00;2.60;8.00;38.40
hn0-hadoop;5;2024-07-11 21:02:52 UTC;5.40;0.20;5.20;6.40;227.20
hn0-hadoop;5;2024-07-11 21:02:57 UTC;14.40;1.40;13.00;14.40;212.80
hn0-hadoop;5;2024-07-11 21:03:02 UTC;2.20;0.80;1.40;6.40;24.00
hn0-hadoop;5;2024-07-11 21:03:07 UTC;19.80;0.20;19.60;1.60;244.80
hn0-hadoop;5;2024-07-11 21:03:12 UTC;2.80;0.80;2.00;9.60;67.20
hn0-hadoop;5;2024-07-11 21:03:17 UTC;3.40;1.00;2.40;16.00;227.20
hn0-hadoop;5;2024-07-11 21:03:22 UTC;8.40;3.00;5.40;32.00;476.80
hn0-hadoop;5;2024-07-11 21:03:27 UTC;12.77;8.18;4.59;122.95;213.97
hn0-hadoop;5;2024-07-11 21:03:32 UTC;13.60;10.40;3.20;592.00;75.20
hn0-hadoop;5;2024-07-11 21:03:37 UTC;25.40;17.00;8.40;251.20;198.40
hn0-hadoop;5;2024-07-11 21:03:42 UTC;6.60;4.20;2.40;132.80;59.20
hn0-hadoop;5;2024-07-11 21:03:47 UTC;5.00;2.00;3.00;30.40;96.00
hn0-hadoop;5;2024-07-11 21:03:52 UTC;9.80;5.20;4.60;44.80;59.20
hn0-hadoop;5;2024-07-11 21:03:57 UTC;10.00;1.80;8.20;14.40;230.40
hn0-hadoop;5;2024-07-11 21:04:02 UTC;10.40;6.00;4.40;52.80;60.80
hn0-hadoop;5;2024-07-11 21:04:07 UTC;9.00;0.00;9.00;0.00;585.60
hn0-hadoop;5;2024-07-11 21:04:12 UTC;5.00;1.00;4.00;9.60;580.80
hn0-hadoop;5;2024-07-11 21:04:17 UTC;5.20;2.00;3.20;16.00;126.40
hn0-hadoop;5;2024-07-11 21:04:22 UTC;4.00;0.20;3.80;6.40;491.20
hn0-hadoop;5;2024-07-11 21:04:27 UTC;12.40;1.80;10.60;41.60;100.80
hn0-hadoop;5;2024-07-11 21:04:32 UTC;5.79;2.79;2.99;23.95;47.90
hn0-hadoop;5;2024-07-11 21:04:37 UTC;9.60;0.40;9.20;3.20;307.20
hn0-hadoop;5;2024-07-11 21:04:42 UTC;4.60;0.40;4.20;3.20;78.40
hn0-hadoop;5;2024-07-11 21:04:47 UTC;7.78;1.00;6.79;12.77;92.61
hn0-hadoop;5;2024-07-11 21:04:52 UTC;30.00;4.80;25.20;38.40;2468.80
hn0-hadoop;5;2024-07-11 21:04:57 UTC;14.80;1.00;13.80;9.60;260.80
hn0-hadoop;5;2024-07-11 21:05:02 UTC;7.20;3.80;3.40;54.40;56.00
hn0-hadoop;5;2024-07-11 21:05:07 UTC;3.00;1.80;1.20;22.40;16.00
hn0-hadoop;5;2024-07-11 21:05:12 UTC;1.00;0.40;0.60;3.20;11.20
hn0-hadoop;5;2024-07-11 21:05:17 UTC;2.80;2.00;0.80;19.20;17.60
hn0-hadoop;5;2024-07-11 21:05:22 UTC;22.40;2.60;19.80;20.80;307.20
hn0-hadoop;5;2024-07-11 21:05:27 UTC;19.00;13.00;6.00;136.00;310.40
hn0-hadoop;5;2024-07-11 21:05:32 UTC;5.00;0.60;4.40;4.80;60.80
hn0-hadoop;5;2024-07-11 21:05:37 UTC;8.20;2.20;6.00;19.20;54.40
hn0-hadoop;5;2024-07-11 21:05:42 UTC;5.80;0.40;5.40;3.20;40.00
hn0-hadoop;5;2024-07-11 21:05:47 UTC;2.60;1.20;1.40;11.20;28.80
hn0-hadoop;5;2024-07-11 21:05:52 UTC;2.40;1.20;1.20;14.40;16.00
hn0-hadoop;5;2024-07-11 21:05:57 UTC;10.80;1.00;9.80;16.00;849.60
hn0-hadoop;5;2024-07-11 21:06:02 UTC;18.40;0.20;18.20;3.20;315.20
hn0-hadoop;5;2024-07-11 21:06:07 UTC;4.80;3.20;1.60;33.60;19.20
hn0-hadoop;5;2024-07-11 21:06:12 UTC;10.20;5.60;4.60;57.60;574.40
hn0-hadoop;5;2024-07-11 21:06:17 UTC;3.80;2.20;1.60;32.00;28.80
hn0-hadoop;5;2024-07-11 21:06:22 UTC;6.20;4.60;1.60;38.40;19.20
hn0-hadoop;5;2024-07-11 21:06:27 UTC;53.09;42.32;10.78;803.19;560.48
hn0-hadoop;5;2024-07-11 21:06:32 UTC;4.40;0.00;4.40;0.00;108.80
hn0-hadoop;5;2024-07-11 21:06:37 UTC;5.80;3.60;2.20;54.40;68.80
hn0-hadoop;5;2024-07-11 21:06:42 UTC;3.00;0.60;2.40;9.60;200.00
hn0-hadoop;5;2024-07-11 21:06:47 UTC;32.00;17.80;14.20;160.00;155.20
hn0-hadoop;5;2024-07-11 21:06:52 UTC;2.40;0.80;1.60;6.40;24.00
hn0-hadoop;5;2024-07-11 21:06:57 UTC;10.40;1.60;8.80;12.80;145.60
hn0-hadoop;5;2024-07-11 21:07:02 UTC;12.80;8.40;4.40;216.00;160.00
hn0-hadoop;5;2024-07-11 21:07:07 UTC;4.60;1.20;3.40;14.40;273.60
hn0-hadoop;5;2024-07-11 21:07:12 UTC;3.00;2.00;1.00;27.20;59.20
hn0-hadoop;5;2024-07-11 21:07:17 UTC;67.80;65.60;2.20;1427.20;441.60
hn0-hadoop;5;2024-07-11 21:07:22 UTC;17.20;14.60;2.60;158.40;131.20
hn0-hadoop;5;2024-07-11 21:07:27 UTC;17.40;0.80;16.60;12.80;348.80
hn0-hadoop;5;2024-07-11 21:07:32 UTC;5.00;0.60;4.40;4.80;62.40
hn0-hadoop;5;2024-07-11 21:07:37 UTC;11.00;2.60;8.40;27.20;145.60
hn0-hadoop;5;2024-07-11 21:07:42 UTC;1.80;0.00;1.80;0.00;41.60
hn0-hadoop;5;2024-07-11 21:07:47 UTC;2.60;0.20;2.40;1.60;83.20
hn0-hadoop;5;2024-07-11 21:07:52 UTC;2.40;1.00;1.40;14.40;19.20
hn0-hadoop;5;2024-07-11 21:07:57 UTC;9.80;0.00;9.80;0.00;276.80
hn0-hadoop;5;2024-07-11 21:08:02 UTC;3.20;0.40;2.80;11.20;28.80
hn0-hadoop;5;2024-07-11 21:08:07 UTC;4.20;0.80;3.40;6.40;41.60
