# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
hn0-hadoop;5;2024-07-11 12:55:51 UTC;-1;20.41;0.00;10.51;0.11;0.00;68.96
hn0-hadoop;5;2024-07-11 12:55:56 UTC;-1;11.28;0.00;8.12;0.05;0.00;80.55
hn0-hadoop;5;2024-07-11 12:56:01 UTC;-1;6.41;0.00;4.20;0.16;0.00;89.23
hn0-hadoop;5;2024-07-11 12:56:06 UTC;-1;9.34;0.00;6.17;0.11;0.00;84.39
hn0-hadoop;5;2024-07-11 12:56:11 UTC;-1;7.09;0.00;4.99;0.00;0.00;87.92
hn0-hadoop;5;2024-07-11 12:56:16 UTC;-1;52.23;0.00;16.96;0.06;0.00;30.75
hn0-hadoop;5;2024-07-11 12:56:21 UTC;-1;57.17;0.00;17.99;0.13;0.00;24.72
hn0-hadoop;5;2024-07-11 12:56:26 UTC;-1;51.75;0.00;29.59;0.19;0.00;18.48
hn0-hadoop;5;2024-07-11 12:56:31 UTC;-1;64.71;0.00;27.57;0.07;0.00;7.65
hn0-hadoop;5;2024-07-11 12:56:36 UTC;-1;66.45;0.00;22.99;0.53;0.00;10.03
hn0-hadoop;5;2024-07-11 12:56:41 UTC;-1;34.59;0.00;13.58;0.63;0.00;51.20
hn0-hadoop;5;2024-07-11 12:56:46 UTC;-1;8.25;0.00;5.98;0.42;0.00;85.35
hn0-hadoop;5;2024-07-11 12:56:51 UTC;-1;25.30;0.00;9.39;0.17;0.00;65.14
hn0-hadoop;5;2024-07-11 12:56:56 UTC;-1;18.01;0.00;8.59;0.00;0.00;73.41
hn0-hadoop;5;2024-07-11 12:57:01 UTC;-1;15.68;0.00;4.75;0.16;0.00;79.40
hn0-hadoop;5;2024-07-11 12:57:06 UTC;-1;9.46;0.00;5.07;0.69;0.00;84.78
hn0-hadoop;5;2024-07-11 12:57:11 UTC;-1;10.33;0.00;4.93;0.26;0.00;84.47
hn0-hadoop;5;2024-07-11 12:57:16 UTC;-1;4.25;0.00;4.46;0.26;0.00;91.03
hn0-hadoop;5;2024-07-11 12:57:21 UTC;-1;23.92;0.00;7.73;0.11;0.00;68.24
hn0-hadoop;5;2024-07-11 12:57:26 UTC;-1;36.65;0.00;13.55;0.12;0.00;49.68
hn0-hadoop;5;2024-07-11 12:57:31 UTC;-1;15.51;0.00;5.86;0.00;0.00;78.63
hn0-hadoop;5;2024-07-11 12:57:36 UTC;-1;3.62;0.00;4.08;0.05;0.00;92.24
hn0-hadoop;5;2024-07-11 12:57:41 UTC;-1;23.89;0.00;8.98;0.17;0.00;66.96
hn0-hadoop;5;2024-07-11 12:57:46 UTC;-1;5.45;0.00;4.94;0.21;0.00;89.40
hn0-hadoop;5;2024-07-11 12:57:51 UTC;-1;23.58;0.00;8.93;0.79;0.00;66.70
hn0-hadoop;5;2024-07-11 12:57:56 UTC;-1;19.81;0.00;8.47;0.00;0.00;71.72
hn0-hadoop;5;2024-07-11 12:58:01 UTC;-1;5.32;0.00;4.27;0.05;0.00;90.36
hn0-hadoop;5;2024-07-11 12:58:06 UTC;-1;3.43;0.00;3.69;0.05;0.00;92.83
hn0-hadoop;5;2024-07-11 12:58:11 UTC;-1;24.52;0.00;7.52;0.38;0.00;67.58
