# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
hn0-hadoop;5;2024-07-11 18:29:58 UTC;-1;5.26;0.00;6.25;1.35;0.00;87.14
hn0-hadoop;5;2024-07-11 18:30:03 UTC;-1;23.86;0.00;11.29;0.33;0.00;64.52
hn0-hadoop;5;2024-07-11 18:30:08 UTC;-1;18.12;0.00;10.28;0.00;0.00;71.60
hn0-hadoop;5;2024-07-11 18:30:13 UTC;-1;15.23;0.00;9.88;0.05;0.00;74.84
hn0-hadoop;5;2024-07-11 18:30:18 UTC;-1;5.22;0.00;5.69;0.00;0.00;89.09
hn0-hadoop;5;2024-07-11 18:30:23 UTC;-1;39.39;0.00;10.01;0.06;0.00;50.54
hn0-hadoop;5;2024-07-11 18:30:28 UTC;-1;52.76;0.00;24.36;0.19;0.00;22.69
hn0-hadoop;5;2024-07-11 18:30:33 UTC;-1;65.68;0.00;22.24;0.07;0.00;12.01
hn0-hadoop;5;2024-07-11 18:30:38 UTC;-1;53.78;0.00;19.27;0.25;0.00;26.70
hn0-hadoop;5;2024-07-11 18:30:43 UTC;-1;41.73;0.00;20.15;0.12;0.00;38.00
hn0-hadoop;5;2024-07-11 18:30:48 UTC;-1;16.97;0.00;18.86;0.11;0.00;64.06
hn0-hadoop;5;2024-07-11 18:30:53 UTC;-1;29.99;0.00;13.97;2.22;0.00;53.82
hn0-hadoop;5;2024-07-11 18:30:58 UTC;-1;30.66;0.00;9.40;0.67;0.00;59.27
hn0-hadoop;5;2024-07-11 18:31:03 UTC;-1;30.06;0.00;13.94;0.11;0.00;55.88
hn0-hadoop;5;2024-07-11 18:31:08 UTC;-1;41.03;0.00;16.76;0.24;0.00;41.98
hn0-hadoop;5;2024-07-11 18:31:13 UTC;-1;34.28;0.00;14.02;0.12;0.00;51.59
hn0-hadoop;5;2024-07-11 18:31:18 UTC;-1;5.74;0.00;4.28;0.00;0.00;89.98
hn0-hadoop;5;2024-07-11 18:31:23 UTC;-1;3.84;0.00;3.63;0.21;0.00;92.32
hn0-hadoop;5;2024-07-11 18:31:28 UTC;-1;20.92;0.00;10.80;0.11;0.00;68.17
hn0-hadoop;5;2024-07-11 18:31:33 UTC;-1;4.37;0.00;3.58;0.05;0.00;92.00
hn0-hadoop;5;2024-07-11 18:31:38 UTC;-1;25.06;0.00;8.62;0.06;0.00;66.27
hn0-hadoop;5;2024-07-11 18:31:43 UTC;-1;19.25;0.00;8.03;0.33;0.00;72.39
hn0-hadoop;5;2024-07-11 18:31:48 UTC;-1;7.03;0.00;5.55;1.43;0.00;85.99
hn0-hadoop;5;2024-07-11 18:31:53 UTC;-1;3.62;0.00;3.82;0.00;0.00;92.56
hn0-hadoop;5;2024-07-11 18:31:58 UTC;-1;12.44;0.00;5.69;0.21;0.00;81.66
hn0-hadoop;5;2024-07-11 18:32:03 UTC;-1;9.10;0.00;4.03;0.05;0.00;86.83
hn0-hadoop;5;2024-07-11 18:32:08 UTC;-1;26.55;0.00;8.29;0.06;0.00;65.10
hn0-hadoop;5;2024-07-11 18:32:13 UTC;-1;27.07;0.00;9.68;0.17;0.00;63.08
hn0-hadoop;5;2024-07-11 18:32:18 UTC;-1;8.74;0.00;4.47;0.05;0.00;86.74
hn0-hadoop;5;2024-07-11 18:32:23 UTC;-1;3.55;0.00;3.34;0.00;0.00;93.12
hn0-hadoop;5;2024-07-11 18:32:28 UTC;-1;44.50;0.00;20.48;0.49;0.00;34.54
hn0-hadoop;5;2024-07-11 18:32:33 UTC;-1;44.55;0.00;15.88;1.24;0.00;38.33
hn0-hadoop;5;2024-07-11 18:32:38 UTC;-1;25.17;0.00;9.18;0.34;0.00;65.31
hn0-hadoop;5;2024-07-11 18:32:43 UTC;-1;35.02;0.00;16.01;0.71;0.00;48.26
hn0-hadoop;5;2024-07-11 18:32:48 UTC;-1;11.92;0.00;6.55;0.48;0.00;81.05
hn0-hadoop;5;2024-07-11 18:32:53 UTC;-1;3.93;0.00;4.65;0.05;0.00;91.37
hn0-hadoop;5;2024-07-11 18:32:58 UTC;-1;3.48;0.00;3.84;0.21;0.00;92.48
hn0-hadoop;5;2024-07-11 18:33:03 UTC;-1;3.58;0.00;4.15;0.00;0.00;92.26
hn0-hadoop;5;2024-07-11 18:33:08 UTC;-1;27.77;0.00;8.81;0.33;0.00;63.08
hn0-hadoop;5;2024-07-11 18:33:13 UTC;-1;37.03;0.00;15.95;0.18;0.00;46.85
hn0-hadoop;5;2024-07-11 18:33:18 UTC;-1;15.88;0.00;6.96;0.00;0.00;77.16
hn0-hadoop;5;2024-07-11 18:33:23 UTC;-1;21.48;0.00;8.77;0.16;0.00;69.59
hn0-hadoop;5;2024-07-11 18:33:28 UTC;-1;35.38;0.00;15.08;0.29;0.00;49.25
hn0-hadoop;5;2024-07-11 18:33:33 UTC;-1;27.26;0.00;10.87;0.39;0.00;61.48
hn0-hadoop;5;2024-07-11 18:33:38 UTC;-1;13.86;0.00;8.48;0.92;0.00;76.74
hn0-hadoop;5;2024-07-11 18:33:43 UTC;-1;26.86;0.00;9.43;0.00;0.00;63.71
hn0-hadoop;5;2024-07-11 18:33:48 UTC;-1;42.29;0.00;15.90;0.18;0.00;41.64
hn0-hadoop;5;2024-07-11 18:33:53 UTC;-1;54.01;0.00;20.76;0.32;0.00;24.92
hn0-hadoop;5;2024-07-11 18:33:58 UTC;-1;41.06;0.00;11.80;0.77;0.00;46.37
hn0-hadoop;5;2024-07-11 18:34:03 UTC;-1;37.38;0.00;11.44;0.35;0.00;50.83
hn0-hadoop;5;2024-07-11 18:34:08 UTC;-1;12.53;0.00;5.65;0.05;0.00;81.77
hn0-hadoop;5;2024-07-11 18:34:13 UTC;-1;26.91;0.00;10.40;0.00;0.00;62.69
hn0-hadoop;5;2024-07-11 18:34:18 UTC;-1;25.54;0.00;10.45;0.06;0.00;63.95
hn0-hadoop;5;2024-07-11 18:34:23 UTC;-1;8.12;0.00;4.91;0.00;0.00;86.97
hn0-hadoop;5;2024-07-11 18:34:28 UTC;-1;20.99;0.00;8.86;0.22;0.00;69.93
hn0-hadoop;5;2024-07-11 18:34:33 UTC;-1;7.63;0.00;4.55;0.05;0.00;87.77
hn0-hadoop;5;2024-07-11 18:34:38 UTC;-1;18.64;0.00;7.28;0.05;0.00;74.02
hn0-hadoop;5;2024-07-11 18:34:43 UTC;-1;42.79;0.00;18.52;0.31;0.00;38.39
hn0-hadoop;5;2024-07-11 18:34:48 UTC;-1;59.80;0.00;29.80;0.07;0.00;10.33
hn0-hadoop;5;2024-07-11 18:34:53 UTC;-1;50.31;0.00;20.13;0.44;0.00;29.12
hn0-hadoop;5;2024-07-11 18:34:58 UTC;-1;6.12;0.00;4.70;0.31;0.00;88.87
