# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-11 19:18:36 UTC;895804;1363132;7240732;88.99;33760;681640;15107784;97.62;5244080;1560484;2604
hn0-hadoop;5;2024-07-11 19:18:41 UTC;893708;1361104;7242828;89.02;33768;681708;15105536;97.60;5245868;1560204;2532
hn0-hadoop;5;2024-07-11 19:18:46 UTC;764532;1231976;7372004;90.60;33768;681824;15574412;100.63;5373300;1560240;2608
hn0-hadoop;5;2024-07-11 19:18:51 UTC;775952;1244768;7360584;90.46;33768;683200;15766240;101.87;5355132;1561560;2960
hn0-hadoop;5;2024-07-11 19:18:56 UTC;839544;1308576;7296992;89.68;33768;685444;15328588;99.04;5289416;1563628;3068
hn0-hadoop;5;2024-07-11 19:19:01 UTC;791252;1260616;7345284;90.28;33784;685820;15634680;101.02;5337484;1563776;3832
hn0-hadoop;5;2024-07-11 19:19:06 UTC;683328;1153592;7453208;91.60;33784;684648;15580064;100.67;5442220;1566464;4556
hn0-hadoop;5;2024-07-11 19:19:11 UTC;685612;1155892;7450924;91.57;33792;684672;15539560;100.41;5441536;1566488;3072
hn0-hadoop;5;2024-07-11 19:19:16 UTC;668520;1139740;7468016;91.78;33792;685608;15733056;101.66;5455112;1566784;4028
hn0-hadoop;5;2024-07-11 19:19:21 UTC;535128;1006448;7601408;93.42;33792;685688;15779156;101.96;5591196;1566768;4060
hn0-hadoop;5;2024-07-11 19:19:26 UTC;151944;624924;7984592;98.13;33796;687272;16397348;105.95;5971948;1568260;4580
hn0-hadoop;5;2024-07-11 19:19:31 UTC;455512;910176;7681024;94.40;33640;673708;15897216;102.72;5644440;1601320;4468
hn0-hadoop;5;2024-07-11 19:19:36 UTC;475280;930620;7661256;94.16;33640;673724;15882732;102.62;5628680;1595380;2760
hn0-hadoop;5;2024-07-11 19:19:41 UTC;466012;921500;7670524;94.27;33648;673844;16101168;104.04;5640860;1593628;2608
hn0-hadoop;5;2024-07-11 19:19:46 UTC;293632;749184;7842904;96.39;33664;673932;16179848;104.54;5817192;1593084;2076
hn0-hadoop;5;2024-07-11 19:19:51 UTC;487192;943096;7649344;94.01;33672;674388;15764680;101.86;5624464;1593904;2540
hn0-hadoop;5;2024-07-11 19:19:56 UTC;473064;930328;7663472;94.19;33672;675708;15716088;101.55;5639488;1595020;3644
hn0-hadoop;5;2024-07-11 19:20:01 UTC;479224;937628;7657312;94.11;33708;676600;15710524;101.51;5635596;1593196;3480
hn0-hadoop;5;2024-07-11 19:20:06 UTC;492304;950464;7644232;93.95;33708;676516;15694508;101.41;5623576;1592684;3288
hn0-hadoop;5;2024-07-11 19:20:11 UTC;492272;950480;7644264;93.95;33716;676556;15694508;101.41;5623380;1592716;2784
hn0-hadoop;5;2024-07-11 19:20:16 UTC;492968;951160;7643568;93.94;33716;676580;15694256;101.41;5623836;1592468;2692
hn0-hadoop;5;2024-07-11 19:20:21 UTC;487548;945840;7648988;94.01;33716;676608;15678548;101.31;5627940;1592240;2228
hn0-hadoop;5;2024-07-11 19:20:26 UTC;140972;604872;7995564;98.27;33724;678060;16193656;104.63;5963552;1593104;2300
hn0-hadoop;5;2024-07-11 19:20:31 UTC;421088;828612;7715448;94.82;31764;626984;16141972;104.30;5635788;1651444;2068
hn0-hadoop;5;2024-07-11 19:20:36 UTC;348060;758888;7788476;95.72;31768;629600;15954284;103.09;5716728;1641096;2300
hn0-hadoop;5;2024-07-11 19:20:41 UTC;541868;957120;7594668;93.34;31780;633380;15673340;101.27;5543484;1624008;2016
hn0-hadoop;5;2024-07-11 19:20:46 UTC;530632;946844;7605904;93.48;31780;634472;15682076;101.33;5556120;1622356;1880
hn0-hadoop;5;2024-07-11 19:20:51 UTC;542616;959192;7593920;93.33;31780;634836;15679016;101.31;5543452;1622736;2152
hn0-hadoop;5;2024-07-11 19:20:56 UTC;539844;956696;7596692;93.37;31780;637088;15679016;101.31;5545004;1624272;1148
hn0-hadoop;5;2024-07-11 19:21:01 UTC;525900;943044;7610636;93.54;31792;637404;15692976;101.40;5561320;1622412;1200
hn0-hadoop;5;2024-07-11 19:21:06 UTC;524552;942640;7611984;93.55;31792;638508;15692332;101.39;5560920;1622984;2308
hn0-hadoop;5;2024-07-11 19:21:11 UTC;539060;957060;7597476;93.37;31800;638196;15687104;101.36;5547660;1622564;1996
hn0-hadoop;5;2024-07-11 19:21:16 UTC;538808;956876;7597728;93.38;31800;638288;15687104;101.36;5548220;1622524;2080
hn0-hadoop;5;2024-07-11 19:21:21 UTC;537724;955776;7598812;93.39;31800;638328;15689444;101.38;5548556;1622076;1620
hn0-hadoop;5;2024-07-11 19:21:26 UTC;274940;693096;7861596;96.62;31808;638468;16153720;104.38;5812864;1622196;1604
hn0-hadoop;5;2024-07-11 19:21:31 UTC;529668;948180;7606868;93.49;31816;638768;15691308;101.39;5593200;1586468;2116
hn0-hadoop;5;2024-07-11 19:21:36 UTC;535792;954268;7600744;93.41;31816;638312;15685280;101.35;5588780;1584460;2072
hn0-hadoop;5;2024-07-11 19:21:41 UTC;536792;955232;7599744;93.40;31824;638248;15682652;101.33;5589220;1583016;924
hn0-hadoop;5;2024-07-11 19:21:46 UTC;529060;947540;7607476;93.50;31824;638320;15684124;101.34;5597612;1582804;960
hn0-hadoop;5;2024-07-11 19:21:51 UTC;536492;954992;7600044;93.41;31824;638316;15677996;101.30;5589740;1582776;976
hn0-hadoop;5;2024-07-11 19:21:56 UTC;535312;955156;7601224;93.42;31840;639656;15677996;101.30;5590068;1584016;2120
hn0-hadoop;5;2024-07-11 19:22:01 UTC;524120;944540;7612416;93.56;31856;640016;15697784;101.43;5602480;1583744;2424
