# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-05 21:26:15 UTC;eth0;92.00;105.60;31.75;32.81;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-05 21:26:15 UTC;lo;20.60;20.60;14.69;14.69;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-05 21:26:20 UTC;eth0;158.80;139.00;101.78;54.82;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-05 21:26:20 UTC;lo;24.60;24.60;23.84;23.84;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-05 21:26:25 UTC;eth0;137.40;127.60;84.14;40.84;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-05 21:26:25 UTC;lo;60.00;60.00;217.60;217.60;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-05 21:26:30 UTC;eth0;29.40;43.00;5.38;6.01;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-05 21:26:30 UTC;lo;23.80;23.80;44.51;44.51;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-05 21:26:35 UTC;eth0;39.60;55.20;12.92;10.29;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-05 21:26:35 UTC;lo;49.00;49.00;280.30;280.30;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-05 21:26:40 UTC;eth0;46.11;60.68;16.03;10.77;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-05 21:26:40 UTC;lo;39.72;39.72;36.07;36.07;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-05 21:26:45 UTC;eth0;109.40;92.00;87.25;19.77;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-05 21:26:45 UTC;lo;864.00;864.00;320.02;320.02;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-05 21:26:50 UTC;eth0;6395.60;338.80;8603.16;161.38;0.00;0.00;0.00;0.14
hn0-hadoop;5;2024-07-05 21:26:50 UTC;lo;86.40;86.40;73.35;73.35;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-05 21:26:55 UTC;eth0;126.80;117.60;79.12;79.87;0.00;0.00;0.00;0.00
