# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-08 14:46:04 UTC;eth0;104.40;118.00;39.58;35.39;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:04 UTC;lo;52.40;52.40;25.97;25.97;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:09 UTC;eth0;142.20;138.00;74.91;58.77;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:09 UTC;lo;52.40;52.40;37.83;37.83;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:14 UTC;eth0;104.20;112.60;52.82;31.79;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:14 UTC;lo;25.40;25.40;12.93;12.93;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:19 UTC;eth0;47.11;55.09;21.64;8.55;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:19 UTC;lo;21.36;21.36;10.27;10.27;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:24 UTC;eth0;112.20;96.80;77.12;22.02;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:24 UTC;lo;25.40;25.40;14.55;14.55;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:29 UTC;eth0;48.00;57.60;19.87;10.03;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:29 UTC;lo;45.00;45.00;233.46;233.46;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:34 UTC;eth0;48.70;58.48;20.41;9.39;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:34 UTC;lo;40.92;40.92;263.09;263.09;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:39 UTC;eth0;59.40;55.20;35.28;11.48;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:39 UTC;lo;45.00;45.00;33.27;33.27;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:44 UTC;eth0;48.80;52.60;26.83;7.61;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:44 UTC;lo;873.00;873.00;320.36;320.36;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:49 UTC;eth0;76.40;73.60;43.36;78.29;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:49 UTC;lo;63.80;63.80;42.27;42.27;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:54 UTC;eth0;80.20;79.00;48.11;18.48;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:54 UTC;lo;50.20;50.20;66.29;66.29;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:59 UTC;eth0;58.60;65.80;24.44;20.98;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:46:59 UTC;lo;23.20;23.20;38.67;38.67;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:04 UTC;eth0;244.80;256.60;104.54;135.61;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:04 UTC;lo;20.60;20.60;10.08;10.08;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:09 UTC;eth0;816.40;808.00;117.13;7358.55;0.00;0.00;0.00;0.12
hn0-hadoop;5;2024-07-08 14:47:09 UTC;lo;36.20;36.20;21.19;21.19;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:14 UTC;eth0;872.20;1053.80;93.43;7919.28;0.00;0.00;0.00;0.13
hn0-hadoop;5;2024-07-08 14:47:14 UTC;lo;24.00;24.00;7.29;7.29;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:19 UTC;eth0;26.80;44.60;5.43;5.75;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:19 UTC;lo;19.20;19.20;10.33;10.33;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:24 UTC;eth0;69.00;79.40;36.83;20.29;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:24 UTC;lo;20.40;20.40;9.92;9.92;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:29 UTC;eth0;56.80;61.60;28.52;10.59;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:29 UTC;lo;57.00;57.00;21.67;21.67;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:34 UTC;eth0;73.40;85.00;30.77;73.54;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:34 UTC;lo;22.80;22.80;14.15;14.15;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:39 UTC;eth0;59.60;69.40;27.05;12.06;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:39 UTC;lo;34.80;34.80;16.02;16.02;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:44 UTC;eth0;67.00;65.60;39.91;10.34;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:44 UTC;lo;21.40;21.40;16.64;16.64;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:49 UTC;eth0;99.00;95.40;54.81;112.67;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:49 UTC;lo;86.80;86.80;228.49;228.49;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:54 UTC;eth0;121.56;95.81;86.87;41.58;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:54 UTC;lo;24.15;24.15;19.16;19.16;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:59 UTC;eth0;41.60;55.80;15.37;8.01;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:47:59 UTC;lo;51.60;51.60;134.14;134.14;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:48:04 UTC;eth0;40.60;56.00;12.72;8.94;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-08 14:48:04 UTC;lo;34.20;34.20;28.89;28.89;0.00;0.00;0.00;0.00
