# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-05 22:50:24 UTC;2.80;0.00;2.80;0.00;38.40
hn0-hadoop;5;2024-07-05 22:50:29 UTC;2.00;0.00;2.00;0.00;35.20
hn0-hadoop;5;2024-07-05 22:50:34 UTC;12.38;0.40;11.98;3.19;774.45
hn0-hadoop;5;2024-07-05 22:50:39 UTC;3.20;0.00;3.20;0.00;32.00
hn0-hadoop;5;2024-07-05 22:50:44 UTC;3.80;0.00;3.80;0.00;225.60
hn0-hadoop;5;2024-07-05 22:50:49 UTC;3.80;0.00;3.80;0.00;230.40
hn0-hadoop;5;2024-07-05 22:50:54 UTC;24.60;0.20;24.40;1.60;1086.40
hn0-hadoop;5;2024-07-05 22:50:59 UTC;2.40;0.60;1.80;9.60;20.80
hn0-hadoop;5;2024-07-05 22:51:04 UTC;0.60;0.00;0.60;0.00;11.20
hn0-hadoop;5;2024-07-05 22:51:09 UTC;1.00;0.00;1.00;0.00;14.40
hn0-hadoop;5;2024-07-05 22:51:14 UTC;3.40;0.00;3.40;0.00;33.60
hn0-hadoop;5;2024-07-05 22:51:19 UTC;3.20;0.00;3.20;0.00;260.80
hn0-hadoop;5;2024-07-05 22:51:24 UTC;2.40;0.00;2.40;0.00;32.00
hn0-hadoop;5;2024-07-05 22:51:29 UTC;8.20;0.20;8.00;1.60;169.60
hn0-hadoop;5;2024-07-05 22:51:34 UTC;2.00;0.00;2.00;0.00;32.00
hn0-hadoop;5;2024-07-05 22:51:39 UTC;1.80;0.40;1.40;4.80;19.20
hn0-hadoop;5;2024-07-05 22:51:44 UTC;2.20;0.00;2.20;0.00;25.60
hn0-hadoop;5;2024-07-05 22:51:49 UTC;13.40;2.20;11.20;30.40;702.40
hn0-hadoop;5;2024-07-05 22:51:54 UTC;6.20;2.20;4.00;48.00;120.00
hn0-hadoop;5;2024-07-05 22:51:59 UTC;12.80;0.00;12.80;0.00;155.20
hn0-hadoop;5;2024-07-05 22:52:04 UTC;4.40;0.00;4.40;0.00;70.40
hn0-hadoop;5;2024-07-05 22:52:09 UTC;2.40;0.00;2.40;0.00;438.40
hn0-hadoop;5;2024-07-05 22:52:14 UTC;1.80;0.00;1.80;0.00;24.00
hn0-hadoop;5;2024-07-05 22:52:19 UTC;4.19;0.00;4.19;0.00;209.18
hn0-hadoop;5;2024-07-05 22:52:24 UTC;4.00;0.00;4.00;0.00;46.40
hn0-hadoop;5;2024-07-05 22:52:29 UTC;9.20;0.20;9.00;1.60;196.80
hn0-hadoop;5;2024-07-05 22:52:34 UTC;2.40;0.00;2.40;0.00;30.40
hn0-hadoop;5;2024-07-05 22:52:39 UTC;2.40;0.00;2.40;0.00;88.00
hn0-hadoop;5;2024-07-05 22:52:44 UTC;3.59;0.20;3.39;6.39;51.10
hn0-hadoop;5;2024-07-05 22:52:49 UTC;25.00;1.20;23.80;11.20;368.00
hn0-hadoop;5;2024-07-05 22:52:54 UTC;1.80;0.00;1.80;0.00;40.00
hn0-hadoop;5;2024-07-05 22:53:00 UTC;10.18;0.00;10.18;0.00;549.30
hn0-hadoop;5;2024-07-05 22:53:05 UTC;3.40;0.00;3.40;0.00;200.00
hn0-hadoop;5;2024-07-05 22:53:10 UTC;4.20;0.40;3.80;3.20;48.00
hn0-hadoop;5;2024-07-05 22:53:15 UTC;3.20;0.00;3.20;0.00;99.20
hn0-hadoop;5;2024-07-05 22:53:20 UTC;2.20;0.00;2.20;0.00;177.60
hn0-hadoop;5;2024-07-05 22:53:25 UTC;3.60;0.00;3.60;0.00;505.60
hn0-hadoop;5;2024-07-05 22:53:30 UTC;9.00;0.00;9.00;0.00;185.60
hn0-hadoop;5;2024-07-05 22:53:35 UTC;6.60;3.40;3.20;65.60;46.40
hn0-hadoop;5;2024-07-05 22:53:40 UTC;5.20;1.20;4.00;11.20;41.60
hn0-hadoop;5;2024-07-05 22:53:45 UTC;3.60;0.00;3.60;0.00;35.20
hn0-hadoop;5;2024-07-05 22:53:50 UTC;20.40;2.20;18.20;56.00;1158.40
hn0-hadoop;5;2024-07-05 22:53:55 UTC;1.20;0.00;1.20;0.00;16.00
hn0-hadoop;5;2024-07-05 22:54:00 UTC;10.80;0.60;10.20;8.00;305.60
hn0-hadoop;5;2024-07-05 22:54:05 UTC;4.40;0.20;4.20;1.60;38.40
hn0-hadoop;5;2024-07-05 22:54:10 UTC;9.40;0.20;9.20;1.60;115.20
hn0-hadoop;5;2024-07-05 22:54:15 UTC;3.60;0.00;3.60;0.00;35.20
hn0-hadoop;5;2024-07-05 22:54:20 UTC;3.40;0.00;3.40;0.00;598.40
hn0-hadoop;5;2024-07-05 22:54:25 UTC;0.60;0.00;0.60;0.00;54.40
hn0-hadoop;5;2024-07-05 22:54:30 UTC;8.40;0.20;8.20;1.60;555.20
hn0-hadoop;5;2024-07-05 22:54:35 UTC;1.00;0.00;1.00;0.00;24.00
hn0-hadoop;5;2024-07-05 22:54:40 UTC;5.20;0.40;4.80;3.20;75.20
hn0-hadoop;5;2024-07-05 22:54:45 UTC;4.00;0.00;4.00;0.00;883.20
hn0-hadoop;5;2024-07-05 22:54:50 UTC;18.16;0.00;18.16;0.00;301.80
hn0-hadoop;5;2024-07-05 22:54:55 UTC;2.40;0.00;2.40;0.00;36.80
hn0-hadoop;5;2024-07-05 22:55:00 UTC;10.80;0.00;10.80;0.00;134.40
hn0-hadoop;5;2024-07-05 22:55:05 UTC;7.40;0.20;7.20;36.80;145.60
hn0-hadoop;5;2024-07-05 22:55:10 UTC;0.80;0.00;0.80;0.00;12.80
hn0-hadoop;5;2024-07-05 22:55:15 UTC;3.00;0.00;3.00;0.00;203.20
hn0-hadoop;5;2024-07-05 22:55:20 UTC;3.40;0.00;3.40;0.00;176.00
hn0-hadoop;5;2024-07-05 22:55:25 UTC;3.19;0.00;3.19;0.00;33.53
hn0-hadoop;5;2024-07-05 22:55:30 UTC;6.20;0.00;6.20;0.00;481.60
hn0-hadoop;5;2024-07-05 22:55:35 UTC;6.80;0.00;6.80;0.00;155.20
hn0-hadoop;5;2024-07-05 22:55:40 UTC;1.40;0.00;1.40;0.00;25.60
hn0-hadoop;5;2024-07-05 22:55:45 UTC;0.80;0.00;0.80;0.00;14.40
hn0-hadoop;5;2024-07-05 22:55:50 UTC;23.00;0.80;22.20;6.40;817.60
hn0-hadoop;5;2024-07-05 22:55:55 UTC;3.40;0.00;3.40;0.00;33.60
hn0-hadoop;5;2024-07-05 22:56:00 UTC;3.40;0.00;3.40;0.00;38.40
