# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-06 00:17:12 UTC;eth0;117.60;123.00;55.57;46.60;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:17:12 UTC;lo;17.00;17.00;11.33;11.33;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:17:17 UTC;eth0;121.80;133.80;55.72;68.13;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:17:17 UTC;lo;27.80;27.80;21.97;21.97;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:17:22 UTC;eth0;146.00;130.40;95.58;42.32;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:17:22 UTC;lo;29.40;29.40;13.81;13.81;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:17:27 UTC;eth0;66.20;65.20;36.76;12.56;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:17:27 UTC;lo;65.00;65.00;26.12;26.12;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:17:32 UTC;eth0;43.40;54.00;13.62;10.44;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:17:32 UTC;lo;20.00;20.00;8.69;8.69;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:17:37 UTC;eth0;51.20;60.60;22.53;10.93;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:17:37 UTC;lo;37.20;37.20;27.73;27.73;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:17:42 UTC;eth0;35.40;49.00;9.34;7.46;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:17:42 UTC;lo;18.80;18.80;8.29;8.29;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:17:47 UTC;eth0;6446.40;358.20;8670.08;39.58;0.00;0.00;0.00;0.14
hn0-hadoop;5;2024-07-06 00:17:47 UTC;lo;96.00;96.00;270.15;270.15;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:17:52 UTC;eth0;135.40;129.00;79.49;151.52;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:17:52 UTC;lo;42.80;42.80;31.87;31.87;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:17:57 UTC;eth0;90.60;105.00;32.76;95.29;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:17:57 UTC;lo;40.80;40.80;48.81;48.81;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:02 UTC;eth0;37.60;49.00;11.75;6.42;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:02 UTC;lo;21.40;21.40;10.25;10.25;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:07 UTC;eth0;110.38;86.03;85.96;77.11;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:07 UTC;lo;79.84;79.84;45.43;45.43;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:12 UTC;eth0;64.60;74.80;31.10;12.99;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:12 UTC;lo;30.40;30.40;13.19;13.19;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:17 UTC;eth0;55.00;70.20;21.61;10.47;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:17 UTC;lo;31.40;31.40;21.92;21.92;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:22 UTC;eth0;95.60;86.40;65.25;16.92;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:22 UTC;lo;24.40;24.40;13.34;13.34;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:27 UTC;eth0;52.80;61.60;20.01;10.90;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:27 UTC;lo;26.40;26.40;15.68;15.68;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:32 UTC;eth0;42.80;52.80;15.80;7.32;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:32 UTC;lo;18.20;18.20;10.14;10.14;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:37 UTC;eth0;60.00;70.40;26.68;10.42;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:37 UTC;lo;40.60;40.60;34.11;34.11;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:42 UTC;eth0;38.40;61.40;7.61;9.25;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:42 UTC;lo;550.20;550.20;1087.41;1087.41;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:47 UTC;eth0;59.60;71.60;28.12;12.13;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:47 UTC;lo;930.40;930.40;1016.20;1016.20;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:52 UTC;eth0;85.80;85.20;46.75;195.01;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:52 UTC;lo;29.20;29.20;19.12;19.12;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:57 UTC;eth0;71.00;77.20;35.12;15.94;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:18:57 UTC;lo;60.40;60.40;277.00;277.00;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:02 UTC;eth0;71.66;88.42;31.46;14.33;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:02 UTC;lo;51.70;51.70;19.09;19.09;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:07 UTC;eth0;65.20;71.00;38.78;12.11;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:07 UTC;lo;48.20;48.20;135.88;135.88;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:12 UTC;eth0;109.20;141.80;33.81;27.60;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:12 UTC;lo;112.40;112.40;28.46;28.46;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:17 UTC;eth0;89.40;115.00;34.02;51.13;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:17 UTC;lo;52.40;52.40;30.44;30.44;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:22 UTC;eth0;76.00;77.20;44.61;15.47;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:22 UTC;lo;24.00;24.00;13.06;13.06;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:27 UTC;eth0;38.60;53.60;12.98;9.27;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:27 UTC;lo;26.80;26.80;37.12;37.12;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:32 UTC;eth0;36.40;51.80;10.57;7.03;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:32 UTC;lo;27.20;27.20;13.65;13.65;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:37 UTC;eth0;40.60;55.40;17.48;8.77;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:37 UTC;lo;19.00;19.00;9.16;9.16;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:42 UTC;eth0;30.20;48.20;5.47;7.02;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:42 UTC;lo;24.20;24.20;26.01;26.01;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:47 UTC;eth0;70.20;63.40;48.91;10.81;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:47 UTC;lo;48.60;48.60;24.56;24.56;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:52 UTC;eth0;93.80;78.40;61.87;211.83;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:52 UTC;lo;28.20;28.20;16.50;16.50;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:57 UTC;eth0;46.00;54.80;19.64;12.67;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:19:57 UTC;lo;34.60;34.60;42.25;42.25;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:02 UTC;eth0;36.60;50.20;13.57;6.09;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:02 UTC;lo;24.40;24.40;13.53;13.53;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:07 UTC;eth0;67.00;65.40;42.29;9.59;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:07 UTC;lo;19.00;19.00;11.04;11.04;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:12 UTC;eth0;51.80;63.80;22.83;10.37;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:12 UTC;lo;22.40;22.40;17.91;17.91;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:17 UTC;eth0;51.00;63.60;20.64;10.23;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:17 UTC;lo;57.40;57.40;303.80;303.80;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:22 UTC;eth0;91.20;88.20;51.55;15.98;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:22 UTC;lo;28.20;28.20;13.88;13.88;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:27 UTC;eth0;36.60;50.80;10.88;8.69;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:27 UTC;lo;31.40;31.40;18.60;18.60;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:32 UTC;eth0;39.40;50.40;16.23;6.32;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:32 UTC;lo;23.40;23.40;11.54;11.54;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:37 UTC;eth0;51.40;61.60;25.50;11.70;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:37 UTC;lo;36.80;36.80;28.80;28.80;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:42 UTC;eth0;33.20;52.80;6.38;7.43;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:42 UTC;lo;708.00;708.00;309.64;309.64;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:47 UTC;eth0;52.60;64.20;23.72;11.63;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:47 UTC;lo;226.40;226.40;55.45;55.45;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:52 UTC;eth0;74.80;80.20;32.30;140.71;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:52 UTC;lo;30.80;30.80;13.92;13.92;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:57 UTC;eth0;45.80;57.20;16.76;12.99;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:20:57 UTC;lo;36.60;36.60;50.50;50.50;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:21:02 UTC;eth0;35.60;47.60;11.57;5.75;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 00:21:02 UTC;lo;33.60;33.60;24.82;24.82;0.00;0.00;0.00;0.00
