# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-06 04:10:17 UTC;1131576;1396064;7004960;86.09;38316;467824;13015508;84.10;5307872;1268864;2856
hn0-hadoop;5;2024-07-06 04:10:22 UTC;1129180;1393756;7007356;86.12;38396;467900;13017020;84.11;5309948;1268912;2496
hn0-hadoop;5;2024-07-06 04:10:27 UTC;1067932;1333212;7068604;86.87;38400;468552;13243088;85.57;5369212;1269272;2992
hn0-hadoop;5;2024-07-06 04:10:32 UTC;945820;1212016;7190716;88.38;38400;469360;13353432;86.28;5491524;1269120;2828
hn0-hadoop;5;2024-07-06 04:10:37 UTC;986164;1252652;7150372;87.88;38400;469660;13276976;85.79;5451860;1269032;2828
hn0-hadoop;5;2024-07-06 04:10:42 UTC;1041076;1307972;7095460;87.20;38400;470040;13242856;85.57;5396488;1269440;3308
hn0-hadoop;5;2024-07-06 04:10:47 UTC;931272;1197872;7205264;88.55;38400;469808;13701032;88.53;5504812;1269200;1936
hn0-hadoop;5;2024-07-06 04:10:52 UTC;902424;1213104;7234112;88.91;38436;511336;13380680;86.46;5486264;1310736;44608
hn0-hadoop;5;2024-07-06 04:10:57 UTC;665040;1080496;7471496;91.83;38436;605440;13621556;88.01;5604276;1403568;86872
hn0-hadoop;5;2024-07-06 04:11:02 UTC;387124;914560;7749412;95.24;38500;701788;13619568;88.00;5771784;1496384;91712
hn0-hadoop;5;2024-07-06 04:11:07 UTC;271600;856532;7864936;96.66;38500;749432;13645744;88.17;5832148;1540332;38180
hn0-hadoop;5;2024-07-06 04:11:12 UTC;249400;834268;7887136;96.93;38500;749440;13687868;88.44;5855100;1540144;2052
hn0-hadoop;5;2024-07-06 04:11:17 UTC;203600;789560;7932936;97.50;38500;750488;13720156;88.65;5901860;1540360;3116
hn0-hadoop;5;2024-07-06 04:11:22 UTC;222944;808804;7913592;97.26;38508;750276;13694360;88.48;5884308;1540052;3044
hn0-hadoop;5;2024-07-06 04:11:27 UTC;215880;801860;7920656;97.35;38508;749928;13648620;88.19;5893936;1537192;3116
hn0-hadoop;5;2024-07-06 04:11:32 UTC;216120;802128;7920416;97.34;38540;749948;13622472;88.02;5893356;1537192;11068
hn0-hadoop;5;2024-07-06 04:11:37 UTC;215868;802032;7920668;97.35;38540;750028;13622396;88.02;5894132;1536984;9492
hn0-hadoop;5;2024-07-06 04:11:42 UTC;200668;787164;7935868;97.53;38540;750344;13624176;88.03;5909932;1537312;9700
