# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-06 07:01:45 UTC;eth0;85.80;97.00;33.22;32.38;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 07:01:45 UTC;lo;21.00;21.00;9.21;9.21;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 07:01:50 UTC;eth0;152.80;143.20;76.33;147.09;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 07:01:50 UTC;lo;86.00;86.00;75.06;75.06;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 07:01:55 UTC;eth0;102.40;105.40;51.78;37.37;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 07:01:55 UTC;lo;29.40;29.40;33.08;33.08;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 07:02:00 UTC;eth0;60.60;58.60;29.91;69.09;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 07:02:00 UTC;lo;29.60;29.60;52.01;52.01;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 07:02:05 UTC;eth0;51.00;57.00;23.97;8.71;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 07:02:05 UTC;lo;29.20;29.20;15.69;15.69;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 07:02:10 UTC;eth0;77.60;73.00;51.38;14.15;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 07:02:10 UTC;lo;19.00;19.00;8.74;8.74;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 07:02:15 UTC;eth0;62.80;68.40;35.74;15.63;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 07:02:15 UTC;lo;27.80;27.80;18.52;18.52;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 07:02:20 UTC;eth0;58.40;66.20;29.06;14.13;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 07:02:20 UTC;lo;22.60;22.60;22.72;22.72;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 07:02:25 UTC;eth0;71.00;77.00;37.90;16.25;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 07:02:25 UTC;lo;32.20;32.20;15.09;15.09;0.00;0.00;0.00;0.00
