# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-08 10:59:38 UTC;1252420;1501516;6884116;84.61;36264;453228;13099984;84.64;5164204;1285652;14224
hn0-hadoop;5;2024-07-08 10:59:43 UTC;1253468;1504632;6883068;84.59;36264;453320;12975128;83.84;5160088;1284404;14304
hn0-hadoop;5;2024-07-08 10:59:48 UTC;1208400;1460116;6928136;85.15;36272;453916;13170760;85.10;5204092;1283128;14788
hn0-hadoop;5;2024-07-08 10:59:53 UTC;1088696;1340560;7047840;86.62;36280;454008;13066192;84.43;5324772;1283208;14880
hn0-hadoop;5;2024-07-08 10:59:58 UTC;1158932;1410828;6977604;85.76;36280;454032;13043176;84.28;5253812;1282828;14916
hn0-hadoop;5;2024-07-08 11:00:03 UTC;1055604;1307864;7080932;87.03;36280;454364;13128960;84.83;5364220;1276496;14836
hn0-hadoop;5;2024-07-08 11:00:08 UTC;1029508;1290008;7107028;87.35;36420;464356;13141712;84.91;5378256;1286212;9636
hn0-hadoop;5;2024-07-08 11:00:13 UTC;953940;1207240;7182596;88.28;36420;457160;13289952;85.87;5461796;1279012;2444
hn0-hadoop;5;2024-07-08 11:00:18 UTC;838116;1091504;7298420;89.70;36420;457312;13400656;86.59;5576636;1278476;2316
hn0-hadoop;5;2024-07-08 11:00:23 UTC;837580;1090988;7298956;89.71;36428;457344;13400656;86.59;5577316;1278496;1176
hn0-hadoop;5;2024-07-08 11:00:28 UTC;825696;1079468;7310840;89.85;36428;457668;13408960;86.64;5589360;1278832;1468
hn0-hadoop;5;2024-07-08 11:00:33 UTC;827444;1081252;7309092;89.83;36428;457704;13411740;86.66;5586740;1278868;1420
hn0-hadoop;5;2024-07-08 11:00:38 UTC;832136;1086060;7304400;89.77;36444;455784;13408760;86.64;5586024;1275400;1092
hn0-hadoop;5;2024-07-08 11:00:43 UTC;843400;1097408;7293136;89.63;36444;455840;13400968;86.59;5574244;1275468;1188
hn0-hadoop;5;2024-07-08 11:00:48 UTC;788584;1043052;7347952;90.31;36696;455996;13940000;90.07;5627500;1275532;2240
hn0-hadoop;5;2024-07-08 11:00:53 UTC;698332;952836;7438204;91.42;36704;455988;13661976;88.28;5721912;1274596;2224
hn0-hadoop;5;2024-07-08 11:00:58 UTC;843936;1098660;7292600;89.63;36704;455980;13398432;86.57;5574784;1274300;1748
hn0-hadoop;5;2024-07-08 11:01:03 UTC;840968;1096016;7295568;89.66;36704;456304;13381736;86.46;5579876;1274624;2084
hn0-hadoop;5;2024-07-08 11:01:08 UTC;848160;1103124;7288376;89.58;36716;456312;13371044;86.40;5573476;1274500;2204
hn0-hadoop;5;2024-07-08 11:01:13 UTC;839292;1094428;7297244;89.68;36716;456376;13383140;86.47;5581748;1274668;1760
hn0-hadoop;5;2024-07-08 11:01:18 UTC;848068;1102852;7288468;89.58;36716;456092;13372644;86.41;5574068;1274108;2508
hn0-hadoop;5;2024-07-08 11:01:23 UTC;848612;1103420;7287924;89.57;36724;456136;13372644;86.41;5573772;1274132;1400
hn0-hadoop;5;2024-07-08 11:01:28 UTC;847196;1102024;7289340;89.59;36724;456192;13372644;86.41;5573364;1274180;1352
hn0-hadoop;5;2024-07-08 11:01:33 UTC;846872;1101720;7289664;89.59;36724;456212;13375792;86.43;5573428;1274200;1364
hn0-hadoop;5;2024-07-08 11:01:38 UTC;830848;1086100;7305688;89.79;36736;456568;13385292;86.49;5591040;1274316;1956
hn0-hadoop;5;2024-07-08 11:01:43 UTC;832360;1087696;7304176;89.77;36736;456648;13378944;86.45;5590356;1274396;2036
hn0-hadoop;5;2024-07-08 11:01:48 UTC;810592;1065668;7325944;90.04;36740;456448;13701512;88.53;5612164;1274152;1828
hn0-hadoop;5;2024-07-08 11:01:53 UTC;838780;1093848;7297756;89.69;36740;456428;13366092;86.36;5584652;1273836;764
hn0-hadoop;5;2024-07-08 11:01:58 UTC;843740;1098916;7292796;89.63;36748;456476;13375016;86.42;5578156;1273676;716
hn0-hadoop;5;2024-07-08 11:02:03 UTC;844120;1099324;7292416;89.63;36748;456508;13361912;86.34;5578244;1273708;744
hn0-hadoop;5;2024-07-08 11:02:08 UTC;832596;1088152;7303940;89.77;36756;456840;13373220;86.41;5590308;1274044;960
hn0-hadoop;5;2024-07-08 11:02:13 UTC;842424;1097880;7294112;89.65;36756;456816;13355644;86.30;5581152;1273928;496
hn0-hadoop;5;2024-07-08 11:02:18 UTC;827432;1083004;7309104;89.83;36756;456900;13383344;86.47;5594904;1273892;1712
hn0-hadoop;5;2024-07-08 11:02:23 UTC;838992;1094288;7297544;89.69;36756;456632;13556412;87.59;5583256;1273624;1428
hn0-hadoop;5;2024-07-08 11:02:28 UTC;835012;1090628;7301524;89.74;36764;456664;13645964;88.17;5585072;1273648;1460
hn0-hadoop;5;2024-07-08 11:02:33 UTC;828872;1084648;7307664;89.81;36764;456760;13862660;89.57;5592004;1273496;1424
hn0-hadoop;5;2024-07-08 11:02:38 UTC;823724;1079496;7312812;89.88;36780;456816;13870300;89.62;5599108;1272388;1756
hn0-hadoop;5;2024-07-08 11:02:43 UTC;807116;1063596;7329420;90.08;36780;457520;13897040;89.79;5614464;1272908;2380
hn0-hadoop;5;2024-07-08 11:02:48 UTC;750728;1007240;7385808;90.77;36784;457620;14444568;93.33;5667856;1270080;2372
hn0-hadoop;5;2024-07-08 11:02:53 UTC;823784;1080408;7312752;89.88;36784;457616;13455212;86.94;5601432;1269452;2488
hn0-hadoop;5;2024-07-08 11:02:58 UTC;822460;1078976;7314076;89.89;36792;459524;13682900;88.41;5598408;1271136;2388
hn0-hadoop;5;2024-07-08 11:03:03 UTC;666752;923240;7469784;91.81;36792;459424;14194788;91.72;5753332;1271024;2272
hn0-hadoop;5;2024-07-08 11:03:08 UTC;683236;939776;7453300;91.60;36804;459444;14202220;91.77;5735528;1271040;1052
hn0-hadoop;5;2024-07-08 11:03:13 UTC;819388;1075956;7317148;89.93;36804;459420;13753992;88.87;5600392;1270948;1112
hn0-hadoop;5;2024-07-08 11:03:18 UTC;836660;1093268;7299876;89.72;36804;457468;13550532;87.56;5580540;1274248;1724
hn0-hadoop;5;2024-07-08 11:03:23 UTC;832936;1089712;7303600;89.76;36804;457748;13545396;87.52;5585624;1274348;1920
hn0-hadoop;5;2024-07-08 11:03:28 UTC;837612;1094408;7298924;89.71;36812;457684;13487884;87.15;5580412;1274356;336
hn0-hadoop;5;2024-07-08 11:03:33 UTC;832192;1089064;7304344;89.77;36812;457708;13579820;87.74;5585692;1274384;440
hn0-hadoop;5;2024-07-08 11:03:38 UTC;794028;1050800;7342508;90.24;36820;457580;13493776;87.19;5626448;1273776;644
hn0-hadoop;5;2024-07-08 11:03:43 UTC;796032;1053048;7340504;90.22;36820;457932;13493776;87.19;5622508;1274108;504
hn0-hadoop;5;2024-07-08 11:03:48 UTC;752200;1009456;7384336;90.76;36944;458084;14224132;91.91;5662072;1274172;1752
hn0-hadoop;5;2024-07-08 11:03:53 UTC;673836;931128;7462700;91.72;36944;458084;13953892;90.16;5744136;1273884;1384
hn0-hadoop;5;2024-07-08 11:03:58 UTC;587088;845420;7549448;92.78;36952;459056;14250084;92.08;5827848;1274432;268
hn0-hadoop;5;2024-07-08 11:04:03 UTC;691164;948916;7445372;91.51;36952;458612;13990328;90.40;5726140;1273864;732
hn0-hadoop;5;2024-07-08 11:04:08 UTC;592416;850728;7544120;92.72;36952;459084;13750200;88.85;5824780;1274408;2328
hn0-hadoop;5;2024-07-08 11:04:13 UTC;807528;1065020;7329008;90.08;36956;458276;13406948;86.63;5612124;1273568;2044
hn0-hadoop;5;2024-07-08 11:04:18 UTC;812160;1069640;7324376;90.02;36956;458308;13409520;86.64;5608344;1273212;1928
hn0-hadoop;5;2024-07-08 11:04:23 UTC;812476;1069988;7324060;90.01;36956;458328;13409520;86.64;5608656;1273136;220
hn0-hadoop;5;2024-07-08 11:04:28 UTC;812916;1070484;7323620;90.01;36964;458360;13409520;86.64;5608392;1273168;300
hn0-hadoop;5;2024-07-08 11:04:33 UTC;796576;1054456;7339960;90.21;36964;458692;13413992;86.67;5625644;1273464;632
hn0-hadoop;5;2024-07-08 11:04:38 UTC;785672;1043608;7350864;90.34;36984;458720;13720368;88.65;5635036;1273336;1028
hn0-hadoop;5;2024-07-08 11:04:43 UTC;797360;1055560;7339176;90.20;36984;459164;13616388;87.98;5625056;1273588;2132
hn0-hadoop;5;2024-07-08 11:04:48 UTC;760588;1018568;7375948;90.65;36992;458940;13756328;88.88;5662624;1273344;2956
hn0-hadoop;5;2024-07-08 11:04:53 UTC;797580;1055612;7338956;90.20;36992;458944;13397672;86.57;5626188;1272908;2896
hn0-hadoop;5;2024-07-08 11:04:58 UTC;810324;1068328;7326212;90.04;37000;458980;13397672;86.57;5613496;1272944;300
hn0-hadoop;5;2024-07-08 11:05:03 UTC;807960;1066108;7328576;90.07;37000;459008;13405016;86.61;5614240;1272264;376
hn0-hadoop;5;2024-07-08 11:05:08 UTC;802220;1060708;7334316;90.14;37008;459340;13398988;86.58;5621128;1272596;1048
hn0-hadoop;5;2024-07-08 11:05:13 UTC;795620;1054276;7340916;90.22;37008;459496;13384312;86.48;5627604;1272748;1092
hn0-hadoop;5;2024-07-08 11:05:18 UTC;806960;1065536;7329576;90.08;37008;459412;13384560;86.48;5616108;1272664;484
hn0-hadoop;5;2024-07-08 11:05:23 UTC;805044;1063452;7331492;90.11;37008;461124;13392556;86.53;5615132;1274176;264
