# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-08 13:17:34 UTC;3.40;0.00;3.40;0.00;48.00
hn0-hadoop;5;2024-07-08 13:17:39 UTC;7.40;0.00;7.40;0.00;302.40
hn0-hadoop;5;2024-07-08 13:17:44 UTC;3.60;0.00;3.60;0.00;46.40
hn0-hadoop;5;2024-07-08 13:17:49 UTC;5.79;0.60;5.19;4.79;60.68
hn0-hadoop;5;2024-07-08 13:17:54 UTC;4.80;0.00;4.80;0.00;124.80
hn0-hadoop;5;2024-07-08 13:17:59 UTC;4.20;0.00;4.20;0.00;54.40
hn0-hadoop;5;2024-07-08 13:18:04 UTC;3.80;0.00;3.80;0.00;80.00
hn0-hadoop;5;2024-07-08 13:18:09 UTC;10.80;0.40;10.40;16.00;337.60
hn0-hadoop;5;2024-07-08 13:18:14 UTC;17.17;0.00;17.17;0.00;169.26
hn0-hadoop;5;2024-07-08 13:18:19 UTC;4.20;0.00;4.20;0.00;134.40
hn0-hadoop;5;2024-07-08 13:18:24 UTC;3.80;0.00;3.80;0.00;94.40
hn0-hadoop;5;2024-07-08 13:18:29 UTC;21.00;0.00;21.00;0.00;726.40
hn0-hadoop;5;2024-07-08 13:18:34 UTC;3.60;0.00;3.60;0.00;40.00
hn0-hadoop;5;2024-07-08 13:18:39 UTC;2.40;1.20;1.20;9.60;214.40
hn0-hadoop;5;2024-07-08 13:18:44 UTC;20.80;0.00;20.80;0.00;659.20
hn0-hadoop;5;2024-07-08 13:18:49 UTC;3.80;0.40;3.40;3.20;44.80
hn0-hadoop;5;2024-07-08 13:18:54 UTC;2.59;0.00;2.59;0.00;46.31
hn0-hadoop;5;2024-07-08 13:18:59 UTC;5.20;0.00;5.20;0.00;41.60
hn0-hadoop;5;2024-07-08 13:19:04 UTC;6.00;0.00;6.00;0.00;68.80
hn0-hadoop;5;2024-07-08 13:19:09 UTC;12.20;0.60;11.60;8.00;718.40
hn0-hadoop;5;2024-07-08 13:19:14 UTC;12.80;0.20;12.60;3.20;158.40
hn0-hadoop;5;2024-07-08 13:19:19 UTC;3.60;0.00;3.60;0.00;168.00
hn0-hadoop;5;2024-07-08 13:19:24 UTC;15.40;0.00;15.40;0.00;620.80
hn0-hadoop;5;2024-07-08 13:19:29 UTC;3.80;0.00;3.80;0.00;432.00
hn0-hadoop;5;2024-07-08 13:19:34 UTC;2.20;0.00;2.20;0.00;28.80
hn0-hadoop;5;2024-07-08 13:19:39 UTC;21.60;0.00;21.60;0.00;563.20
hn0-hadoop;5;2024-07-08 13:19:44 UTC;3.00;0.20;2.80;1.60;28.80
hn0-hadoop;5;2024-07-08 13:19:49 UTC;2.80;0.00;2.80;0.00;40.00
hn0-hadoop;5;2024-07-08 13:19:54 UTC;9.60;0.00;9.60;0.00;171.20
hn0-hadoop;5;2024-07-08 13:19:59 UTC;0.80;0.00;0.80;0.00;81.60
hn0-hadoop;5;2024-07-08 13:20:04 UTC;1.20;0.00;1.20;0.00;38.40
hn0-hadoop;5;2024-07-08 13:20:09 UTC;3.00;0.00;3.00;0.00;161.60
hn0-hadoop;5;2024-07-08 13:20:14 UTC;2.99;0.00;2.99;0.00;92.61
hn0-hadoop;5;2024-07-08 13:20:19 UTC;2.80;0.00;2.80;0.00;28.80
hn0-hadoop;5;2024-07-08 13:20:24 UTC;1.40;0.20;1.20;3.20;57.60
hn0-hadoop;5;2024-07-08 13:20:29 UTC;10.60;0.00;10.60;0.00;236.80
hn0-hadoop;5;2024-07-08 13:20:34 UTC;2.20;0.00;2.20;0.00;425.60
hn0-hadoop;5;2024-07-08 13:20:39 UTC;14.20;0.00;14.20;0.00;268.80
hn0-hadoop;5;2024-07-08 13:20:44 UTC;2.60;0.00;2.60;0.00;27.20
hn0-hadoop;5;2024-07-08 13:20:49 UTC;4.40;0.20;4.20;1.60;51.20
hn0-hadoop;5;2024-07-08 13:20:54 UTC;3.20;0.00;3.20;0.00;43.20
hn0-hadoop;5;2024-07-08 13:20:59 UTC;0.80;0.00;0.80;0.00;12.80
hn0-hadoop;5;2024-07-08 13:21:04 UTC;1.00;0.00;1.00;0.00;196.80
hn0-hadoop;5;2024-07-08 13:21:09 UTC;9.60;0.00;9.60;0.00;659.20
hn0-hadoop;5;2024-07-08 13:21:14 UTC;11.80;0.00;11.80;0.00;161.60
hn0-hadoop;5;2024-07-08 13:21:19 UTC;3.40;0.00;3.40;0.00;33.60
hn0-hadoop;5;2024-07-08 13:21:24 UTC;5.20;0.00;5.20;0.00;56.00
hn0-hadoop;5;2024-07-08 13:21:29 UTC;3.20;0.00;3.20;0.00;32.00
hn0-hadoop;5;2024-07-08 13:21:34 UTC;1.20;0.00;1.20;0.00;32.00
hn0-hadoop;5;2024-07-08 13:21:39 UTC;7.80;0.00;7.80;0.00;284.80
hn0-hadoop;5;2024-07-08 13:21:44 UTC;0.80;0.00;0.80;0.00;12.80
hn0-hadoop;5;2024-07-08 13:21:49 UTC;4.00;0.80;3.20;54.40;89.60
hn0-hadoop;5;2024-07-08 13:21:54 UTC;4.40;0.00;4.40;0.00;62.40
hn0-hadoop;5;2024-07-08 13:21:59 UTC;8.00;0.20;7.80;1.60;67.20
hn0-hadoop;5;2024-07-08 13:22:04 UTC;6.60;0.00;6.60;0.00;46.40
hn0-hadoop;5;2024-07-08 13:22:09 UTC;7.60;0.00;7.60;0.00;294.40
hn0-hadoop;5;2024-07-08 13:22:14 UTC;17.60;0.00;17.60;0.00;236.80
hn0-hadoop;5;2024-07-08 13:22:19 UTC;1.80;0.00;1.80;0.00;32.00
hn0-hadoop;5;2024-07-08 13:22:24 UTC;2.80;0.00;2.80;0.00;78.40
hn0-hadoop;5;2024-07-08 13:22:29 UTC;3.80;0.00;3.80;0.00;36.80
hn0-hadoop;5;2024-07-08 13:22:34 UTC;3.99;0.00;3.99;0.00;60.68
hn0-hadoop;5;2024-07-08 13:22:39 UTC;9.40;0.00;9.40;0.00;268.80
hn0-hadoop;5;2024-07-08 13:22:44 UTC;1.40;0.00;1.40;0.00;28.80
hn0-hadoop;5;2024-07-08 13:22:49 UTC;4.60;0.20;4.40;1.60;272.00
hn0-hadoop;5;2024-07-08 13:22:54 UTC;2.60;0.00;2.60;0.00;35.20
hn0-hadoop;5;2024-07-08 13:22:59 UTC;2.00;0.00;2.00;0.00;67.07
hn0-hadoop;5;2024-07-08 13:23:04 UTC;4.20;0.00;4.20;0.00;46.40
hn0-hadoop;5;2024-07-08 13:23:09 UTC;26.95;0.00;26.95;0.00;932.53
hn0-hadoop;5;2024-07-08 13:23:14 UTC;5.20;0.00;5.20;0.00;70.40
hn0-hadoop;5;2024-07-08 13:23:19 UTC;3.00;0.00;3.00;0.00;43.20
hn0-hadoop;5;2024-07-08 13:23:24 UTC;1.80;0.00;1.80;0.00;22.40
hn0-hadoop;5;2024-07-08 13:23:29 UTC;3.40;0.00;3.40;0.00;115.20
hn0-hadoop;5;2024-07-08 13:23:34 UTC;3.40;0.00;3.40;0.00;91.20
hn0-hadoop;5;2024-07-08 13:23:39 UTC;9.20;0.00;9.20;0.00;259.20
hn0-hadoop;5;2024-07-08 13:23:44 UTC;2.40;0.00;2.40;0.00;25.60
hn0-hadoop;5;2024-07-08 13:23:49 UTC;4.20;0.00;4.20;0.00;54.40
hn0-hadoop;5;2024-07-08 13:23:54 UTC;2.60;0.00;2.60;0.00;33.60
hn0-hadoop;5;2024-07-08 13:23:59 UTC;2.60;0.00;2.60;0.00;216.00
hn0-hadoop;5;2024-07-08 13:24:04 UTC;3.40;0.00;3.40;0.00;27.20
hn0-hadoop;5;2024-07-08 13:24:09 UTC;13.20;5.00;8.20;83.20;267.20
hn0-hadoop;5;2024-07-08 13:24:14 UTC;24.80;0.00;24.80;0.00;275.20
hn0-hadoop;5;2024-07-08 13:24:19 UTC;3.00;0.00;3.00;0.00;33.60
hn0-hadoop;5;2024-07-08 13:24:24 UTC;4.00;0.00;4.00;0.00;43.20
hn0-hadoop;5;2024-07-08 13:24:29 UTC;1.80;0.00;1.80;0.00;27.20
hn0-hadoop;5;2024-07-08 13:24:34 UTC;2.60;0.00;2.60;0.00;89.60
hn0-hadoop;5;2024-07-08 13:24:39 UTC;3.80;0.00;3.80;0.00;184.00
