# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
hn0-hadoop;5;2024-07-06 22:08:15 UTC;-1;23.86;0.00;17.81;2.51;0.00;55.82
hn0-hadoop;5;2024-07-06 22:08:20 UTC;-1;20.95;0.00;12.50;0.00;0.00;66.55
hn0-hadoop;5;2024-07-06 22:08:25 UTC;-1;25.20;0.00;16.31;0.06;0.00;58.44
hn0-hadoop;5;2024-07-06 22:08:30 UTC;-1;21.38;0.00;12.62;0.00;0.00;66.00
hn0-hadoop;5;2024-07-06 22:08:35 UTC;-1;7.66;0.00;7.50;0.00;0.00;84.84
hn0-hadoop;5;2024-07-06 22:08:40 UTC;-1;24.86;0.00;11.52;0.33;0.00;63.29
hn0-hadoop;5;2024-07-06 22:08:45 UTC;-1;48.71;0.00;16.32;0.00;0.00;34.98
hn0-hadoop;5;2024-07-06 22:08:50 UTC;-1;50.39;0.00;16.12;0.00;0.00;33.49
hn0-hadoop;5;2024-07-06 22:08:55 UTC;-1;55.64;0.00;25.86;0.06;0.00;18.44
hn0-hadoop;5;2024-07-06 22:09:00 UTC;-1;65.44;0.00;27.12;0.00;0.00;7.44
hn0-hadoop;5;2024-07-06 22:09:05 UTC;-1;68.07;0.00;26.82;0.00;0.00;5.11
hn0-hadoop;5;2024-07-06 22:09:10 UTC;-1;65.35;0.00;30.18;0.72;0.00;3.74
hn0-hadoop;5;2024-07-06 22:09:15 UTC;-1;46.81;0.00;23.03;0.19;0.00;29.97
hn0-hadoop;5;2024-07-06 22:09:20 UTC;-1;5.18;0.00;5.08;0.00;0.00;89.74
hn0-hadoop;5;2024-07-06 22:09:25 UTC;-1;8.21;0.00;6.61;0.00;0.00;85.17
hn0-hadoop;5;2024-07-06 22:09:30 UTC;-1;12.38;0.00;7.48;0.05;0.00;80.09
hn0-hadoop;5;2024-07-06 22:09:35 UTC;-1;26.30;0.00;10.18;0.00;0.00;63.52
hn0-hadoop;5;2024-07-06 22:09:40 UTC;-1;31.43;0.00;16.20;0.00;0.00;52.38
hn0-hadoop;5;2024-07-06 22:09:45 UTC;-1;11.55;0.00;7.34;0.27;0.00;80.84
hn0-hadoop;5;2024-07-06 22:09:50 UTC;-1;26.05;0.00;13.11;0.06;0.00;60.78
hn0-hadoop;5;2024-07-06 22:09:55 UTC;-1;46.70;0.00;15.76;0.00;0.00;37.54
hn0-hadoop;5;2024-07-06 22:10:00 UTC;-1;23.39;0.00;8.50;0.33;0.00;67.78
hn0-hadoop;5;2024-07-06 22:10:05 UTC;-1;15.56;0.00;7.73;0.00;0.00;76.71
hn0-hadoop;5;2024-07-06 22:10:10 UTC;-1;21.90;0.00;10.14;0.00;0.00;67.96
hn0-hadoop;5;2024-07-06 22:10:15 UTC;-1;22.66;0.00;10.43;0.34;0.00;66.57
