# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-06 21:27:05 UTC;7.40;0.00;7.40;0.00;104.00
hn0-hadoop;5;2024-07-06 21:27:10 UTC;2.00;0.00;2.00;0.00;193.60
hn0-hadoop;5;2024-07-06 21:27:15 UTC;2.00;0.00;2.00;0.00;22.40
hn0-hadoop;5;2024-07-06 21:27:20 UTC;3.19;0.00;3.19;0.00;41.52
hn0-hadoop;5;2024-07-06 21:27:25 UTC;4.00;0.80;3.20;6.40;32.00
hn0-hadoop;5;2024-07-06 21:27:30 UTC;5.00;0.20;4.80;1.60;219.20
hn0-hadoop;5;2024-07-06 21:27:35 UTC;21.80;0.00;21.80;0.00;267.20
hn0-hadoop;5;2024-07-06 21:27:40 UTC;7.40;0.00;7.40;0.00;212.80
hn0-hadoop;5;2024-07-06 21:27:45 UTC;4.60;1.40;3.20;11.20;462.40
hn0-hadoop;5;2024-07-06 21:27:50 UTC;8.40;2.00;6.40;33.60;91.20
hn0-hadoop;5;2024-07-06 21:27:55 UTC;4.18;0.00;4.18;0.00;76.49
hn0-hadoop;5;2024-07-06 21:28:00 UTC;5.96;0.40;5.57;3.18;633.00
hn0-hadoop;5;2024-07-06 21:28:05 UTC;7.39;0.00;7.39;0.00;137.33
hn0-hadoop;5;2024-07-06 21:28:10 UTC;9.00;0.20;8.80;8.00;224.00
hn0-hadoop;5;2024-07-06 21:28:15 UTC;7.80;0.00;7.80;0.00;89.60
hn0-hadoop;5;2024-07-06 21:28:20 UTC;8.40;0.00;8.40;0.00;467.20
hn0-hadoop;5;2024-07-06 21:28:25 UTC;2.00;0.00;2.00;0.00;432.00
hn0-hadoop;5;2024-07-06 21:28:30 UTC;20.00;14.40;5.60;305.60;752.00
hn0-hadoop;5;2024-07-06 21:28:35 UTC;21.40;0.00;21.40;0.00;243.20
hn0-hadoop;5;2024-07-06 21:28:40 UTC;8.80;0.00;8.80;0.00;520.00
hn0-hadoop;5;2024-07-06 21:28:45 UTC;3.40;0.00;3.40;0.00;78.40
hn0-hadoop;5;2024-07-06 21:28:50 UTC;3.80;0.00;3.80;0.00;54.40
hn0-hadoop;5;2024-07-06 21:28:55 UTC;2.60;0.00;2.60;0.00;41.60
hn0-hadoop;5;2024-07-06 21:29:00 UTC;4.20;0.60;3.60;4.80;188.80
hn0-hadoop;5;2024-07-06 21:29:05 UTC;8.00;0.40;7.60;4.80;764.80
hn0-hadoop;5;2024-07-06 21:29:10 UTC;10.20;0.00;10.20;0.00;121.60
hn0-hadoop;5;2024-07-06 21:29:15 UTC;4.40;0.00;4.40;0.00;44.80
hn0-hadoop;5;2024-07-06 21:29:20 UTC;3.60;0.00;3.60;0.00;86.40
hn0-hadoop;5;2024-07-06 21:29:25 UTC;1.40;0.00;1.40;0.00;17.60
hn0-hadoop;5;2024-07-06 21:29:30 UTC;29.00;26.40;2.60;227.20;584.00
hn0-hadoop;5;2024-07-06 21:29:35 UTC;17.00;0.40;16.60;3.20;169.60
hn0-hadoop;5;2024-07-06 21:29:40 UTC;8.80;0.00;8.80;0.00;281.60
hn0-hadoop;5;2024-07-06 21:29:45 UTC;1.80;0.00;1.80;0.00;20.80
hn0-hadoop;5;2024-07-06 21:29:50 UTC;5.00;0.20;4.80;1.60;62.40
hn0-hadoop;5;2024-07-06 21:29:55 UTC;3.40;0.00;3.40;0.00;88.00
hn0-hadoop;5;2024-07-06 21:30:00 UTC;2.00;0.00;2.00;0.00;24.00
hn0-hadoop;5;2024-07-06 21:30:05 UTC;3.80;0.00;3.80;0.00;601.60
hn0-hadoop;5;2024-07-06 21:30:10 UTC;7.20;0.00;7.20;0.00;112.00
hn0-hadoop;5;2024-07-06 21:30:15 UTC;1.00;0.00;1.00;0.00;78.40
hn0-hadoop;5;2024-07-06 21:30:20 UTC;2.60;0.00;2.60;0.00;35.20
hn0-hadoop;5;2024-07-06 21:30:25 UTC;2.80;0.00;2.80;0.00;28.80
hn0-hadoop;5;2024-07-06 21:30:30 UTC;5.60;0.00;5.60;0.00;636.80
hn0-hadoop;5;2024-07-06 21:30:35 UTC;13.60;0.00;13.60;0.00;129.60
hn0-hadoop;5;2024-07-06 21:30:40 UTC;6.40;0.00;6.40;0.00;102.40
hn0-hadoop;5;2024-07-06 21:30:45 UTC;2.20;0.00;2.20;0.00;628.80
hn0-hadoop;5;2024-07-06 21:30:50 UTC;4.80;0.20;4.60;1.60;73.60
hn0-hadoop;5;2024-07-06 21:30:55 UTC;3.60;0.00;3.60;0.00;46.40
hn0-hadoop;5;2024-07-06 21:31:00 UTC;11.00;0.00;11.00;0.00;236.80
hn0-hadoop;5;2024-07-06 21:31:05 UTC;3.60;0.00;3.60;0.00;78.40
hn0-hadoop;5;2024-07-06 21:31:10 UTC;0.80;0.00;0.80;0.00;17.60
hn0-hadoop;5;2024-07-06 21:31:15 UTC;6.60;0.00;6.60;0.00;147.20
hn0-hadoop;5;2024-07-06 21:31:20 UTC;1.40;0.00;1.40;0.00;17.56
