# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-06 21:27:05 UTC;eth0;106.80;102.60;55.28;32.17;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 21:27:05 UTC;lo;18.40;18.40;15.05;15.05;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 21:27:10 UTC;eth0;120.20;124.20;58.24;53.63;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 21:27:10 UTC;lo;24.60;24.60;13.18;13.18;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 21:27:15 UTC;eth0;136.60;137.20;72.35;60.37;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 21:27:15 UTC;lo;28.40;28.40;17.38;17.38;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 21:27:20 UTC;eth0;186.23;151.30;122.81;58.17;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 21:27:20 UTC;lo;22.16;22.16;30.57;30.57;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 21:27:25 UTC;eth0;138.20;140.20;68.74;44.99;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 21:27:25 UTC;lo;44.60;44.60;28.61;28.61;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 21:27:30 UTC;eth0;126.60;115.00;75.84;83.76;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 21:27:30 UTC;lo;49.40;49.40;24.03;24.03;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 21:27:35 UTC;eth0;46.40;55.80;10.78;18.18;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 21:27:35 UTC;lo;19.00;19.00;9.06;9.06;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 21:27:40 UTC;eth0;68.60;72.40;33.24;13.99;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 21:27:40 UTC;lo;25.60;25.60;18.67;18.67;0.00;0.00;0.00;0.00
