# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-06 21:27:05 UTC;1162456;1575120;6974080;85.71;47828;601232;12727936;82.24;5193196;1340804;976
hn0-hadoop;5;2024-07-06 21:27:10 UTC;1159244;1572932;6977292;85.75;47828;602300;12729124;82.25;5194464;1341892;1664
hn0-hadoop;5;2024-07-06 21:27:15 UTC;1144736;1558488;6991800;85.93;47828;602372;12727816;82.24;5207528;1341576;1756
hn0-hadoop;5;2024-07-06 21:27:20 UTC;1138332;1552504;6998204;86.01;47828;602800;12746516;82.36;5215416;1341948;2184
hn0-hadoop;5;2024-07-06 21:27:25 UTC;1123248;1538512;7013288;86.20;47828;603904;12866296;83.13;5226728;1343068;3240
hn0-hadoop;5;2024-07-06 21:27:30 UTC;1049180;1464872;7087356;87.11;47848;604232;13050116;84.32;5298676;1343248;3796
hn0-hadoop;5;2024-07-06 21:27:35 UTC;927336;1342852;7209200;88.60;47848;603988;13610408;87.94;5418944;1342824;2852
hn0-hadoop;5;2024-07-06 21:27:40 UTC;955024;1370628;7181512;88.26;47848;604028;13533288;87.44;5390636;1342860;2632
hn0-hadoop;5;2024-07-06 21:27:45 UTC;1001060;1416644;7135476;87.70;47848;604056;13539936;87.49;5345600;1342916;1672
hn0-hadoop;5;2024-07-06 21:27:50 UTC;928640;1346416;7207896;88.59;47848;608260;13409848;86.65;5413016;1346768;3820
hn0-hadoop;5;2024-07-06 21:27:55 UTC;855908;1273892;7280628;89.48;47848;608460;13428064;86.76;5479484;1346068;3980
hn0-hadoop;5;2024-07-06 21:28:00 UTC;678172;1096324;7458364;91.67;47864;608664;14085808;91.01;5659188;1346012;3492
hn0-hadoop;5;2024-07-06 21:28:05 UTC;524636;944688;7611900;93.55;47864;608340;14256540;92.12;5807216;1352044;4992
hn0-hadoop;5;2024-07-06 21:28:10 UTC;444420;864368;7692116;94.54;47864;608244;14410984;93.11;5884720;1351944;4556
hn0-hadoop;5;2024-07-06 21:28:15 UTC;661412;1080704;7475124;91.87;47864;607604;14103500;91.13;5675824;1350488;4000
hn0-hadoop;5;2024-07-06 21:28:20 UTC;776452;1195784;7360084;90.46;47864;607588;13489344;87.16;5560816;1350236;2968
hn0-hadoop;5;2024-07-06 21:28:25 UTC;786988;1206384;7349548;90.33;47864;607636;13486916;87.14;5552224;1350192;2000
hn0-hadoop;5;2024-07-06 21:28:30 UTC;788992;1209528;7347544;90.30;47888;608728;13420864;86.72;5550240;1351564;3044
hn0-hadoop;5;2024-07-06 21:28:35 UTC;771984;1192836;7364552;90.51;47888;609072;13434592;86.81;5569276;1351528;2760
hn0-hadoop;5;2024-07-06 21:28:40 UTC;770472;1191368;7366064;90.53;47888;609100;13441832;86.85;5571004;1351564;1712
hn0-hadoop;5;2024-07-06 21:28:45 UTC;773708;1195428;7362828;90.49;47888;609912;13437920;86.83;5566716;1352328;2452
hn0-hadoop;5;2024-07-06 21:28:50 UTC;772008;1193332;7364528;90.51;47888;609512;13487660;87.15;5570044;1351908;2060
hn0-hadoop;5;2024-07-06 21:28:55 UTC;757860;1180092;7378676;90.69;47888;610592;13576872;87.73;5580252;1352524;3116
hn0-hadoop;5;2024-07-06 21:29:00 UTC;619884;1042176;7516652;92.38;47896;610644;13783400;89.06;5719660;1352584;3508
hn0-hadoop;5;2024-07-06 21:29:05 UTC;746996;1169188;7389540;90.82;47904;610668;13575168;87.71;5591708;1352580;1804
hn0-hadoop;5;2024-07-06 21:29:10 UTC;765332;1187744;7371204;90.59;47904;610864;13406316;86.62;5576564;1352776;1964
hn0-hadoop;5;2024-07-06 21:29:15 UTC;747080;1169740;7389456;90.82;47904;611132;13393360;86.54;5594800;1352772;2260
hn0-hadoop;5;2024-07-06 21:29:20 UTC;764752;1187312;7371784;90.60;47904;611028;13401112;86.59;5577076;1352668;2212
hn0-hadoop;5;2024-07-06 21:29:25 UTC;769924;1192468;7366612;90.54;47904;610960;13411188;86.65;5570844;1352588;1980
hn0-hadoop;5;2024-07-06 21:29:30 UTC;770768;1193396;7365768;90.53;47916;611032;13402608;86.60;5570224;1353136;1004
hn0-hadoop;5;2024-07-06 21:29:35 UTC;769484;1193188;7367052;90.54;47916;612092;13407000;86.63;5570680;1353952;1692
hn0-hadoop;5;2024-07-06 21:29:40 UTC;769924;1193748;7366612;90.54;47924;612156;13407144;86.63;5570592;1354016;1336
hn0-hadoop;5;2024-07-06 21:29:45 UTC;754812;1178972;7381724;90.72;47924;612488;13587076;87.79;5583680;1354352;1696
hn0-hadoop;5;2024-07-06 21:29:50 UTC;760616;1184808;7375920;90.65;47928;612504;13385480;86.49;5579312;1354340;1720
hn0-hadoop;5;2024-07-06 21:29:55 UTC;757292;1181440;7379244;90.69;47928;614368;13392052;86.53;5582568;1355220;1492
hn0-hadoop;5;2024-07-06 21:30:00 UTC;767900;1191928;7368636;90.56;47928;614256;13372528;86.41;5571984;1355096;1388
hn0-hadoop;5;2024-07-06 21:30:05 UTC;766340;1190416;7370196;90.58;47936;614284;13375048;86.42;5572128;1355044;684
hn0-hadoop;5;2024-07-06 21:30:10 UTC;766436;1190560;7370100;90.58;47944;614320;13375048;86.42;5572228;1355084;612
hn0-hadoop;5;2024-07-06 21:30:15 UTC;765476;1190776;7371060;90.59;47944;615468;13375048;86.42;5572544;1356012;1672
hn0-hadoop;5;2024-07-06 21:30:20 UTC;755640;1181308;7380896;90.71;47944;615920;13383908;86.48;5583044;1356380;2044
hn0-hadoop;5;2024-07-06 21:30:25 UTC;753048;1178816;7383488;90.74;47944;616000;13392320;86.53;5586036;1356456;2136
hn0-hadoop;5;2024-07-06 21:30:30 UTC;752708;1178556;7383828;90.75;47960;615980;13385216;86.49;5585976;1356520;2164
hn0-hadoop;5;2024-07-06 21:30:35 UTC;764592;1190172;7371944;90.60;47960;613728;13376940;86.43;5572000;1356520;1504
hn0-hadoop;5;2024-07-06 21:30:40 UTC;765632;1191248;7370904;90.59;47968;613756;13376940;86.43;5570992;1356484;1352
hn0-hadoop;5;2024-07-06 21:30:45 UTC;765268;1191276;7371268;90.59;47968;614096;13376940;86.43;5571560;1356612;296
hn0-hadoop;5;2024-07-06 21:30:50 UTC;746384;1172412;7390152;90.83;47972;614156;13584904;87.78;5591504;1356672;348
hn0-hadoop;5;2024-07-06 21:30:55 UTC;590452;1017388;7546084;92.74;47972;615072;13684804;88.42;5744036;1356796;1256
hn0-hadoop;5;2024-07-06 21:31:00 UTC;753892;1180280;7382644;90.73;47984;614532;13393376;86.54;5584872;1356148;1124
hn0-hadoop;5;2024-07-06 21:31:05 UTC;752096;1179484;7384440;90.76;47984;615568;13391784;86.53;5585304;1357176;2064
hn0-hadoop;5;2024-07-06 21:31:10 UTC;763916;1191048;7372620;90.61;47992;615316;13388104;86.51;5572552;1356916;1832
hn0-hadoop;5;2024-07-06 21:31:15 UTC;753692;1180884;7382844;90.74;47992;615396;13388104;86.51;5582084;1356820;1764
hn0-hadoop;5;2024-07-06 21:31:20 UTC;762540;1188928;7373996;90.63;47992;614600;13383760;86.48;5576188;1355956;1836
