# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-06 14:11:35 UTC;3.80;0.60;3.20;4.80;38.40
hn0-hadoop;5;2024-07-06 14:11:40 UTC;3.60;0.00;3.60;0.00;36.80
hn0-hadoop;5;2024-07-06 14:11:45 UTC;13.60;1.20;12.40;9.60;1108.80
hn0-hadoop;5;2024-07-06 14:11:50 UTC;3.40;0.40;3.00;4.80;97.60
hn0-hadoop;5;2024-07-06 14:11:55 UTC;7.20;0.40;6.80;3.20;4793.60
hn0-hadoop;5;2024-07-06 14:12:00 UTC;2.40;0.60;1.80;4.80;20.80
hn0-hadoop;5;2024-07-06 14:12:05 UTC;2.20;0.20;2.00;1.60;33.60
hn0-hadoop;5;2024-07-06 14:12:10 UTC;27.74;0.00;27.74;0.00;5443.51
hn0-hadoop;5;2024-07-06 14:12:15 UTC;4.20;1.20;3.00;102.40;30.40
hn0-hadoop;5;2024-07-06 14:12:20 UTC;3.19;0.00;3.19;0.00;116.57
hn0-hadoop;5;2024-07-06 14:12:25 UTC;3.20;0.40;2.80;14.40;238.40
hn0-hadoop;5;2024-07-06 14:12:30 UTC;2.80;0.00;2.80;0.00;40.00
hn0-hadoop;5;2024-07-06 14:12:35 UTC;24.60;0.00;24.60;0.00;625.60
hn0-hadoop;5;2024-07-06 14:12:40 UTC;1.40;0.00;1.40;0.00;28.80
hn0-hadoop;5;2024-07-06 14:12:45 UTC;3.20;0.00;3.20;0.00;43.20
hn0-hadoop;5;2024-07-06 14:12:50 UTC;5.60;0.40;5.20;3.20;70.40
hn0-hadoop;5;2024-07-06 14:12:55 UTC;7.00;0.40;6.60;4.80;844.80
hn0-hadoop;5;2024-07-06 14:13:00 UTC;6.40;0.00;6.40;0.00;43.20
hn0-hadoop;5;2024-07-06 14:13:05 UTC;12.20;0.00;12.20;0.00;174.40
hn0-hadoop;5;2024-07-06 14:13:10 UTC;1.80;0.00;1.80;0.00;65.60
hn0-hadoop;5;2024-07-06 14:13:15 UTC;4.60;0.00;4.60;0.00;473.60
