# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-06 14:41:34 UTC;1206400;1549088;6930136;85.17;38924;546472;12890776;83.29;5201000;1297988;2460
hn0-hadoop;5;2024-07-06 14:41:39 UTC;1197164;1540060;6939372;85.29;38924;546776;12889328;83.28;5210492;1297812;2684
hn0-hadoop;5;2024-07-06 14:41:44 UTC;1196112;1540148;6940424;85.30;38924;547900;12884316;83.25;5209080;1298856;3868
hn0-hadoop;5;2024-07-06 14:41:49 UTC;1188876;1532856;6947660;85.39;38924;548000;12896048;83.33;5214372;1298668;3696
hn0-hadoop;5;2024-07-06 14:41:54 UTC;1189720;1533336;6946816;85.38;38932;547696;12907568;83.40;5213664;1298348;3476
hn0-hadoop;5;2024-07-06 14:41:59 UTC;1069104;1413140;7067432;86.86;38976;548004;13171352;85.11;5333292;1298576;9984
hn0-hadoop;5;2024-07-06 14:42:04 UTC;1088272;1432364;7048264;86.62;38976;548028;13120664;84.78;5315272;1298240;7804
hn0-hadoop;5;2024-07-06 14:42:09 UTC;1113180;1457372;7023356;86.32;38976;548128;13154532;85.00;5291908;1298148;7908
hn0-hadoop;5;2024-07-06 14:42:14 UTC;995456;1340220;7141080;87.77;38976;548696;13240312;85.55;5408176;1298684;9532
hn0-hadoop;5;2024-07-06 14:42:19 UTC;979632;1352860;7156904;87.96;38976;577232;13267228;85.72;5392432;1327052;37036
hn0-hadoop;5;2024-07-06 14:42:24 UTC;751808;1223488;7384728;90.76;38984;666468;13562728;87.63;5510168;1416068;120772
hn0-hadoop;5;2024-07-06 14:42:29 UTC;569288;1149500;7567248;93.00;39032;757988;13494816;87.20;5573900;1507268;103720
hn0-hadoop;5;2024-07-06 14:42:34 UTC;329128;994512;7807408;95.95;39032;827860;13944100;90.10;5730912;1577180;62328
hn0-hadoop;5;2024-07-06 14:42:39 UTC;285156;950564;7851380;96.50;39032;827868;13995052;90.43;5776088;1577116;62400
hn0-hadoop;5;2024-07-06 14:42:44 UTC;253532;919176;7883004;96.88;39036;828212;14013532;90.55;5811124;1577116;62420
hn0-hadoop;5;2024-07-06 14:42:49 UTC;189296;856552;7947240;97.67;39156;827708;14500704;93.69;5866416;1581416;63888
hn0-hadoop;5;2024-07-06 14:42:54 UTC;297056;964188;7839480;96.35;39156;827468;13582648;87.76;5762156;1580648;63696
hn0-hadoop;5;2024-07-06 14:42:59 UTC;134952;802488;8001584;98.34;39232;827756;14238536;92.00;5925332;1580724;77432
hn0-hadoop;5;2024-07-06 14:43:04 UTC;148376;695432;7988160;98.18;38024;712216;14462788;93.45;5967860;1529924;54364
hn0-hadoop;5;2024-07-06 14:43:09 UTC;430976;873136;7705560;94.70;37148;609596;14323968;92.55;5740232;1477280;1352
hn0-hadoop;5;2024-07-06 14:43:14 UTC;334560;777424;7801976;95.89;37148;610144;14311000;92.47;5859552;1455892;1456
hn0-hadoop;5;2024-07-06 14:43:19 UTC;532100;974996;7604436;93.46;37148;610156;13578224;87.73;5693000;1426888;1492
hn0-hadoop;5;2024-07-06 14:43:24 UTC;532068;976192;7604468;93.46;37156;611384;13578940;87.74;5700444;1421024;1536
hn0-hadoop;5;2024-07-06 14:43:29 UTC;532352;977720;7604184;93.46;37192;612588;13520692;87.36;5701028;1420160;5052
hn0-hadoop;5;2024-07-06 14:43:34 UTC;515136;960816;7621400;93.67;37196;612832;13535160;87.46;5718912;1419900;3964
hn0-hadoop;5;2024-07-06 14:43:39 UTC;531524;977124;7605012;93.47;37196;612552;13522624;87.37;5701908;1419496;3668
hn0-hadoop;5;2024-07-06 14:43:44 UTC;528912;975848;7607624;93.50;37196;613984;13523832;87.38;5704120;1419104;5000
hn0-hadoop;5;2024-07-06 14:43:49 UTC;511156;964364;7625380;93.72;37640;619640;13723504;88.67;5722872;1418060;4700
hn0-hadoop;5;2024-07-06 14:43:54 UTC;504896;958908;7631640;93.79;37640;620700;13617280;87.99;5729404;1418548;5756
hn0-hadoop;5;2024-07-06 14:43:59 UTC;451600;915696;7684936;94.45;37656;630772;13781208;89.05;5784392;1418920;2552
hn0-hadoop;5;2024-07-06 14:44:04 UTC;316764;782088;7819772;96.11;37788;633584;14052520;90.80;5915728;1419444;3308
hn0-hadoop;5;2024-07-06 14:44:09 UTC;500376;965448;7636160;93.85;38020;633216;13457904;86.96;5737972;1417992;2988
hn0-hadoop;5;2024-07-06 14:44:14 UTC;494164;959072;7642372;93.93;38020;633224;13456976;86.95;5744472;1417824;1836
hn0-hadoop;5;2024-07-06 14:44:19 UTC;514348;979148;7622188;93.68;38020;633032;13434232;86.80;5723988;1417704;1336
hn0-hadoop;5;2024-07-06 14:44:24 UTC;511088;976976;7625448;93.72;38020;634132;13434512;86.81;5725792;1417944;1424
hn0-hadoop;5;2024-07-06 14:44:29 UTC;510804;976484;7625732;93.72;38040;634172;13434188;86.80;5725440;1417980;1776
hn0-hadoop;5;2024-07-06 14:44:34 UTC;511324;976972;7625212;93.72;38040;634224;13433192;86.80;5725956;1417828;1808
