# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
hn0-hadoop;5;2024-07-06 15:10:50 UTC;-1;28.74;0.00;18.39;0.00;0.00;52.86
hn0-hadoop;5;2024-07-06 15:10:55 UTC;-1;22.13;0.00;11.65;0.06;0.00;66.16
hn0-hadoop;5;2024-07-06 15:11:00 UTC;-1;8.48;0.00;7.78;0.00;0.00;83.74
hn0-hadoop;5;2024-07-06 15:11:05 UTC;-1;6.14;0.00;7.09;0.00;0.00;86.77
hn0-hadoop;5;2024-07-06 15:11:10 UTC;-1;9.48;0.00;8.73;5.50;0.00;76.29
hn0-hadoop;5;2024-07-06 15:11:15 UTC;-1;26.06;0.00;10.55;2.71;0.00;60.69
hn0-hadoop;5;2024-07-06 15:11:20 UTC;-1;53.23;0.00;21.38;0.00;0.00;25.39
hn0-hadoop;5;2024-07-06 15:11:25 UTC;-1;59.80;0.00;18.85;0.00;0.00;21.35
hn0-hadoop;5;2024-07-06 15:11:30 UTC;-1;53.84;0.00;21.12;0.06;0.00;24.98
hn0-hadoop;5;2024-07-06 15:11:35 UTC;-1;54.71;0.00;20.29;0.12;0.00;24.88
hn0-hadoop;5;2024-07-06 15:11:40 UTC;-1;33.96;0.00;10.90;0.00;0.00;55.14
hn0-hadoop;5;2024-07-06 15:11:45 UTC;-1;9.62;0.00;6.38;0.22;0.00;83.78
hn0-hadoop;5;2024-07-06 15:11:50 UTC;-1;11.15;0.00;8.19;0.00;0.00;80.66
hn0-hadoop;5;2024-07-06 15:11:55 UTC;-1;18.31;0.00;8.27;0.11;0.00;73.30
hn0-hadoop;5;2024-07-06 15:12:00 UTC;-1;21.45;0.00;9.52;0.00;0.00;69.03
hn0-hadoop;5;2024-07-06 15:12:05 UTC;-1;25.04;0.00;10.42;0.00;0.00;64.53
hn0-hadoop;5;2024-07-06 15:12:10 UTC;-1;12.12;0.00;6.47;0.00;0.00;81.41
hn0-hadoop;5;2024-07-06 15:12:15 UTC;-1;5.98;0.00;4.86;0.27;0.00;88.89
hn0-hadoop;5;2024-07-06 15:12:20 UTC;-1;5.91;0.00;7.57;0.00;0.00;86.52
hn0-hadoop;5;2024-07-06 15:12:25 UTC;-1;6.25;0.00;6.03;0.00;0.00;87.72
hn0-hadoop;5;2024-07-06 15:12:30 UTC;-1;23.66;0.00;11.54;0.00;0.00;64.80
