# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-06 15:10:50 UTC;eth0;142.80;130.20;70.61;182.18;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:10:50 UTC;lo;62.80;62.80;31.96;31.96;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:10:55 UTC;eth0;139.60;133.20;72.69;59.23;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:10:55 UTC;lo;34.40;34.40;17.16;17.16;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:00 UTC;eth0;99.40;104.80;44.30;33.56;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:00 UTC;lo;20.20;20.20;11.88;11.88;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:05 UTC;eth0;147.40;135.60;82.56;53.85;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:05 UTC;lo;24.80;24.80;18.67;18.67;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:10 UTC;eth0;150.40;142.00;80.37;40.75;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:10 UTC;lo;28.20;28.20;35.15;35.15;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:15 UTC;eth0;129.00;119.00;86.01;53.28;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:15 UTC;lo;28.80;28.80;21.07;21.07;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:20 UTC;eth0;83.00;78.40;53.53;15.12;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:20 UTC;lo;30.00;30.00;17.38;17.38;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:25 UTC;eth0;59.20;57.20;31.67;11.95;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:25 UTC;lo;28.20;28.20;24.44;24.44;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:30 UTC;eth0;63.80;65.40;32.88;13.25;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:30 UTC;lo;24.40;24.40;7.93;7.93;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:35 UTC;eth0;140.80;120.60;38.05;432.01;0.00;0.00;0.00;0.01
hn0-hadoop;5;2024-07-06 15:11:35 UTC;lo;55.20;55.20;354.32;354.32;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:40 UTC;eth0;294.60;297.60;53.98;1470.54;0.00;0.00;0.00;0.02
hn0-hadoop;5;2024-07-06 15:11:40 UTC;lo;31.60;31.60;28.45;28.45;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:45 UTC;eth0;54.60;70.20;22.24;11.62;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:45 UTC;lo;36.00;36.00;10.09;10.09;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:50 UTC;eth0;73.00;78.80;32.46;84.07;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:50 UTC;lo;85.40;85.40;73.12;73.12;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:55 UTC;eth0;76.00;66.00;53.83;14.41;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:11:55 UTC;lo;21.40;21.40;40.63;40.63;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:00 UTC;eth0;60.00;68.20;28.19;10.47;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:00 UTC;lo;23.40;23.40;14.01;14.01;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:05 UTC;eth0;45.80;55.80;15.25;8.38;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:05 UTC;lo;23.00;23.00;11.21;11.21;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:10 UTC;eth0;78.80;77.80;43.84;13.56;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:10 UTC;lo;31.40;31.40;38.97;38.97;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:15 UTC;eth0;87.00;82.40;54.25;15.18;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:15 UTC;lo;30.00;30.00;21.24;21.24;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:20 UTC;eth0;81.40;86.40;43.17;17.19;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:20 UTC;lo;20.00;20.00;13.12;13.12;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:25 UTC;eth0;81.20;72.60;53.86;14.24;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:25 UTC;lo;37.80;37.80;32.94;32.94;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:30 UTC;eth0;69.60;72.40;31.84;72.84;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:30 UTC;lo;46.80;46.80;52.58;52.58;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:35 UTC;eth0;60.60;63.80;29.94;8.32;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:35 UTC;lo;20.20;20.20;10.38;10.38;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:40 UTC;eth0;69.00;78.20;32.46;13.82;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:40 UTC;lo;24.80;24.80;16.89;16.89;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:45 UTC;eth0;55.89;66.87;22.94;11.98;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:45 UTC;lo;908.78;908.78;533.18;533.18;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:50 UTC;eth0;115.40;106.80;65.05;111.79;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:50 UTC;lo;100.60;100.60;118.44;118.44;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:55 UTC;eth0;57.80;68.80;15.59;35.45;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:12:55 UTC;lo;31.20;31.20;16.96;16.96;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:00 UTC;eth0;98.80;118.80;36.25;20.56;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:00 UTC;lo;66.40;66.40;17.98;17.98;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:05 UTC;eth0;75.40;75.00;46.18;12.45;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:05 UTC;lo;37.20;37.20;31.00;31.00;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:10 UTC;eth0;99.40;93.60;64.95;78.97;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:10 UTC;lo;76.60;76.60;56.96;56.96;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:15 UTC;eth0;98.80;101.40;59.04;34.53;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:15 UTC;lo;45.80;45.80;13.24;13.24;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:20 UTC;eth0;82.40;75.60;47.97;11.04;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:20 UTC;lo;28.20;28.20;22.98;22.98;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:25 UTC;eth0;95.20;81.00;64.52;15.98;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:25 UTC;lo;30.00;30.00;26.02;26.02;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:30 UTC;eth0;54.20;63.40;23.49;9.69;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:30 UTC;lo;21.20;21.20;7.32;7.32;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:35 UTC;eth0;96.80;112.80;35.41;125.64;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:35 UTC;lo;34.20;34.20;17.64;17.64;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:40 UTC;eth0;36.60;51.40;8.50;7.52;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:40 UTC;lo;35.40;35.40;23.37;23.37;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:45 UTC;eth0;61.80;72.20;27.01;11.54;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:45 UTC;lo;711.40;711.40;436.54;436.54;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:50 UTC;eth0;95.41;87.03;53.76;158.41;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:50 UTC;lo;55.69;55.69;29.70;29.70;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:55 UTC;eth0;63.60;66.00;33.95;15.14;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:13:55 UTC;lo;29.40;29.40;15.05;15.05;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:14:00 UTC;eth0;89.40;84.40;58.52;12.26;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:14:00 UTC;lo;32.20;32.20;51.70;51.70;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:14:05 UTC;eth0;95.00;111.40;45.74;20.12;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 15:14:05 UTC;lo;76.60;76.60;371.76;371.76;0.00;0.00;0.00;0.00
