# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-06 15:41:09 UTC;7.40;0.00;7.40;0.00;99.20
hn0-hadoop;5;2024-07-06 15:41:14 UTC;1.40;0.00;1.40;0.00;24.00
hn0-hadoop;5;2024-07-06 15:41:19 UTC;22.20;0.00;22.20;0.00;5822.40
hn0-hadoop;5;2024-07-06 15:41:24 UTC;1.80;0.00;1.80;0.00;36.80
hn0-hadoop;5;2024-07-06 15:41:29 UTC;2.80;0.00;2.80;0.00;28.80
hn0-hadoop;5;2024-07-06 15:41:34 UTC;4.20;0.60;3.60;4.80;51.20
hn0-hadoop;5;2024-07-06 15:41:39 UTC;3.80;0.20;3.60;1.60;177.60
hn0-hadoop;5;2024-07-06 15:41:44 UTC;2.00;1.20;0.80;16.00;40.00
hn0-hadoop;5;2024-07-06 15:41:49 UTC;11.40;1.20;10.20;25.60;297.60
hn0-hadoop;5;2024-07-06 15:41:54 UTC;26.60;0.80;25.80;6.40;4822.40
hn0-hadoop;5;2024-07-06 15:41:59 UTC;1.20;0.00;1.20;0.00;17.60
hn0-hadoop;5;2024-07-06 15:42:04 UTC;308.20;0.20;308.00;1.60;49446.40
hn0-hadoop;5;2024-07-06 15:42:09 UTC;114.60;0.00;114.60;0.00;49086.40
hn0-hadoop;5;2024-07-06 15:42:14 UTC;2.80;0.20;2.60;1.60;83.20
hn0-hadoop;5;2024-07-06 15:42:19 UTC;16.40;15.20;1.20;171.20;16.00
hn0-hadoop;5;2024-07-06 15:42:24 UTC;1.80;0.00;1.80;0.00;25.60
hn0-hadoop;5;2024-07-06 15:42:29 UTC;1.20;0.00;1.20;0.00;16.00
hn0-hadoop;5;2024-07-06 15:42:34 UTC;3.60;0.40;3.20;9.60;48.00
hn0-hadoop;5;2024-07-06 15:42:39 UTC;67.27;0.00;67.27;0.00;28319.36
hn0-hadoop;5;2024-07-06 15:42:44 UTC;4.60;0.00;4.60;0.00;166.40
hn0-hadoop;5;2024-07-06 15:42:49 UTC;5.79;0.40;5.39;7.98;73.45
hn0-hadoop;5;2024-07-06 15:42:54 UTC;4.00;0.60;3.40;8.00;64.00
hn0-hadoop;5;2024-07-06 15:42:59 UTC;20.60;4.20;16.40;134.40;1774.40
hn0-hadoop;5;2024-07-06 15:43:04 UTC;12.60;9.80;2.80;235.20;25.60
hn0-hadoop;5;2024-07-06 15:43:09 UTC;4.59;1.40;3.19;17.56;950.10
hn0-hadoop;5;2024-07-06 15:43:14 UTC;40.80;3.00;37.80;102.40;3811.20
hn0-hadoop;5;2024-07-06 15:43:19 UTC;6.60;0.20;6.40;1.60;641.60
hn0-hadoop;5;2024-07-06 15:43:24 UTC;5.20;0.20;5.00;1.60;462.40
hn0-hadoop;5;2024-07-06 15:43:29 UTC;1.20;0.00;1.20;0.00;17.60
hn0-hadoop;5;2024-07-06 15:43:34 UTC;4.60;0.40;4.20;3.20;65.60
hn0-hadoop;5;2024-07-06 15:43:39 UTC;1.80;0.00;1.80;0.00;430.40
hn0-hadoop;5;2024-07-06 15:43:44 UTC;9.40;1.40;8.00;14.40;315.20
hn0-hadoop;5;2024-07-06 15:43:49 UTC;6.00;1.20;4.80;57.60;206.40
hn0-hadoop;5;2024-07-06 15:43:54 UTC;19.20;0.00;19.20;0.00;227.20
hn0-hadoop;5;2024-07-06 15:43:59 UTC;3.60;0.00;3.60;0.00;48.00
hn0-hadoop;5;2024-07-06 15:44:04 UTC;11.80;0.20;11.60;1.60;993.60
hn0-hadoop;5;2024-07-06 15:44:09 UTC;8.80;0.40;8.40;3.20;44.80
hn0-hadoop;5;2024-07-06 15:44:14 UTC;1.40;0.00;1.40;0.00;17.60
hn0-hadoop;5;2024-07-06 15:44:19 UTC;1.60;0.20;1.40;1.60;265.60
hn0-hadoop;5;2024-07-06 15:44:24 UTC;4.00;0.00;4.00;0.00;43.20
hn0-hadoop;5;2024-07-06 15:44:29 UTC;2.60;0.00;2.60;0.00;27.20
hn0-hadoop;5;2024-07-06 15:44:34 UTC;8.80;0.00;8.80;0.00;147.20
hn0-hadoop;5;2024-07-06 15:44:39 UTC;4.80;0.00;4.80;0.00;113.60
hn0-hadoop;5;2024-07-06 15:44:44 UTC;1.60;0.00;1.60;0.00;19.20
hn0-hadoop;5;2024-07-06 15:44:49 UTC;2.60;0.60;2.00;4.80;174.40
hn0-hadoop;5;2024-07-06 15:44:54 UTC;18.00;0.00;18.00;0.00;180.80
hn0-hadoop;5;2024-07-06 15:44:59 UTC;3.20;0.00;3.20;0.00;220.80
hn0-hadoop;5;2024-07-06 15:45:04 UTC;9.40;0.00;9.40;0.00;571.20
hn0-hadoop;5;2024-07-06 15:45:09 UTC;2.20;0.00;2.20;0.00;440.00
hn0-hadoop;5;2024-07-06 15:45:14 UTC;3.60;1.20;2.40;16.00;68.80
hn0-hadoop;5;2024-07-06 15:45:19 UTC;5.00;1.80;3.20;14.40;569.60
hn0-hadoop;5;2024-07-06 15:45:24 UTC;1.40;0.00;1.40;0.00;22.40
hn0-hadoop;5;2024-07-06 15:45:29 UTC;2.00;0.00;2.00;0.00;22.40
hn0-hadoop;5;2024-07-06 15:45:34 UTC;9.40;0.00;9.40;0.00;260.80
hn0-hadoop;5;2024-07-06 15:45:39 UTC;3.80;0.00;3.80;0.00;441.60
