# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-06 16:02:48 UTC;eth0;125.20;120.40;67.12;36.73;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:02:48 UTC;lo;340.60;340.60;321.00;321.00;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:02:53 UTC;eth0;163.60;154.00;86.61;148.20;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:02:53 UTC;lo;34.60;34.60;13.34;13.34;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:02:58 UTC;eth0;102.40;110.60;38.20;58.54;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:02:58 UTC;lo;36.00;36.00;73.92;73.92;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:03:03 UTC;eth0;135.20;128.20;70.98;53.46;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:03:03 UTC;lo;28.40;28.40;16.14;16.14;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:03:08 UTC;eth0;153.09;132.73;95.62;102.71;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:03:08 UTC;lo;76.65;76.65;34.97;34.97;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:03:13 UTC;eth0;155.20;141.00;97.79;38.50;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:03:13 UTC;lo;31.40;31.40;27.89;27.89;0.00;0.00;0.00;0.00
