# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-06 16:10:09 UTC;1238388;1559612;6898148;84.78;42156;519744;12791900;82.65;5182312;1283164;1800
hn0-hadoop;5;2024-07-06 16:10:14 UTC;1231472;1552756;6905064;84.86;42156;521784;12789764;82.64;5185368;1285204;1856
hn0-hadoop;5;2024-07-06 16:10:19 UTC;1230588;1551960;6905948;84.88;42156;521888;12796908;82.69;5185648;1285228;1816
hn0-hadoop;5;2024-07-06 16:10:24 UTC;1216136;1538968;6920400;85.05;42228;521308;12808172;82.76;5197116;1287868;2728
hn0-hadoop;5;2024-07-06 16:10:29 UTC;1213820;1536848;6922716;85.08;42228;521488;12812080;82.78;5199084;1287308;1844
hn0-hadoop;5;2024-07-06 16:10:34 UTC;1063536;1386612;7073000;86.93;42236;521364;13140892;84.91;5348560;1286800;1724
hn0-hadoop;5;2024-07-06 16:10:39 UTC;1111968;1435044;7024568;86.33;42244;521404;13060012;84.39;5301848;1286760;1596
hn0-hadoop;5;2024-07-06 16:10:44 UTC;1175720;1499116;6960816;85.55;42244;521724;13046904;84.30;5236152;1287080;1944
hn0-hadoop;5;2024-07-06 16:10:49 UTC;960420;1293276;7176116;88.20;42388;531092;13320176;86.07;5440180;1295748;10972
hn0-hadoop;5;2024-07-06 16:10:54 UTC;883504;1209188;7253032;89.14;42396;523948;13328264;86.12;5527084;1287896;3320
hn0-hadoop;5;2024-07-06 16:10:59 UTC;794980;1121040;7341556;90.23;42396;524300;13437928;86.83;5613828;1288208;3284
hn0-hadoop;5;2024-07-06 16:11:04 UTC;794280;1120220;7342256;90.24;42396;524180;13437260;86.82;5614988;1288088;3036
hn0-hadoop;5;2024-07-06 16:11:09 UTC;810984;1137036;7325552;90.03;42404;524236;13421352;86.72;5597372;1287888;3004
hn0-hadoop;5;2024-07-06 16:11:14 UTC;806880;1132840;7329656;90.08;42404;524128;13417540;86.70;5603428;1287780;2800
hn0-hadoop;5;2024-07-06 16:11:19 UTC;816644;1142584;7319892;89.96;42404;524220;13417540;86.70;5593176;1287860;2884
hn0-hadoop;5;2024-07-06 16:11:24 UTC;821024;1146948;7315512;89.91;42420;524260;13409552;86.64;5591716;1287864;1144
hn0-hadoop;5;2024-07-06 16:11:29 UTC;824956;1150948;7311580;89.86;42420;524276;13400516;86.59;5588700;1287564;340
