# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
hn0-hadoop;5;2024-07-06 15:28:52 UTC;-1;28.53;0.00;19.16;0.00;0.00;52.31
hn0-hadoop;5;2024-07-06 15:28:57 UTC;-1;20.46;0.00;12.76;0.06;0.00;66.72
hn0-hadoop;5;2024-07-06 15:29:02 UTC;-1;43.10;0.00;15.62;0.00;0.00;41.28
hn0-hadoop;5;2024-07-06 15:29:07 UTC;-1;36.39;0.00;16.55;0.29;0.00;46.77
hn0-hadoop;5;2024-07-06 15:29:12 UTC;-1;6.29;0.00;6.23;0.00;0.00;87.48
hn0-hadoop;5;2024-07-06 15:29:17 UTC;-1;38.09;0.00;15.80;0.82;0.00;45.29
hn0-hadoop;5;2024-07-06 15:29:22 UTC;-1;61.90;0.00;21.06;0.00;0.00;17.05
hn0-hadoop;5;2024-07-06 15:29:27 UTC;-1;55.04;0.00;20.48;0.00;0.00;24.48
hn0-hadoop;5;2024-07-06 15:29:32 UTC;-1;51.29;0.00;15.38;0.00;0.00;33.33
hn0-hadoop;5;2024-07-06 15:29:37 UTC;-1;49.94;0.00;21.48;0.00;0.00;28.58
hn0-hadoop;5;2024-07-06 15:29:42 UTC;-1;43.39;0.00;16.61;0.06;0.00;39.94
hn0-hadoop;5;2024-07-06 15:29:47 UTC;-1;12.86;0.00;7.00;0.11;0.00;80.03
hn0-hadoop;5;2024-07-06 15:29:52 UTC;-1;21.43;0.00;11.72;0.00;0.00;66.85
hn0-hadoop;5;2024-07-06 15:29:57 UTC;-1;21.21;0.00;9.31;0.00;0.00;69.49
hn0-hadoop;5;2024-07-06 15:30:02 UTC;-1;21.75;0.00;9.46;0.06;0.00;68.73
hn0-hadoop;5;2024-07-06 15:30:07 UTC;-1;10.55;0.00;6.80;0.00;0.00;82.65
hn0-hadoop;5;2024-07-06 15:30:12 UTC;-1;4.98;0.00;4.87;0.00;0.00;90.15
hn0-hadoop;5;2024-07-06 15:30:17 UTC;-1;6.10;0.00;5.37;0.21;0.00;88.32
hn0-hadoop;5;2024-07-06 15:30:22 UTC;-1;6.54;0.00;6.01;0.00;0.00;87.45
hn0-hadoop;5;2024-07-06 15:30:27 UTC;-1;18.11;0.00;7.73;0.00;0.00;74.16
hn0-hadoop;5;2024-07-06 15:30:32 UTC;-1;21.05;0.00;9.56;0.00;0.00;69.38
hn0-hadoop;5;2024-07-06 15:30:37 UTC;-1;21.31;0.00;9.98;0.00;0.00;68.71
hn0-hadoop;5;2024-07-06 15:30:42 UTC;-1;10.94;0.00;6.34;0.05;0.00;82.67
hn0-hadoop;5;2024-07-06 15:30:47 UTC;-1;5.41;0.00;4.93;0.11;0.00;89.56
hn0-hadoop;5;2024-07-06 15:30:52 UTC;-1;38.99;0.00;18.45;0.00;0.00;42.57
hn0-hadoop;5;2024-07-06 15:30:57 UTC;-1;47.82;0.00;11.03;0.12;0.00;41.04
hn0-hadoop;5;2024-07-06 15:31:02 UTC;-1;20.91;0.00;9.57;0.28;0.00;69.24
hn0-hadoop;5;2024-07-06 15:31:07 UTC;-1;22.34;0.00;10.35;0.00;0.00;67.31
hn0-hadoop;5;2024-07-06 15:31:12 UTC;-1;20.17;0.00;9.22;0.00;0.00;70.61
