# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-06 16:40:47 UTC;eth0;111.00;112.00;50.03;34.38;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:40:47 UTC;lo;671.20;671.20;121.86;121.86;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:40:52 UTC;eth0;147.20;154.20;66.18;202.73;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:40:52 UTC;lo;65.80;65.80;30.93;30.93;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:40:57 UTC;eth0;114.20;107.80;56.33;37.98;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:40:57 UTC;lo;32.80;32.80;48.48;48.48;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:02 UTC;eth0;127.80;130.80;62.21;52.88;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:02 UTC;lo;32.80;32.80;10.74;10.74;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:07 UTC;eth0;115.40;117.40;55.55;36.17;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:07 UTC;lo;28.40;28.40;19.77;19.77;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:12 UTC;eth0;120.40;115.40;74.08;35.30;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:12 UTC;lo;25.80;25.80;23.96;23.96;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:17 UTC;eth0;90.80;85.40;55.87;30.86;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:17 UTC;lo;39.80;39.80;38.67;38.67;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:22 UTC;eth0;54.29;63.47;22.02;12.93;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:22 UTC;lo;18.96;18.96;8.63;8.63;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:27 UTC;eth0;108.00;83.80;81.26;14.55;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:27 UTC;lo;50.60;50.60;222.25;222.25;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:32 UTC;eth0;69.40;59.60;45.12;11.63;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:32 UTC;lo;30.20;30.20;13.90;13.90;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:37 UTC;eth0;34.60;45.60;7.52;6.77;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:37 UTC;lo;43.40;43.40;288.02;288.02;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:42 UTC;eth0;54.40;63.40;22.91;8.96;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:42 UTC;lo;19.60;19.60;10.39;10.39;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:47 UTC;eth0;44.31;52.10;16.37;7.70;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:47 UTC;lo;23.75;23.75;7.83;7.83;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:52 UTC;eth0;73.80;79.20;32.92;87.78;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:52 UTC;lo;86.40;86.40;77.22;77.22;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:57 UTC;eth0;187.20;187.00;88.43;92.59;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:41:57 UTC;lo;22.80;22.80;36.92;36.92;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:02 UTC;eth0;326.40;300.00;124.13;1012.62;0.00;0.00;0.00;0.02
hn0-hadoop;5;2024-07-06 16:42:02 UTC;lo;32.00;32.00;12.02;12.02;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:07 UTC;eth0;2324.00;1808.20;217.90;14375.11;0.00;0.00;0.00;0.24
hn0-hadoop;5;2024-07-06 16:42:07 UTC;lo;37.40;37.40;34.08;34.08;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:12 UTC;eth0;80.40;84.20;47.32;14.72;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:12 UTC;lo;40.00;40.00;50.45;50.45;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:17 UTC;eth0;89.40;80.80;58.35;13.81;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:17 UTC;lo;18.40;18.40;14.34;14.34;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:22 UTC;eth0;72.40;77.00;42.10;18.85;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:22 UTC;lo;19.80;19.80;21.05;21.05;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:27 UTC;eth0;83.40;73.00;55.38;13.44;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:27 UTC;lo;64.20;64.20;38.68;38.68;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:32 UTC;eth0;55.40;56.40;29.24;7.86;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:32 UTC;lo;23.80;23.80;8.61;8.61;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:37 UTC;eth0;76.20;78.60;39.88;12.74;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:37 UTC;lo;29.20;29.20;18.76;18.76;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:42 UTC;eth0;39.00;56.40;9.58;7.75;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:42 UTC;lo;406.20;406.20;292.24;292.24;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:47 UTC;eth0;61.80;68.40;25.42;10.20;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:47 UTC;lo;521.60;521.60;277.79;277.79;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:52 UTC;eth0;92.40;90.20;46.97;113.23;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:52 UTC;lo;82.80;82.80;60.26;60.26;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:57 UTC;eth0;86.00;83.20;43.24;37.76;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:42:57 UTC;lo;35.60;35.60;96.92;96.92;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:43:02 UTC;eth0;64.67;87.82;17.64;15.27;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:43:02 UTC;lo;62.87;62.87;17.35;17.35;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:43:07 UTC;eth0;83.20;78.80;54.34;15.29;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:43:07 UTC;lo;62.60;62.60;30.77;30.77;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:43:12 UTC;eth0;113.37;108.58;72.02;79.20;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:43:12 UTC;lo;50.50;50.50;35.53;35.53;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:43:17 UTC;eth0;81.80;80.80;47.71;30.22;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:43:17 UTC;lo;24.60;24.60;12.35;12.35;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:43:22 UTC;eth0;71.20;76.80;32.03;14.16;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:43:22 UTC;lo;21.60;21.60;21.99;21.99;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:43:27 UTC;eth0;82.80;69.60;60.45;10.46;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:43:27 UTC;lo;25.80;25.80;24.92;24.92;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:43:32 UTC;eth0;62.28;66.07;31.99;9.81;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:43:32 UTC;lo;23.35;23.35;9.03;9.03;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 16:43:37 UTC;eth0;73.20;78.20;36.17;11.53;0.00;0.00;0.00;0.00
