# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-06 16:28:32 UTC;17.40;0.00;17.40;0.00;585.60
hn0-hadoop;5;2024-07-06 16:28:37 UTC;3.40;0.00;3.40;0.00;44.80
hn0-hadoop;5;2024-07-06 16:28:42 UTC;2.20;0.00;2.20;0.00;24.00
hn0-hadoop;5;2024-07-06 16:28:47 UTC;2.40;0.20;2.20;1.60;25.60
hn0-hadoop;5;2024-07-06 16:28:52 UTC;4.20;0.00;4.20;0.00;758.40
hn0-hadoop;5;2024-07-06 16:28:57 UTC;9.20;0.20;9.00;1.60;308.80
hn0-hadoop;5;2024-07-06 16:29:02 UTC;4.79;0.00;4.79;0.00;102.20
hn0-hadoop;5;2024-07-06 16:29:07 UTC;7.39;0.00;7.39;0.00;71.86
hn0-hadoop;5;2024-07-06 16:29:12 UTC;7.20;0.00;7.20;0.00;473.60
hn0-hadoop;5;2024-07-06 16:29:17 UTC;4.20;0.20;4.00;1.60;60.80
hn0-hadoop;5;2024-07-06 16:29:22 UTC;2.00;0.00;2.00;0.00;139.20
hn0-hadoop;5;2024-07-06 16:29:27 UTC;9.80;0.00;9.80;0.00;1163.20
hn0-hadoop;5;2024-07-06 16:29:32 UTC;20.40;0.00;20.40;0.00;524.80
hn0-hadoop;5;2024-07-06 16:29:37 UTC;3.40;0.00;3.40;0.00;80.00
hn0-hadoop;5;2024-07-06 16:29:42 UTC;5.00;0.00;5.00;0.00;478.40
hn0-hadoop;5;2024-07-06 16:29:47 UTC;5.20;0.00;5.20;0.00;64.00
hn0-hadoop;5;2024-07-06 16:29:52 UTC;6.20;0.00;6.20;0.00;467.20
hn0-hadoop;5;2024-07-06 16:29:57 UTC;7.80;0.00;7.80;0.00;278.40
hn0-hadoop;5;2024-07-06 16:30:02 UTC;2.20;0.00;2.20;0.00;88.00
hn0-hadoop;5;2024-07-06 16:30:07 UTC;1.80;0.00;1.80;0.00;32.00
hn0-hadoop;5;2024-07-06 16:30:12 UTC;2.40;0.00;2.40;0.00;68.80
hn0-hadoop;5;2024-07-06 16:30:17 UTC;4.20;0.40;3.80;3.20;444.80
hn0-hadoop;5;2024-07-06 16:30:22 UTC;3.60;0.00;3.60;0.00;60.80
hn0-hadoop;5;2024-07-06 16:30:27 UTC;26.00;0.00;26.00;0.00;395.20
hn0-hadoop;5;2024-07-06 16:30:32 UTC;1.60;0.00;1.60;0.00;24.00
hn0-hadoop;5;2024-07-06 16:30:37 UTC;1.00;0.00;1.00;0.00;17.60
hn0-hadoop;5;2024-07-06 16:30:42 UTC;1.20;0.00;1.20;0.00;120.00
hn0-hadoop;5;2024-07-06 16:30:47 UTC;5.00;0.40;4.60;3.20;88.00
hn0-hadoop;5;2024-07-06 16:30:52 UTC;4.19;0.40;3.79;3.19;94.21
hn0-hadoop;5;2024-07-06 16:30:57 UTC;9.40;0.00;9.40;0.00;278.40
hn0-hadoop;5;2024-07-06 16:31:02 UTC;8.80;0.00;8.80;0.00;64.00
hn0-hadoop;5;2024-07-06 16:31:07 UTC;1.40;0.00;1.40;0.00;28.80
hn0-hadoop;5;2024-07-06 16:31:12 UTC;1.00;0.00;1.00;0.00;14.40
hn0-hadoop;5;2024-07-06 16:31:18 UTC;3.20;0.00;3.20;0.00;632.00
hn0-hadoop;5;2024-07-06 16:31:23 UTC;3.80;0.00;3.80;0.00;83.20
hn0-hadoop;5;2024-07-06 16:31:27 UTC;24.80;0.00;24.80;0.00;838.40
hn0-hadoop;5;2024-07-06 16:31:32 UTC;4.20;0.00;4.20;0.00;52.80
hn0-hadoop;5;2024-07-06 16:31:37 UTC;1.00;0.00;1.00;0.00;14.40
hn0-hadoop;5;2024-07-06 16:31:42 UTC;1.80;0.00;1.80;0.00;25.60
hn0-hadoop;5;2024-07-06 16:31:48 UTC;2.20;0.40;1.80;3.19;116.57
hn0-hadoop;5;2024-07-06 16:31:53 UTC;3.00;1.00;2.00;8.00;33.60
hn0-hadoop;5;2024-07-06 16:31:58 UTC;5.60;0.80;4.80;9.60;260.80
hn0-hadoop;5;2024-07-06 16:32:03 UTC;8.80;0.00;8.80;0.00;115.20
hn0-hadoop;5;2024-07-06 16:32:08 UTC;3.60;0.00;3.60;0.00;454.40
hn0-hadoop;5;2024-07-06 16:32:13 UTC;0.80;0.00;0.80;0.00;16.00
hn0-hadoop;5;2024-07-06 16:32:18 UTC;3.40;0.00;3.40;0.00;97.60
hn0-hadoop;5;2024-07-06 16:32:23 UTC;1.40;0.00;1.40;0.00;19.20
hn0-hadoop;5;2024-07-06 16:32:28 UTC;4.60;1.00;3.60;14.40;160.00
hn0-hadoop;5;2024-07-06 16:32:33 UTC;21.80;0.00;21.80;0.00;288.00
hn0-hadoop;5;2024-07-06 16:32:38 UTC;3.80;0.00;3.80;0.00;51.20
hn0-hadoop;5;2024-07-06 16:32:43 UTC;1.60;0.00;1.60;0.00;30.40
hn0-hadoop;5;2024-07-06 16:32:48 UTC;3.80;0.20;3.60;1.60;59.20
hn0-hadoop;5;2024-07-06 16:32:53 UTC;3.40;0.00;3.40;0.00;264.00
hn0-hadoop;5;2024-07-06 16:32:58 UTC;3.40;0.00;3.40;0.00;576.00
hn0-hadoop;5;2024-07-06 16:33:03 UTC;9.20;0.00;9.20;0.00;120.00
hn0-hadoop;5;2024-07-06 16:33:08 UTC;4.19;0.00;4.19;0.00;92.61
