# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-06 18:03:55 UTC;eth0;145.00;117.80;99.54;40.48;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 18:03:55 UTC;lo;55.00;55.00;385.68;385.68;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 18:04:00 UTC;eth0;102.20;101.60;46.57;31.97;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 18:04:00 UTC;lo;36.40;36.40;44.00;44.00;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 18:04:05 UTC;eth0;168.00;166.40;93.02;59.71;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 18:04:05 UTC;lo;65.40;65.40;22.47;22.47;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 18:04:10 UTC;eth0;175.00;178.80;87.54;53.30;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 18:04:10 UTC;lo;103.60;103.60;37.51;37.51;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 18:04:15 UTC;eth0;179.40;170.00;99.27;76.66;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 18:04:15 UTC;lo;31.20;31.20;18.19;18.19;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 18:04:20 UTC;eth0;135.40;127.60;80.11;35.72;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-06 18:04:20 UTC;lo;23.40;23.40;24.53;24.53;0.00;0.00;0.00;0.00
