# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
hn0-hadoop;5;2024-07-06 17:29:55 UTC;-1;14.19;0.00;11.50;0.00;0.00;74.31
hn0-hadoop;5;2024-07-06 17:30:00 UTC;-1;22.32;0.00;11.27;0.06;0.00;66.35
hn0-hadoop;5;2024-07-06 17:30:05 UTC;-1;23.26;0.00;12.42;0.00;0.00;64.32
hn0-hadoop;5;2024-07-06 17:30:10 UTC;-1;11.47;0.00;9.95;0.54;0.00;78.04
hn0-hadoop;5;2024-07-06 17:30:15 UTC;-1;7.77;0.00;7.45;0.00;0.00;84.77
hn0-hadoop;5;2024-07-06 17:30:20 UTC;-1;24.72;0.00;10.71;0.00;0.00;64.57
hn0-hadoop;5;2024-07-06 17:30:25 UTC;-1;42.71;0.00;12.59;0.00;0.00;44.71
hn0-hadoop;5;2024-07-06 17:30:30 UTC;-1;53.75;0.00;17.22;0.06;0.00;28.97
hn0-hadoop;5;2024-07-06 17:30:35 UTC;-1;56.33;0.00;17.90;0.06;0.00;25.70
hn0-hadoop;5;2024-07-06 17:30:40 UTC;-1;56.76;0.00;35.04;0.07;0.00;8.14
hn0-hadoop;5;2024-07-06 17:30:45 UTC;-1;47.45;0.00;15.16;0.00;0.00;37.39
hn0-hadoop;5;2024-07-06 17:30:50 UTC;-1;37.33;0.00;16.62;0.06;0.00;45.99
hn0-hadoop;5;2024-07-06 17:30:55 UTC;-1;48.05;0.00;16.10;0.00;0.00;35.86
hn0-hadoop;5;2024-07-06 17:31:00 UTC;-1;16.59;0.00;7.12;0.44;0.00;75.85
hn0-hadoop;5;2024-07-06 17:31:05 UTC;-1;12.66;0.00;7.46;0.00;0.00;79.88
hn0-hadoop;5;2024-07-06 17:31:10 UTC;-1;21.69;0.00;10.96;0.45;0.00;66.89
hn0-hadoop;5;2024-07-06 17:31:15 UTC;-1;21.18;0.00;9.42;0.00;0.00;69.40
hn0-hadoop;5;2024-07-06 17:31:20 UTC;-1;10.91;0.00;7.49;0.00;0.00;81.61
hn0-hadoop;5;2024-07-06 17:31:25 UTC;-1;6.22;0.00;6.65;0.00;0.00;87.13
hn0-hadoop;5;2024-07-06 17:31:30 UTC;-1;5.03;0.00;5.03;0.00;0.00;89.94
hn0-hadoop;5;2024-07-06 17:31:35 UTC;-1;21.25;0.00;5.87;0.06;0.00;72.83
hn0-hadoop;5;2024-07-06 17:31:40 UTC;-1;16.25;0.00;8.37;0.28;0.00;75.10
hn0-hadoop;5;2024-07-06 17:31:45 UTC;-1;21.70;0.00;10.33;0.00;0.00;67.97
hn0-hadoop;5;2024-07-06 17:31:50 UTC;-1;28.80;0.00;14.23;0.00;0.00;56.97
hn0-hadoop;5;2024-07-06 17:31:55 UTC;-1;10.79;0.00;8.26;0.05;0.00;80.90
hn0-hadoop;5;2024-07-06 17:32:00 UTC;-1;5.01;0.00;5.12;0.00;0.00;89.87
hn0-hadoop;5;2024-07-06 17:32:05 UTC;-1;4.34;0.00;4.45;0.00;0.00;91.21
hn0-hadoop;5;2024-07-06 17:32:10 UTC;-1;4.44;0.00;4.55;0.26;0.00;90.75
hn0-hadoop;5;2024-07-06 17:32:15 UTC;-1;18.74;0.00;9.51;0.00;0.00;71.75
hn0-hadoop;5;2024-07-06 17:32:20 UTC;-1;22.26;0.00;9.16;0.06;0.00;68.52
hn0-hadoop;5;2024-07-06 17:32:25 UTC;-1;25.28;0.00;11.39;0.00;0.00;63.32
hn0-hadoop;5;2024-07-06 17:32:30 UTC;-1;10.95;0.00;8.28;0.00;0.00;80.76
hn0-hadoop;5;2024-07-06 17:32:35 UTC;-1;21.05;0.00;8.04;0.00;0.00;70.91
hn0-hadoop;5;2024-07-06 17:32:40 UTC;-1;23.55;0.00;8.15;0.11;0.00;68.19
hn0-hadoop;5;2024-07-06 17:32:45 UTC;-1;30.22;0.00;10.24;0.06;0.00;59.48
hn0-hadoop;5;2024-07-06 17:32:50 UTC;-1;40.17;0.00;21.57;0.06;0.00;38.20
hn0-hadoop;5;2024-07-06 17:32:55 UTC;-1;21.14;0.00;11.75;0.00;0.00;67.11
hn0-hadoop;5;2024-07-06 17:33:00 UTC;-1;36.78;0.00;16.53;0.00;0.00;46.69
hn0-hadoop;5;2024-07-06 17:33:05 UTC;-1;43.76;0.00;14.61;0.00;0.00;41.63
hn0-hadoop;5;2024-07-06 17:33:10 UTC;-1;53.82;0.00;19.30;0.06;0.00;26.82
hn0-hadoop;5;2024-07-06 17:33:15 UTC;-1;10.55;0.00;8.92;0.00;0.00;80.53
hn0-hadoop;5;2024-07-06 17:33:20 UTC;-1;6.14;0.00;6.62;0.00;0.00;87.24
hn0-hadoop;5;2024-07-06 17:33:25 UTC;-1;20.63;0.00;10.17;0.00;0.00;69.20
hn0-hadoop;5;2024-07-06 17:33:30 UTC;-1;22.18;0.00;11.80;0.00;0.00;66.02
hn0-hadoop;5;2024-07-06 17:33:35 UTC;-1;21.13;0.00;12.03;0.00;0.00;66.84
