# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
hn0-hadoop;5;2024-07-06 18:41:43 UTC;-1;12.49;0.00;10.58;0.00;0.00;76.93
hn0-hadoop;5;2024-07-06 18:41:48 UTC;-1;10.80;0.00;8.87;0.00;0.00;80.33
hn0-hadoop;5;2024-07-06 18:41:53 UTC;-1;8.57;0.00;9.58;7.71;0.00;74.14
hn0-hadoop;5;2024-07-06 18:41:58 UTC;-1;6.24;0.00;7.10;0.00;0.00;86.66
hn0-hadoop;5;2024-07-06 18:42:03 UTC;-1;17.56;0.00;11.28;0.06;0.00;71.11
hn0-hadoop;5;2024-07-06 18:42:08 UTC;-1;45.20;0.00;18.71;0.06;0.00;36.03
hn0-hadoop;5;2024-07-06 18:42:13 UTC;-1;57.23;0.00;19.08;0.00;0.00;23.69
hn0-hadoop;5;2024-07-06 18:42:18 UTC;-1;53.99;0.00;14.50;0.00;0.00;31.51
hn0-hadoop;5;2024-07-06 18:42:23 UTC;-1;44.76;0.00;14.39;0.00;0.00;40.85
hn0-hadoop;5;2024-07-06 18:42:28 UTC;-1;42.05;0.00;17.44;0.12;0.00;40.38
hn0-hadoop;5;2024-07-06 18:42:33 UTC;-1;23.65;0.00;18.08;0.00;0.00;58.27
hn0-hadoop;5;2024-07-06 18:42:38 UTC;-1;43.54;0.00;28.47;5.78;0.00;22.20
hn0-hadoop;5;2024-07-06 18:42:43 UTC;-1;52.30;0.00;34.05;0.06;0.00;13.59
hn0-hadoop;5;2024-07-06 18:42:48 UTC;-1;63.85;0.00;33.29;0.00;0.00;2.86
hn0-hadoop;5;2024-07-06 18:42:53 UTC;-1;63.55;0.00;33.85;0.00;0.00;2.60
hn0-hadoop;5;2024-07-06 18:42:58 UTC;-1;53.88;0.00;24.55;0.00;0.00;21.57
hn0-hadoop;5;2024-07-06 18:43:03 UTC;-1;63.98;0.00;31.73;0.00;0.00;4.30
hn0-hadoop;5;2024-07-06 18:43:08 UTC;-1;61.63;0.00;34.04;0.20;0.00;4.13
hn0-hadoop;5;2024-07-06 18:43:13 UTC;-1;54.35;0.00;28.10;1.08;0.00;16.47
hn0-hadoop;5;2024-07-06 18:43:18 UTC;-1;59.13;0.00;29.17;0.45;0.00;11.24
hn0-hadoop;5;2024-07-06 18:43:23 UTC;-1;29.68;0.00;11.70;0.35;0.00;58.27
hn0-hadoop;5;2024-07-06 18:43:28 UTC;-1;22.95;0.00;11.02;0.00;0.00;66.02
hn0-hadoop;5;2024-07-06 18:43:33 UTC;-1;11.97;0.00;9.51;0.05;0.00;78.46
hn0-hadoop;5;2024-07-06 18:43:38 UTC;-1;6.23;0.00;5.97;0.00;0.00;87.80
hn0-hadoop;5;2024-07-06 18:43:43 UTC;-1;15.09;0.00;9.01;0.27;0.00;75.62
hn0-hadoop;5;2024-07-06 18:43:48 UTC;-1;13.83;0.00;10.65;0.05;0.00;75.47
hn0-hadoop;5;2024-07-06 18:43:53 UTC;-1;16.13;0.00;10.99;0.49;0.00;72.39
hn0-hadoop;5;2024-07-06 18:43:58 UTC;-1;40.43;0.00;16.47;0.06;0.00;43.04
hn0-hadoop;5;2024-07-06 18:44:03 UTC;-1;58.10;0.00;22.08;0.31;0.00;19.51
hn0-hadoop;5;2024-07-06 18:44:08 UTC;-1;39.72;0.00;14.02;0.35;0.00;45.90
hn0-hadoop;5;2024-07-06 18:44:13 UTC;-1;6.44;0.00;7.07;0.05;0.00;86.44
hn0-hadoop;5;2024-07-06 18:44:18 UTC;-1;7.71;0.00;5.84;0.00;0.00;86.46
hn0-hadoop;5;2024-07-06 18:44:23 UTC;-1;4.78;0.00;4.78;0.00;0.00;90.45
hn0-hadoop;5;2024-07-06 18:44:28 UTC;-1;14.58;0.00;7.10;0.28;0.00;78.05
hn0-hadoop;5;2024-07-06 18:44:33 UTC;-1;22.68;0.00;11.17;0.00;0.00;66.14
hn0-hadoop;5;2024-07-06 18:44:38 UTC;-1;29.21;0.00;11.16;0.06;0.00;59.57
hn0-hadoop;5;2024-07-06 18:44:43 UTC;-1;19.17;0.00;12.30;0.00;0.00;68.53
hn0-hadoop;5;2024-07-06 18:44:48 UTC;-1;12.18;0.00;8.52;0.00;0.00;79.30
hn0-hadoop;5;2024-07-06 18:44:53 UTC;-1;4.93;0.00;6.04;0.00;0.00;89.02
hn0-hadoop;5;2024-07-06 18:44:58 UTC;-1;5.75;0.00;5.69;0.21;0.00;88.34
hn0-hadoop;5;2024-07-06 18:45:03 UTC;-1;16.18;0.00;8.75;0.17;0.00;74.90
hn0-hadoop;5;2024-07-06 18:45:08 UTC;-1;20.77;0.00;9.46;0.00;0.00;69.76
hn0-hadoop;5;2024-07-06 18:45:13 UTC;-1;21.09;0.00;8.61;0.00;0.00;70.30
hn0-hadoop;5;2024-07-06 18:45:18 UTC;-1;9.66;0.00;7.62;0.00;0.00;82.72
hn0-hadoop;5;2024-07-06 18:45:23 UTC;-1;5.55;0.00;5.66;0.00;0.00;88.79
hn0-hadoop;5;2024-07-06 18:45:28 UTC;-1;6.40;0.00;5.60;0.16;0.00;87.84
hn0-hadoop;5;2024-07-06 18:45:33 UTC;-1;4.92;0.00;5.13;0.00;0.00;89.95
hn0-hadoop;5;2024-07-06 18:45:38 UTC;-1;19.59;0.00;9.54;0.00;0.00;70.87
hn0-hadoop;5;2024-07-06 18:45:43 UTC;-1;23.45;0.00;11.05;0.06;0.00;65.45
hn0-hadoop;5;2024-07-06 18:45:48 UTC;-1;30.81;0.00;17.00;0.06;0.00;52.13
hn0-hadoop;5;2024-07-06 18:45:53 UTC;-1;41.99;0.00;15.08;0.00;0.00;42.93
hn0-hadoop;5;2024-07-06 18:45:58 UTC;-1;38.37;0.00;10.31;0.64;0.00;50.67
hn0-hadoop;5;2024-07-06 18:46:03 UTC;-1;5.14;0.00;4.35;0.16;0.00;90.36
hn0-hadoop;5;2024-07-06 18:46:08 UTC;-1;6.92;0.00;6.44;0.00;0.00;86.63
hn0-hadoop;5;2024-07-06 18:46:13 UTC;-1;19.73;0.00;9.14;0.00;0.00;71.13
hn0-hadoop;5;2024-07-06 18:46:18 UTC;-1;22.44;0.00;10.88;0.00;0.00;66.69
