# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-10 20:07:43 UTC;eth0;142.00;128.20;92.64;34.78;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 20:07:43 UTC;lo;22.80;22.80;24.71;24.71;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 20:07:48 UTC;eth0;109.60;108.20;56.98;36.54;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 20:07:48 UTC;lo;40.80;40.80;212.25;212.25;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 20:07:53 UTC;eth0;124.20;114.40;65.81;226.23;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 20:07:53 UTC;lo;22.40;22.40;34.15;34.15;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 20:07:58 UTC;eth0;79.80;90.80;33.43;31.13;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 20:07:58 UTC;lo;38.20;38.20;117.43;117.43;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 20:08:03 UTC;eth0;142.80;132.40;80.09;54.10;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 20:08:03 UTC;lo;17.00;17.00;13.13;13.13;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 20:08:08 UTC;eth0;120.20;128.40;56.01;44.94;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 20:08:08 UTC;lo;34.60;34.60;13.02;13.02;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 20:08:13 UTC;eth0;110.58;110.58;62.45;32.90;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 20:08:13 UTC;lo;59.48;59.48;32.47;32.47;0.00;0.00;0.00;0.00
