# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-11 01:00:12 UTC;eth0;129.80;122.20;68.53;36.24;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 01:00:12 UTC;lo;75.80;75.80;52.79;52.79;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 01:00:17 UTC;eth0;100.40;99.80;45.38;31.94;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 01:00:17 UTC;lo;58.08;58.08;279.32;279.32;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 01:00:22 UTC;eth0;153.00;137.20;94.50;139.16;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 01:00:22 UTC;lo;72.40;72.40;40.50;40.50;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 01:00:27 UTC;eth0;115.20;110.60;63.85;34.68;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 01:00:27 UTC;lo;36.60;36.60;11.60;11.60;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 01:00:32 UTC;eth0;191.40;160.40;125.26;58.53;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 01:00:32 UTC;lo;34.40;34.40;23.59;23.59;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 01:00:37 UTC;eth0;114.60;116.80;59.92;33.93;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 01:00:37 UTC;lo;21.80;21.80;10.15;10.15;0.00;0.00;0.00;0.00
