# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-11 00:01:23 UTC;eth0;109.58;105.79;52.94;35.83;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 00:01:23 UTC;lo;38.52;38.52;21.36;21.36;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 00:01:28 UTC;eth0;134.40;141.40;63.11;43.17;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 00:01:28 UTC;lo;68.40;68.40;25.00;25.00;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 00:01:33 UTC;eth0;141.40;149.80;66.03;59.33;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 00:01:33 UTC;lo;998.80;998.80;651.09;651.09;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 00:01:38 UTC;eth0;93.40;95.80;40.07;32.72;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 00:01:38 UTC;lo;621.40;621.40;377.24;377.24;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 00:01:43 UTC;eth0;172.20;150.80;108.09;55.64;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 00:01:43 UTC;lo;29.40;29.40;31.84;31.84;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 00:01:48 UTC;eth0;114.40;112.00;56.87;37.26;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 00:01:48 UTC;lo;30.20;30.20;14.61;14.61;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 00:01:53 UTC;eth0;85.43;91.22;37.69;246.63;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 00:01:53 UTC;lo;29.34;29.34;18.55;18.55;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 00:01:58 UTC;eth0;60.60;56.60;33.87;57.03;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-11 00:01:58 UTC;lo;26.20;26.20;50.11;50.11;0.00;0.00;0.00;0.00
