# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
hn0-hadoop;5;2024-07-11 00:34:54 UTC;-1;24.63;0.00;16.02;0.46;0.00;58.89
hn0-hadoop;5;2024-07-11 00:34:59 UTC;-1;22.17;0.00;10.70;0.05;0.00;67.07
hn0-hadoop;5;2024-07-11 00:35:04 UTC;-1;22.82;0.00;14.35;0.00;0.00;62.82
hn0-hadoop;5;2024-07-11 00:35:09 UTC;-1;14.97;0.00;9.26;0.00;0.00;75.77
hn0-hadoop;5;2024-07-11 00:35:14 UTC;-1;43.78;0.00;26.22;0.06;0.00;29.93
hn0-hadoop;5;2024-07-11 00:35:19 UTC;-1;61.20;0.00;35.52;0.74;0.00;2.54
hn0-hadoop;5;2024-07-11 00:35:24 UTC;-1;68.48;0.00;30.38;0.00;0.00;1.14
hn0-hadoop;5;2024-07-11 00:35:29 UTC;-1;66.98;0.00;30.42;0.00;0.00;2.60
hn0-hadoop;5;2024-07-11 00:35:34 UTC;-1;70.75;0.00;26.97;0.00;0.00;2.29
hn0-hadoop;5;2024-07-11 00:35:39 UTC;-1;65.40;0.00;27.81;0.20;0.00;6.59
hn0-hadoop;5;2024-07-11 00:35:44 UTC;-1;50.52;0.00;16.25;0.00;0.00;33.23
hn0-hadoop;5;2024-07-11 00:35:49 UTC;-1;49.66;0.00;22.34;0.06;0.00;27.93
hn0-hadoop;5;2024-07-11 00:35:54 UTC;-1;59.23;0.00;23.20;0.00;0.00;17.57
hn0-hadoop;5;2024-07-11 00:35:59 UTC;-1;50.06;0.00;22.99;0.06;0.00;26.89
hn0-hadoop;5;2024-07-11 00:36:04 UTC;-1;25.47;0.00;11.86;0.06;0.00;62.62
hn0-hadoop;5;2024-07-11 00:36:09 UTC;-1;5.36;0.00;4.83;0.00;0.00;89.81
hn0-hadoop;5;2024-07-11 00:36:14 UTC;-1;39.80;0.00;17.81;0.00;0.00;42.39
hn0-hadoop;5;2024-07-11 00:36:19 UTC;-1;48.21;0.00;11.90;0.42;0.00;39.46
hn0-hadoop;5;2024-07-11 00:36:24 UTC;-1;22.68;0.00;9.01;0.22;0.00;68.09
hn0-hadoop;5;2024-07-11 00:36:29 UTC;-1;27.75;0.00;12.88;0.11;0.00;59.26
hn0-hadoop;5;2024-07-11 00:36:34 UTC;-1;25.56;0.00;11.12;0.00;0.00;63.32
hn0-hadoop;5;2024-07-11 00:36:39 UTC;-1;14.43;0.00;6.86;0.00;0.00;78.72
hn0-hadoop;5;2024-07-11 00:36:44 UTC;-1;5.50;0.00;4.40;0.00;0.00;90.09
hn0-hadoop;5;2024-07-11 00:36:49 UTC;-1;5.71;0.00;3.31;0.27;0.00;90.71
