# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-11 00:34:54 UTC;1139692;1574868;6996840;85.99;216508;454248;13054720;84.35;5251156;1300480;9408
hn0-hadoop;5;2024-07-11 00:34:59 UTC;1190968;1626248;6945564;85.36;216508;455092;13014696;84.09;5199200;1301304;9460
hn0-hadoop;5;2024-07-11 00:35:04 UTC;1194648;1631020;6941884;85.32;216508;456148;12602928;81.43;5193224;1302092;10516
hn0-hadoop;5;2024-07-11 00:35:09 UTC;1178280;1614812;6958252;85.52;216508;456308;12629780;81.61;5207512;1302136;10796
hn0-hadoop;5;2024-07-11 00:35:14 UTC;1057096;1494356;7079436;87.01;216528;457096;13256984;85.66;5324664;1302312;10688
hn0-hadoop;5;2024-07-11 00:35:19 UTC;1005432;1446036;7131100;87.64;216676;460152;13732048;88.73;5373132;1304168;5892
hn0-hadoop;5;2024-07-11 00:35:24 UTC;805788;1246420;7330744;90.10;216676;460192;14030232;90.65;5567780;1304132;5764
hn0-hadoop;5;2024-07-11 00:35:29 UTC;847704;1288120;7288828;89.58;216676;459952;13859616;89.55;5528412;1303860;4500
hn0-hadoop;5;2024-07-11 00:35:34 UTC;708432;1149756;7428100;91.29;216676;460824;13780928;89.04;5666680;1304512;5392
hn0-hadoop;5;2024-07-11 00:35:39 UTC;905124;1345724;7231408;88.88;216676;460264;13462324;86.99;5472528;1303540;3804
hn0-hadoop;5;2024-07-11 00:35:44 UTC;996804;1438540;7139728;87.75;216676;461364;12995372;83.97;5382740;1304372;4904
hn0-hadoop;5;2024-07-11 00:35:49 UTC;981640;1432268;7154892;87.94;216844;470064;13020796;84.13;5389140;1312728;10212
hn0-hadoop;5;2024-07-11 00:35:54 UTC;895536;1346104;7240996;88.99;216844;472060;13171864;85.11;5471852;1314556;10188
hn0-hadoop;5;2024-07-11 00:35:59 UTC;832028;1278284;7304504;89.77;216852;467628;13179824;85.16;5542556;1309288;5492
hn0-hadoop;5;2024-07-11 00:36:04 UTC;779580;1225516;7356952;90.42;216852;465384;13250992;85.62;5592940;1310360;5240
hn0-hadoop;5;2024-07-11 00:36:09 UTC;775904;1221868;7360628;90.46;216852;465400;13330824;86.14;5599240;1310384;5252
hn0-hadoop;5;2024-07-11 00:36:14 UTC;681432;1128472;7455100;91.63;216852;466532;13481144;87.11;5694620;1311252;5336
hn0-hadoop;5;2024-07-11 00:36:19 UTC;563312;1011024;7573220;93.08;216868;467084;13627784;88.05;5809540;1311392;4328
hn0-hadoop;5;2024-07-11 00:36:24 UTC;767012;1214892;7369520;90.57;216876;467308;13171568;85.11;5611076;1311556;4616
hn0-hadoop;5;2024-07-11 00:36:29 UTC;772180;1221124;7364352;90.51;216876;468372;13139452;84.90;5606364;1312616;4676
hn0-hadoop;5;2024-07-11 00:36:34 UTC;782340;1231200;7354192;90.38;216876;468312;13142876;84.92;5594060;1312508;3248
hn0-hadoop;5;2024-07-11 00:36:39 UTC;781236;1230304;7355296;90.40;216876;468520;13135472;84.87;5595568;1312376;3328
hn0-hadoop;5;2024-07-11 00:36:44 UTC;781532;1230620;7355000;90.39;216876;468604;13142700;84.92;5595100;1312128;3428
hn0-hadoop;5;2024-07-11 00:36:49 UTC;784748;1233892;7351784;90.36;216888;468648;13134340;84.87;5593516;1312192;2784
hn0-hadoop;5;2024-07-11 00:36:54 UTC;784272;1234804;7352260;90.36;216904;469940;13135900;84.88;5594076;1312428;3476
hn0-hadoop;5;2024-07-11 00:36:59 UTC;756356;1207232;7380176;90.70;216904;470332;13588612;87.80;5621800;1312656;3420
hn0-hadoop;5;2024-07-11 00:37:04 UTC;770492;1222532;7366040;90.53;216904;471404;13134044;84.86;5607404;1313272;3456
hn0-hadoop;5;2024-07-11 00:37:09 UTC;781052;1233124;7355480;90.40;216904;471516;13123196;84.79;5597520;1313300;3488
