# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-05 10:26:53 UTC;1163928;1506752;6972608;85.70;39604;558096;13173444;85.12;5212816;1375748;880
hn0-hadoop;5;2024-07-05 10:26:58 UTC;1167392;1512392;6969144;85.65;39604;560252;13166104;85.07;5207644;1377692;3012
hn0-hadoop;5;2024-07-05 10:27:03 UTC;1151008;1496092;6985528;85.85;39604;560316;13184596;85.19;5223116;1377736;3064
hn0-hadoop;5;2024-07-05 10:27:08 UTC;1161692;1506664;6974844;85.72;39684;562068;13180640;85.17;5208068;1379404;2596
hn0-hadoop;5;2024-07-05 10:27:13 UTC;1149200;1494220;6987336;85.88;39684;562112;13192184;85.24;5219812;1379132;2616
hn0-hadoop;5;2024-07-05 10:27:18 UTC;1042376;1388828;7094160;87.19;39688;561560;13442720;86.86;5328620;1377592;3848
hn0-hadoop;5;2024-07-05 10:27:23 UTC;1068220;1414736;7068316;86.87;39688;561620;13617764;87.99;5302104;1377672;3628
hn0-hadoop;5;2024-07-05 10:27:28 UTC;1111476;1458324;7025060;86.34;39688;561940;13596104;87.85;5256560;1377736;1868
hn0-hadoop;5;2024-07-05 10:27:33 UTC;1009224;1356248;7127312;87.60;39688;562068;13665976;88.30;5358724;1377360;1924
hn0-hadoop;5;2024-07-05 10:27:38 UTC;1073208;1420256;7063328;86.81;39708;562156;13888160;89.74;5294032;1377436;2388
hn0-hadoop;5;2024-07-05 10:27:43 UTC;924800;1297956;7211736;88.63;39708;587136;13999192;90.45;5415744;1402232;27380
hn0-hadoop;5;2024-07-05 10:27:48 UTC;660972;1109984;7475564;91.88;39708;654548;14764636;95.40;5588344;1469764;93420
hn0-hadoop;5;2024-07-05 10:27:53 UTC;583268;1121004;7553268;92.83;39708;734876;14012164;90.54;5573564;1549328;55356
hn0-hadoop;5;2024-07-05 10:27:58 UTC;248964;881416;7887572;96.94;39856;819500;14255772;92.11;5804476;1633764;85424
hn0-hadoop;5;2024-07-05 10:28:03 UTC;132952;707168;8003584;98.37;34156;766748;14931396;96.48;5949652;1606472;68120
hn0-hadoop;5;2024-07-05 10:28:08 UTC;304612;779724;7831924;96.26;34472;663744;14587012;94.25;5840596;1545740;57716
hn0-hadoop;5;2024-07-05 10:28:13 UTC;360732;847464;7775804;95.57;34820;674748;14773688;95.46;5790796;1538648;660
hn0-hadoop;5;2024-07-05 10:28:18 UTC;293832;781360;7842704;96.39;34828;675188;14514028;93.78;5862544;1535600;728
hn0-hadoop;5;2024-07-05 10:28:23 UTC;447640;935232;7688896;94.50;34836;675152;13837748;89.41;5729944;1514844;760
hn0-hadoop;5;2024-07-05 10:28:28 UTC;473384;961768;7663152;94.18;34880;675912;13789864;89.10;5706668;1515124;10264
hn0-hadoop;5;2024-07-05 10:28:33 UTC;469824;958288;7666712;94.23;34880;675916;13789496;89.10;5709872;1513980;10188
hn0-hadoop;5;2024-07-05 10:28:38 UTC;469052;957792;7667484;94.24;34888;678164;13974620;90.30;5710904;1516028;10296
hn0-hadoop;5;2024-07-05 10:28:43 UTC;468808;959416;7667728;94.24;34892;680016;13777068;89.02;5711364;1516788;10832
hn0-hadoop;5;2024-07-05 10:28:48 UTC;411940;903252;7724596;94.94;34920;680660;14332948;92.61;5766244;1516256;11164
hn0-hadoop;5;2024-07-05 10:28:53 UTC;430092;922436;7706444;94.71;34920;681640;14016372;90.57;5753656;1509440;12084
hn0-hadoop;5;2024-07-05 10:28:58 UTC;419856;914108;7716680;94.84;34952;685492;14111080;91.18;5765248;1509492;2544
hn0-hadoop;5;2024-07-05 10:29:03 UTC;261392;756156;7875144;96.79;34968;686048;14347628;92.71;5922164;1509028;3040
hn0-hadoop;5;2024-07-05 10:29:08 UTC;448780;943096;7687756;94.48;34976;685504;13798720;89.16;5740884;1508308;1708
hn0-hadoop;5;2024-07-05 10:29:13 UTC;433000;928380;7703536;94.68;34984;686564;13747344;88.83;5757324;1508688;2700
hn0-hadoop;5;2024-07-05 10:29:18 UTC;451004;946452;7685532;94.46;34984;686640;13753088;88.86;5740640;1508776;2784
hn0-hadoop;5;2024-07-05 10:29:23 UTC;438616;934408;7697920;94.61;34984;686968;13753408;88.87;5753328;1509088;1976
hn0-hadoop;5;2024-07-05 10:29:28 UTC;437836;933604;7698700;94.62;34996;687004;13764884;88.94;5753684;1509136;2360
hn0-hadoop;5;2024-07-05 10:29:33 UTC;436860;932664;7699676;94.63;34996;687036;13758020;88.90;5754964;1508672;2400
hn0-hadoop;5;2024-07-05 10:29:38 UTC;431396;927928;7705140;94.70;35012;687884;14048576;90.77;5758332;1510244;1828
hn0-hadoop;5;2024-07-05 10:29:43 UTC;438672;938144;7697864;94.61;35020;687928;13928076;89.99;5746368;1510188;1716
hn0-hadoop;5;2024-07-05 10:29:48 UTC;387124;886660;7749412;95.24;35020;687988;14026684;90.63;5797456;1509664;800
hn0-hadoop;5;2024-07-05 10:29:53 UTC;429060;928452;7707476;94.73;35020;687984;13721260;88.66;5756484;1509404;844
hn0-hadoop;5;2024-07-05 10:29:58 UTC;431548;931312;7704988;94.70;35020;688348;13731684;88.73;5755388;1509232;732
hn0-hadoop;5;2024-07-05 10:30:03 UTC;393320;894180;7743216;95.17;35024;689336;13754660;88.87;5792456;1510204;1652
hn0-hadoop;5;2024-07-05 10:30:08 UTC;388108;888896;7748428;95.23;35032;689248;13741628;88.79;5797944;1510132;1884
hn0-hadoop;5;2024-07-05 10:30:13 UTC;413656;914436;7722880;94.92;35040;689284;13732480;88.73;5771984;1509908;1732
hn0-hadoop;5;2024-07-05 10:30:18 UTC;414192;915020;7722344;94.91;35040;689332;13740916;88.79;5771596;1509960;1720
hn0-hadoop;5;2024-07-05 10:30:23 UTC;413088;913988;7723448;94.92;35040;689372;13740916;88.79;5772384;1509992;1772
hn0-hadoop;5;2024-07-05 10:30:28 UTC;429312;930400;7707224;94.72;35040;689644;13720628;88.65;5755704;1510196;1964
hn0-hadoop;5;2024-07-05 10:30:33 UTC;413552;914944;7722984;94.92;35040;689728;13724144;88.68;5772784;1510204;1008
hn0-hadoop;5;2024-07-05 10:30:38 UTC;415380;916884;7721156;94.89;35048;689828;13748424;88.83;5771308;1510312;1136
hn0-hadoop;5;2024-07-05 10:30:43 UTC;429172;930536;7707364;94.73;35056;689916;13719668;88.65;5756028;1510416;904
hn0-hadoop;5;2024-07-05 10:30:48 UTC;372196;874888;7764340;95.43;35180;691076;14238368;92.00;5809988;1511052;444
hn0-hadoop;5;2024-07-05 10:30:53 UTC;280120;783880;7856416;96.56;35184;692112;14034116;90.68;5900720;1511816;1512
hn0-hadoop;5;2024-07-05 10:30:58 UTC;422236;926208;7714300;94.81;35184;692184;13774272;89.00;5758220;1511488;1584
hn0-hadoop;5;2024-07-05 10:31:03 UTC;406740;910976;7729796;95.00;35184;692492;13798440;89.16;5774476;1511768;1900
hn0-hadoop;5;2024-07-05 10:31:08 UTC;405952;910240;7730584;95.01;35196;692532;13794396;89.13;5775616;1511816;2172
hn0-hadoop;5;2024-07-05 10:31:13 UTC;399548;904464;7736988;95.09;35204;693104;13791264;89.11;5782044;1512084;2196
hn0-hadoop;5;2024-07-05 10:31:18 UTC;419900;924576;7716636;94.84;35204;692856;13807332;89.21;5759848;1511832;1832
hn0-hadoop;5;2024-07-05 10:31:23 UTC;418856;923588;7717680;94.85;35204;692908;13847856;89.48;5761724;1511904;1720
hn0-hadoop;5;2024-07-05 10:31:28 UTC;418476;923372;7718060;94.86;35220;693060;13865600;89.59;5761832;1512044;860
hn0-hadoop;5;2024-07-05 10:31:33 UTC;416176;921220;7720360;94.89;35220;693136;13879172;89.68;5762504;1511856;928
hn0-hadoop;5;2024-07-05 10:31:38 UTC;394236;899692;7742300;95.15;35240;695500;13896552;89.79;5783844;1514308;1336
hn0-hadoop;5;2024-07-05 10:31:43 UTC;394400;900028;7742136;95.15;35248;695572;13889060;89.74;5783016;1514380;932
hn0-hadoop;5;2024-07-05 10:31:48 UTC;368024;873748;7768512;95.48;35252;695660;14181660;91.63;5809144;1514452;972
hn0-hadoop;5;2024-07-05 10:31:53 UTC;401324;907704;7735212;95.07;35252;696400;13891508;89.76;5775368;1515044;1784
hn0-hadoop;5;2024-07-05 10:31:58 UTC;405828;912388;7730708;95.01;35268;696528;13875236;89.65;5771232;1514824;1560
