# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-12 14:07:21 UTC;lo;43.20;43.20;21.92;21.92;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:07:21 UTC;eth0;128.20;127.60;61.38;135.54;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:07:26 UTC;lo;40.32;40.32;22.78;22.78;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:07:26 UTC;eth0;33.73;50.90;8.17;9.98;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:07:31 UTC;lo;17.43;17.43;14.01;14.01;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:07:31 UTC;eth0;65.33;62.53;42.25;9.43;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:07:36 UTC;lo;74.60;74.60;263.68;263.68;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:07:36 UTC;eth0;47.20;58.20;21.53;12.60;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:07:41 UTC;lo;53.60;53.60;43.00;43.00;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:07:41 UTC;eth0;37.80;52.00;9.30;7.48;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:07:46 UTC;lo;58.60;58.60;92.72;92.72;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:07:46 UTC;eth0;63.80;75.60;31.20;16.99;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:07:51 UTC;lo;35.53;35.53;275.51;275.51;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:07:51 UTC;eth0;27.15;42.71;5.86;6.73;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:07:56 UTC;lo;28.80;28.80;32.67;32.67;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:07:56 UTC;eth0;160.40;145.20;34.33;635.26;0.00;0.00;0.00;0.01
hn0-hadoop;5;2024-07-12 14:08:01 UTC;lo;21.40;21.40;6.87;6.87;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:01 UTC;eth0;1647.00;1359.80;118.46;14960.65;0.00;0.00;0.00;0.25
hn0-hadoop;5;2024-07-12 14:08:06 UTC;lo;23.00;23.00;10.39;10.39;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:06 UTC;eth0;106.00;127.20;44.16;132.52;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:11 UTC;lo;23.20;23.20;13.21;13.21;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:11 UTC;eth0;49.00;64.80;18.17;18.44;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:16 UTC;lo;21.40;21.40;6.95;6.95;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:16 UTC;eth0;38.60;49.20;15.04;9.17;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:21 UTC;lo;50.80;50.80;47.80;47.80;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:21 UTC;eth0;49.00;64.40;17.45;80.70;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:26 UTC;lo;55.60;55.60;32.98;32.98;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:26 UTC;eth0;42.20;56.20;15.70;10.51;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:31 UTC;lo;18.00;18.00;15.49;15.49;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:31 UTC;eth0;56.20;59.60;30.46;11.00;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:36 UTC;lo;24.40;24.40;14.20;14.20;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:36 UTC;eth0;52.60;61.80;22.29;10.85;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:41 UTC;lo;15.40;15.40;8.26;8.26;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:41 UTC;eth0;32.00;44.60;11.81;5.53;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:46 UTC;lo;40.72;40.72;27.62;27.62;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:46 UTC;eth0;45.91;66.47;15.12;13.38;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:51 UTC;lo;904.60;904.60;315.49;315.49;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:51 UTC;eth0;48.40;57.80;23.17;10.73;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-12 14:08:56 UTC;lo;19.20;19.20;9.44;9.44;0.00;0.00;0.00;0.00
