# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-12 14:07:21 UTC;66.00;45.80;20.20;2828.80;5347.20
hn0-hadoop;5;2024-07-12 14:07:26 UTC;4.79;0.20;4.59;1.60;65.47
hn0-hadoop;5;2024-07-12 14:07:31 UTC;5.61;1.20;4.41;11.22;81.76
hn0-hadoop;5;2024-07-12 14:07:36 UTC;6.80;3.00;3.80;35.20;48.00
hn0-hadoop;5;2024-07-12 14:07:41 UTC;5.20;0.20;5.00;1.60;43.20
hn0-hadoop;5;2024-07-12 14:07:46 UTC;6.60;4.80;1.80;212.80;32.00
hn0-hadoop;5;2024-07-12 14:07:51 UTC;30.54;0.20;30.34;1.60;5098.60
hn0-hadoop;5;2024-07-12 14:07:56 UTC;5.00;1.40;3.60;33.60;537.60
hn0-hadoop;5;2024-07-12 14:08:01 UTC;43.20;39.20;4.00;737.60;120.00
hn0-hadoop;5;2024-07-12 14:08:06 UTC;41.20;38.60;2.60;1145.60;30.40
hn0-hadoop;5;2024-07-12 14:08:11 UTC;2.80;0.20;2.60;1.60;30.40
hn0-hadoop;5;2024-07-12 14:08:16 UTC;2.60;0.40;2.20;8.00;36.80
hn0-hadoop;5;2024-07-12 14:08:21 UTC;9.80;0.60;9.20;4.80;561.60
hn0-hadoop;5;2024-07-12 14:08:26 UTC;3.40;0.60;2.80;8.00;80.00
hn0-hadoop;5;2024-07-12 14:08:31 UTC;4.20;0.60;3.60;4.80;457.60
hn0-hadoop;5;2024-07-12 14:08:36 UTC;3.00;0.20;2.80;1.60;28.80
hn0-hadoop;5;2024-07-12 14:08:41 UTC;3.20;0.00;3.20;0.00;72.00
hn0-hadoop;5;2024-07-12 14:08:46 UTC;4.59;0.40;4.19;11.18;47.90
hn0-hadoop;5;2024-07-12 14:08:51 UTC;22.40;0.60;21.80;9.60;411.20
hn0-hadoop;5;2024-07-12 14:08:56 UTC;3.00;1.80;1.20;20.80;16.00
hn0-hadoop;5;2024-07-12 14:09:01 UTC;3.40;1.00;2.40;8.00;88.00
hn0-hadoop;5;2024-07-12 14:09:06 UTC;2.99;1.20;1.80;23.95;36.73
hn0-hadoop;5;2024-07-12 14:09:11 UTC;5.00;0.80;4.20;14.40;62.40
hn0-hadoop;5;2024-07-12 14:09:16 UTC;4.60;1.20;3.40;27.20;201.60
hn0-hadoop;5;2024-07-12 14:09:21 UTC;6.60;0.80;5.80;9.60;592.00
hn0-hadoop;5;2024-07-12 14:09:26 UTC;10.60;1.40;9.20;24.00;553.60
hn0-hadoop;5;2024-07-12 14:09:32 UTC;3.60;0.80;2.80;28.80;40.00
hn0-hadoop;5;2024-07-12 14:09:37 UTC;5.00;2.00;3.00;24.00;107.20
hn0-hadoop;5;2024-07-12 14:09:42 UTC;1.80;0.00;1.80;0.00;28.80
hn0-hadoop;5;2024-07-12 14:09:47 UTC;5.00;0.60;4.40;27.20;83.20
hn0-hadoop;5;2024-07-12 14:09:52 UTC;5.60;1.20;4.40;19.20;209.60
hn0-hadoop;5;2024-07-12 14:09:57 UTC;23.20;0.80;22.40;8.00;670.40
hn0-hadoop;5;2024-07-12 14:10:02 UTC;3.20;1.20;2.00;225.60;49.60
hn0-hadoop;5;2024-07-12 14:10:07 UTC;1.00;0.40;0.60;3.20;11.20
hn0-hadoop;5;2024-07-12 14:10:12 UTC;2.20;0.80;1.40;14.40;60.80
hn0-hadoop;5;2024-07-12 14:10:17 UTC;8.80;6.60;2.20;360.00;33.60
hn0-hadoop;5;2024-07-12 14:10:22 UTC;13.00;6.80;6.20;243.20;636.80
hn0-hadoop;5;2024-07-12 14:10:27 UTC;11.20;1.00;10.20;9.60;155.20
hn0-hadoop;5;2024-07-12 14:10:32 UTC;8.38;1.60;6.79;19.16;52.69
hn0-hadoop;5;2024-07-12 14:10:37 UTC;36.13;1.80;34.33;67.07;4975.65
hn0-hadoop;5;2024-07-12 14:10:42 UTC;7.00;0.20;6.80;1.60;44.80
hn0-hadoop;5;2024-07-12 14:10:47 UTC;10.40;8.80;1.60;412.80;19.20
hn0-hadoop;5;2024-07-12 14:10:52 UTC;9.20;6.00;3.20;62.40;211.20
hn0-hadoop;5;2024-07-12 14:10:57 UTC;2.00;0.20;1.80;3.20;20.80
hn0-hadoop;5;2024-07-12 14:11:02 UTC;5.60;2.40;3.20;22.40;48.00
hn0-hadoop;5;2024-07-12 14:11:07 UTC;10.40;0.80;9.60;11.20;156.80
hn0-hadoop;5;2024-07-12 14:11:12 UTC;7.80;1.80;6.00;27.20;710.40
hn0-hadoop;5;2024-07-12 14:11:17 UTC;8.60;5.40;3.20;289.60;36.80
hn0-hadoop;5;2024-07-12 14:11:22 UTC;22.60;1.40;21.20;20.80;772.80
hn0-hadoop;5;2024-07-12 14:11:27 UTC;2.80;0.20;2.60;1.60;38.40
hn0-hadoop;5;2024-07-12 14:11:32 UTC;3.00;0.80;2.20;8.00;24.00
hn0-hadoop;5;2024-07-12 14:11:37 UTC;3.80;0.20;3.60;1.60;46.40
hn0-hadoop;5;2024-07-12 14:11:42 UTC;8.20;0.20;8.00;1.60;129.60
hn0-hadoop;5;2024-07-12 14:11:47 UTC;14.00;10.00;4.00;142.40;180.80
hn0-hadoop;5;2024-07-12 14:11:52 UTC;4.40;1.00;3.40;12.80;156.80
hn0-hadoop;5;2024-07-12 14:11:57 UTC;5.80;0.40;5.40;4.80;464.00
hn0-hadoop;5;2024-07-12 14:12:02 UTC;2.40;0.40;2.00;6.40;27.20
