# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-12 09:38:34 UTC;1087312;1675224;7049220;86.64;24836;814656;12973328;83.83;4964480;1702052;324
hn0-hadoop;5;2024-07-12 09:38:39 UTC;922684;1510876;7213848;88.66;24840;814952;13250028;85.61;5129512;1702196;536
hn0-hadoop;5;2024-07-12 09:38:44 UTC;965768;1555140;7170764;88.13;24856;816140;13167340;85.08;5083916;1703164;2196
hn0-hadoop;5;2024-07-12 09:38:49 UTC;1063952;1653816;7072580;86.92;24856;816632;12986652;83.91;4983684;1703648;2356
hn0-hadoop;5;2024-07-12 09:38:54 UTC;911900;1502848;7224632;88.79;24856;817736;13278680;85.80;5134312;1704640;3476
hn0-hadoop;5;2024-07-12 09:38:59 UTC;812260;1403112;7324272;90.02;24856;817648;13775672;89.01;5231936;1704452;3360
hn0-hadoop;5;2024-07-12 09:39:04 UTC;686468;1277256;7450064;91.56;24864;817540;13990156;90.40;5358908;1704132;3240
hn0-hadoop;5;2024-07-12 09:39:09 UTC;701892;1292760;7434640;91.37;24864;817660;13984196;90.36;5343904;1702600;2976
hn0-hadoop;5;2024-07-12 09:39:14 UTC;620292;1212236;7516240;92.38;24872;818676;13661640;88.27;5427072;1703416;4116
hn0-hadoop;5;2024-07-12 09:39:19 UTC;636356;1228328;7500176;92.18;24872;818708;13716776;88.63;5408060;1703268;2548
hn0-hadoop;5;2024-07-12 09:39:24 UTC;526944;1119408;7609588;93.52;24872;819116;14359936;92.79;5516320;1703476;2952
hn0-hadoop;5;2024-07-12 09:39:29 UTC;454376;1046836;7682156;94.42;24872;821160;14266136;92.18;5586964;1705456;1864
hn0-hadoop;5;2024-07-12 09:39:34 UTC;483312;1077020;7653220;94.06;24880;822332;14286904;92.31;5553608;1706636;2784
hn0-hadoop;5;2024-07-12 09:39:39 UTC;627048;1220444;7509484;92.29;24880;822012;13924916;89.97;5412620;1706292;2484
hn0-hadoop;5;2024-07-12 09:39:44 UTC;650388;1243804;7486144;92.01;24888;820032;13757484;88.89;5388780;1706860;2816
hn0-hadoop;5;2024-07-12 09:39:49 UTC;654484;1248004;7482048;91.96;24888;820152;13706672;88.56;5385588;1706976;1836
hn0-hadoop;5;2024-07-12 09:39:54 UTC;655948;1249524;7480584;91.94;24888;820176;13692164;88.47;5384972;1706988;1856
hn0-hadoop;5;2024-07-12 09:39:59 UTC;646652;1240424;7489880;92.05;24888;820452;13689060;88.45;5394944;1707188;2056
