# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-15 23:16:42 UTC;8.20;0.40;7.80;3.20;4843.20
hn0-hadoop;5;2024-07-15 23:16:47 UTC;23.95;0.00;23.95;0.00;4748.90
hn0-hadoop;5;2024-07-15 23:16:52 UTC;8.60;0.00;8.60;0.00;547.20
hn0-hadoop;5;2024-07-15 23:16:57 UTC;3.40;1.20;2.20;102.40;41.60
hn0-hadoop;5;2024-07-15 23:17:02 UTC;7.00;3.00;4.00;209.60;388.80
hn0-hadoop;5;2024-07-15 23:17:07 UTC;6.20;0.00;6.20;0.00;881.60
hn0-hadoop;5;2024-07-15 23:17:12 UTC;7.20;0.00;7.20;0.00;1116.80
hn0-hadoop;5;2024-07-15 23:17:17 UTC;1.20;0.60;0.60;6.40;11.20
hn0-hadoop;5;2024-07-15 23:17:22 UTC;8.80;0.00;8.80;0.00;134.40
hn0-hadoop;5;2024-07-15 23:17:27 UTC;5.00;0.00;5.00;0.00;369.60
hn0-hadoop;5;2024-07-15 23:17:32 UTC;1.00;0.00;1.00;0.00;19.20
hn0-hadoop;5;2024-07-15 23:17:37 UTC;12.00;0.00;12.00;0.00;123.20
hn0-hadoop;5;2024-07-15 23:17:42 UTC;3.00;0.00;3.00;0.00;254.40
hn0-hadoop;5;2024-07-15 23:17:47 UTC;3.00;0.00;3.00;0.00;76.80
hn0-hadoop;5;2024-07-15 23:17:52 UTC;2.00;0.00;2.00;0.00;24.00
hn0-hadoop;5;2024-07-15 23:17:57 UTC;21.00;0.00;21.00;0.00;697.60
hn0-hadoop;5;2024-07-15 23:18:02 UTC;1.20;0.00;1.20;0.00;33.60
hn0-hadoop;5;2024-07-15 23:18:07 UTC;1.40;0.20;1.20;3.20;16.00
hn0-hadoop;5;2024-07-15 23:18:12 UTC;11.20;0.20;11.00;1.60;387.20
hn0-hadoop;5;2024-07-15 23:18:17 UTC;3.00;0.00;3.00;0.00;30.40
hn0-hadoop;5;2024-07-15 23:18:22 UTC;18.60;0.00;18.60;0.00;222.40
hn0-hadoop;5;2024-07-15 23:18:27 UTC;2.40;0.00;2.40;0.00;84.80
hn0-hadoop;5;2024-07-15 23:18:32 UTC;2.00;0.00;2.00;0.00;28.80
hn0-hadoop;5;2024-07-15 23:18:37 UTC;9.20;0.00;9.20;0.00;564.80
hn0-hadoop;5;2024-07-15 23:18:42 UTC;1.40;0.00;1.40;0.00;140.80
hn0-hadoop;5;2024-07-15 23:18:47 UTC;3.79;0.00;3.79;0.00;36.73
hn0-hadoop;5;2024-07-15 23:18:52 UTC;4.20;0.20;4.00;1.60;38.40
hn0-hadoop;5;2024-07-15 23:18:57 UTC;3.20;0.00;3.20;0.00;32.00
hn0-hadoop;5;2024-07-15 23:19:02 UTC;2.00;0.00;2.00;0.00;193.60
hn0-hadoop;5;2024-07-15 23:19:07 UTC;7.58;0.00;7.58;0.00;122.95
hn0-hadoop;5;2024-07-15 23:19:12 UTC;6.40;0.00;6.40;0.00;656.00
hn0-hadoop;5;2024-07-15 23:19:17 UTC;14.60;0.00;14.60;0.00;140.80
hn0-hadoop;5;2024-07-15 23:19:22 UTC;5.00;0.00;5.00;0.00;49.60
hn0-hadoop;5;2024-07-15 23:19:27 UTC;8.18;0.00;8.18;0.00;91.02
hn0-hadoop;5;2024-07-15 23:19:32 UTC;3.80;0.00;3.80;0.00;41.60
hn0-hadoop;5;2024-07-15 23:19:37 UTC;11.20;0.00;11.20;0.00;204.80
hn0-hadoop;5;2024-07-15 23:19:42 UTC;6.40;0.00;6.40;0.00;659.20
hn0-hadoop;5;2024-07-15 23:19:47 UTC;3.59;0.00;3.59;0.00;95.81
hn0-hadoop;5;2024-07-15 23:19:52 UTC;1.60;0.00;1.60;0.00;22.40
hn0-hadoop;5;2024-07-15 23:19:57 UTC;18.00;0.00;18.00;0.00;1046.40
hn0-hadoop;5;2024-07-15 23:20:02 UTC;3.80;0.40;3.40;20.80;65.60
hn0-hadoop;5;2024-07-15 23:20:07 UTC;3.60;0.00;3.60;0.00;35.20
hn0-hadoop;5;2024-07-15 23:20:12 UTC;3.80;0.00;3.80;0.00;222.40
hn0-hadoop;5;2024-07-15 23:20:17 UTC;1.00;0.00;1.00;0.00;14.40
hn0-hadoop;5;2024-07-15 23:20:22 UTC;2.99;0.00;2.99;0.00;41.52
hn0-hadoop;5;2024-07-15 23:20:27 UTC;10.20;0.80;9.40;8.00;164.80
hn0-hadoop;5;2024-07-15 23:20:32 UTC;9.00;0.00;9.00;0.00;115.20
hn0-hadoop;5;2024-07-15 23:20:37 UTC;3.60;0.00;3.60;0.00;35.20
hn0-hadoop;5;2024-07-15 23:20:42 UTC;2.60;0.00;2.60;0.00;182.40
hn0-hadoop;5;2024-07-15 23:20:47 UTC;17.60;0.00;17.60;0.00;232.00
hn0-hadoop;5;2024-07-15 23:20:52 UTC;2.00;0.00;2.00;0.00;432.00
hn0-hadoop;5;2024-07-15 23:20:57 UTC;6.20;0.00;6.20;0.00;104.00
hn0-hadoop;5;2024-07-15 23:21:02 UTC;4.80;0.00;4.80;0.00;80.00
hn0-hadoop;5;2024-07-15 23:21:07 UTC;10.00;0.00;10.00;0.00;571.20
hn0-hadoop;5;2024-07-15 23:21:12 UTC;3.60;0.00;3.60;0.00;163.20
hn0-hadoop;5;2024-07-15 23:21:17 UTC;5.00;0.00;5.00;0.00;505.60
hn0-hadoop;5;2024-07-15 23:21:22 UTC;4.00;0.00;4.00;0.00;249.60
hn0-hadoop;5;2024-07-15 23:21:27 UTC;2.40;0.00;2.40;0.00;48.00
hn0-hadoop;5;2024-07-15 23:21:32 UTC;1.00;0.00;1.00;0.00;19.20
hn0-hadoop;5;2024-07-15 23:21:37 UTC;16.20;0.00;16.20;0.00;241.60
hn0-hadoop;5;2024-07-15 23:21:42 UTC;1.40;0.00;1.40;0.00;36.80
hn0-hadoop;5;2024-07-15 23:21:47 UTC;3.40;0.00;3.40;0.00;150.40
hn0-hadoop;5;2024-07-15 23:21:52 UTC;3.00;0.00;3.00;0.00;30.40
hn0-hadoop;5;2024-07-15 23:21:57 UTC;19.00;0.00;19.00;0.00;771.20
hn0-hadoop;5;2024-07-15 23:22:02 UTC;1.20;0.00;1.20;0.00;25.55
hn0-hadoop;5;2024-07-15 23:22:07 UTC;1.00;0.00;1.00;0.00;14.40
