# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-15 18:59:49 UTC;8.40;0.00;8.40;0.00;313.60
hn0-hadoop;5;2024-07-15 18:59:54 UTC;5.00;0.40;4.60;3.20;52.80
hn0-hadoop;5;2024-07-15 18:59:59 UTC;4.00;0.00;4.00;0.00;68.80
hn0-hadoop;5;2024-07-15 19:00:04 UTC;4.20;0.00;4.20;0.00;84.80
hn0-hadoop;5;2024-07-15 19:00:09 UTC;2.99;0.00;2.99;0.00;43.11
hn0-hadoop;5;2024-07-15 19:00:14 UTC;2.80;0.40;2.40;3.20;27.20
hn0-hadoop;5;2024-07-15 19:00:19 UTC;11.20;0.80;10.40;11.20;796.80
hn0-hadoop;5;2024-07-15 19:00:24 UTC;23.20;0.00;23.20;0.00;345.60
hn0-hadoop;5;2024-07-15 19:00:29 UTC;5.60;0.00;5.60;0.00;54.40
hn0-hadoop;5;2024-07-15 19:00:34 UTC;8.20;0.00;8.20;0.00;118.40
hn0-hadoop;5;2024-07-15 19:00:39 UTC;17.40;0.80;16.60;49.60;1172.80
hn0-hadoop;5;2024-07-15 19:00:44 UTC;2.40;0.00;2.40;0.00;376.00
hn0-hadoop;5;2024-07-15 19:00:49 UTC;1.60;0.00;1.60;0.00;240.00
hn0-hadoop;5;2024-07-15 19:00:54 UTC;0.40;0.00;0.40;0.00;9.60
hn0-hadoop;5;2024-07-15 19:00:59 UTC;1.40;0.00;1.40;0.00;17.60
hn0-hadoop;5;2024-07-15 19:01:04 UTC;3.40;0.00;3.40;0.00;49.60
hn0-hadoop;5;2024-07-15 19:01:09 UTC;9.20;0.00;9.20;0.00;156.80
hn0-hadoop;5;2024-07-15 19:01:14 UTC;23.40;0.00;23.40;0.00;424.00
hn0-hadoop;5;2024-07-15 19:01:19 UTC;3.40;0.00;3.40;0.00;347.20
hn0-hadoop;5;2024-07-15 19:01:24 UTC;6.40;0.00;6.40;0.00;65.60
hn0-hadoop;5;2024-07-15 19:01:29 UTC;17.60;0.00;17.60;0.00;417.60
hn0-hadoop;5;2024-07-15 19:01:34 UTC;4.40;0.00;4.40;0.00;28.80
hn0-hadoop;5;2024-07-15 19:01:39 UTC;2.60;0.00;2.60;0.00;27.20
hn0-hadoop;5;2024-07-15 19:01:44 UTC;3.40;0.00;3.40;0.00;38.40
hn0-hadoop;5;2024-07-15 19:01:49 UTC;3.20;0.00;3.20;0.00;185.60
hn0-hadoop;5;2024-07-15 19:01:54 UTC;2.60;0.00;2.60;0.00;73.60
hn0-hadoop;5;2024-07-15 19:01:59 UTC;0.80;0.00;0.80;0.00;12.80
hn0-hadoop;5;2024-07-15 19:02:04 UTC;18.40;0.00;18.40;0.00;272.00
hn0-hadoop;5;2024-07-15 19:02:09 UTC;2.00;0.00;2.00;0.00;33.60
hn0-hadoop;5;2024-07-15 19:02:14 UTC;2.00;0.00;2.00;0.00;49.60
hn0-hadoop;5;2024-07-15 19:02:19 UTC;5.60;0.00;5.60;0.00;596.80
hn0-hadoop;5;2024-07-15 19:02:24 UTC;3.40;0.00;3.40;0.00;44.80
hn0-hadoop;5;2024-07-15 19:02:29 UTC;3.00;0.00;3.00;0.00;70.40
hn0-hadoop;5;2024-07-15 19:02:34 UTC;6.80;0.00;6.80;0.00;102.40
hn0-hadoop;5;2024-07-15 19:02:39 UTC;1.80;0.00;1.80;0.00;67.20
hn0-hadoop;5;2024-07-15 19:02:44 UTC;1.80;0.00;1.80;0.00;30.40
hn0-hadoop;5;2024-07-15 19:02:49 UTC;2.20;0.00;2.20;0.00;158.40
hn0-hadoop;5;2024-07-15 19:02:54 UTC;17.20;0.00;17.20;0.00;163.20
hn0-hadoop;5;2024-07-15 19:02:59 UTC;2.40;0.00;2.40;0.00;25.55
hn0-hadoop;5;2024-07-15 19:03:04 UTC;9.60;0.00;9.60;0.00;132.80
hn0-hadoop;5;2024-07-15 19:03:09 UTC;3.20;0.00;3.20;0.00;225.60
hn0-hadoop;5;2024-07-15 19:03:14 UTC;1.80;0.00;1.80;0.00;70.40
hn0-hadoop;5;2024-07-15 19:03:19 UTC;2.00;0.00;2.00;0.00;132.80
hn0-hadoop;5;2024-07-15 19:03:24 UTC;2.40;0.00;2.40;0.00;38.40
hn0-hadoop;5;2024-07-15 19:03:29 UTC;2.80;0.00;2.80;0.00;28.80
hn0-hadoop;5;2024-07-15 19:03:34 UTC;9.20;0.00;9.20;0.00;128.00
hn0-hadoop;5;2024-07-15 19:03:39 UTC;2.80;0.00;2.80;0.00;28.80
hn0-hadoop;5;2024-07-15 19:03:44 UTC;2.00;0.00;2.00;0.00;64.00
hn0-hadoop;5;2024-07-15 19:03:49 UTC;2.60;0.00;2.60;0.00;78.40
hn0-hadoop;5;2024-07-15 19:03:54 UTC;12.80;0.00;12.80;0.00;249.60
hn0-hadoop;5;2024-07-15 19:03:59 UTC;1.60;0.00;1.60;0.00;32.00
hn0-hadoop;5;2024-07-15 19:04:04 UTC;9.20;0.00;9.20;0.00;137.60
hn0-hadoop;5;2024-07-15 19:04:09 UTC;4.59;0.00;4.59;0.00;65.47
hn0-hadoop;5;2024-07-15 19:04:14 UTC;3.00;0.00;3.00;0.00;41.60
hn0-hadoop;5;2024-07-15 19:04:19 UTC;6.20;0.00;6.20;0.00;596.80
hn0-hadoop;5;2024-07-15 19:04:24 UTC;6.20;0.20;6.00;1.60;144.00
hn0-hadoop;5;2024-07-15 19:04:29 UTC;3.20;0.00;3.20;0.00;62.40
hn0-hadoop;5;2024-07-15 19:04:34 UTC;8.98;0.40;8.58;15.97;140.52
hn0-hadoop;5;2024-07-15 19:04:39 UTC;5.40;0.00;5.40;0.00;54.40
hn0-hadoop;5;2024-07-15 19:04:44 UTC;6.20;0.00;6.20;0.00;73.60
hn0-hadoop;5;2024-07-15 19:04:49 UTC;21.40;0.00;21.40;0.00;524.80
hn0-hadoop;5;2024-07-15 19:04:54 UTC;3.80;0.00;3.80;0.00;48.00
hn0-hadoop;5;2024-07-15 19:04:59 UTC;1.40;0.00;1.40;0.00;60.80
hn0-hadoop;5;2024-07-15 19:05:04 UTC;8.60;0.00;8.60;0.00;152.00
hn0-hadoop;5;2024-07-15 19:05:09 UTC;3.40;0.00;3.40;0.00;49.60
hn0-hadoop;5;2024-07-15 19:05:14 UTC;1.40;0.00;1.40;0.00;17.60
hn0-hadoop;5;2024-07-15 19:05:19 UTC;5.20;0.00;5.20;0.00;168.00
hn0-hadoop;5;2024-07-15 19:05:24 UTC;4.36;0.00;4.36;0.00;101.39
hn0-hadoop;5;2024-07-15 19:05:29 UTC;4.04;0.00;4.04;0.00;50.10
hn0-hadoop;5;2024-07-15 19:05:34 UTC;10.20;0.00;10.20;0.00;121.60
hn0-hadoop;5;2024-07-15 19:05:39 UTC;6.60;0.00;6.60;0.00;108.80
hn0-hadoop;5;2024-07-15 19:05:44 UTC;1.40;0.00;1.40;0.00;24.00
hn0-hadoop;5;2024-07-15 19:05:49 UTC;2.40;0.00;2.40;0.00;184.00
hn0-hadoop;5;2024-07-15 19:05:54 UTC;17.56;0.00;17.56;0.00;284.23
hn0-hadoop;5;2024-07-15 19:05:59 UTC;2.80;0.00;2.80;0.00;28.80
hn0-hadoop;5;2024-07-15 19:06:04 UTC;5.00;0.00;5.00;0.00;68.80
hn0-hadoop;5;2024-07-15 19:06:09 UTC;9.80;0.00;9.80;0.00;193.60
hn0-hadoop;5;2024-07-15 19:06:14 UTC;1.00;0.00;1.00;0.00;16.00
hn0-hadoop;5;2024-07-15 19:06:19 UTC;4.20;0.00;4.20;0.00;619.20
hn0-hadoop;5;2024-07-15 19:06:24 UTC;3.20;0.00;3.20;0.00;48.00
hn0-hadoop;5;2024-07-15 19:06:29 UTC;1.80;0.00;1.80;0.00;62.40
hn0-hadoop;5;2024-07-15 19:06:34 UTC;3.40;0.00;3.40;0.00;38.40
hn0-hadoop;5;2024-07-15 19:06:39 UTC;8.20;0.00;8.20;0.00;118.40
hn0-hadoop;5;2024-07-15 19:06:44 UTC;2.80;0.00;2.80;0.00;75.20
hn0-hadoop;5;2024-07-15 19:06:49 UTC;2.00;0.00;2.00;0.00;150.40
hn0-hadoop;5;2024-07-15 19:06:54 UTC;17.40;0.00;17.40;0.00;315.20
hn0-hadoop;5;2024-07-15 19:06:59 UTC;0.40;0.00;0.40;0.00;9.60
hn0-hadoop;5;2024-07-15 19:07:04 UTC;1.60;0.00;1.60;0.00;24.00
hn0-hadoop;5;2024-07-15 19:07:09 UTC;9.20;0.00;9.20;0.00;139.20
hn0-hadoop;5;2024-07-15 19:07:14 UTC;3.20;0.00;3.20;0.00;32.00
hn0-hadoop;5;2024-07-15 19:07:19 UTC;2.80;0.00;2.80;0.00;172.80
hn0-hadoop;5;2024-07-15 19:07:24 UTC;8.20;0.00;8.20;0.00;116.80
hn0-hadoop;5;2024-07-15 19:07:29 UTC;1.60;0.00;1.60;0.00;22.40
hn0-hadoop;5;2024-07-15 19:07:34 UTC;5.20;0.00;5.20;0.00;44.80
hn0-hadoop;5;2024-07-15 19:07:39 UTC;6.20;0.00;6.20;0.00;105.60
hn0-hadoop;5;2024-07-15 19:07:44 UTC;3.60;0.00;3.60;0.00;46.40
hn0-hadoop;5;2024-07-15 19:07:49 UTC;3.20;0.00;3.20;0.00;51.20
hn0-hadoop;5;2024-07-15 19:07:54 UTC;20.00;0.00;20.00;0.00;412.80
hn0-hadoop;5;2024-07-15 19:07:59 UTC;0.80;0.00;0.80;0.00;60.80
hn0-hadoop;5;2024-07-15 19:08:04 UTC;3.20;0.00;3.20;0.00;508.80
hn0-hadoop;5;2024-07-15 19:08:09 UTC;7.00;0.00;7.00;0.00;107.20
