# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-15 18:59:49 UTC;lo;29.20;29.20;14.43;14.43;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 18:59:49 UTC;eth0;86.00;96.00;36.85;31.97;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 18:59:54 UTC;lo;34.00;34.00;24.03;24.03;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 18:59:54 UTC;eth0;45.40;50.80;28.29;7.36;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 18:59:59 UTC;lo;24.60;24.60;11.46;11.46;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 18:59:59 UTC;eth0;42.40;59.00;11.88;11.18;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:04 UTC;lo;25.80;25.80;14.26;14.26;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:04 UTC;eth0;45.60;57.60;19.52;11.21;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:09 UTC;lo;31.54;31.54;8.50;8.50;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:09 UTC;eth0;46.51;59.08;17.47;12.23;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:14 UTC;lo;56.40;56.40;296.25;296.25;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:14 UTC;eth0;37.00;48.80;16.70;12.30;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:19 UTC;lo;46.80;46.80;38.56;38.56;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:19 UTC;eth0;6452.20;419.60;8687.59;41.17;0.00;0.00;0.00;0.14
hn0-hadoop;5;2024-07-15 19:00:24 UTC;lo;54.00;54.00;47.27;47.27;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:24 UTC;eth0;131.40;132.80;72.28;340.52;0.00;0.00;0.00;0.01
hn0-hadoop;5;2024-07-15 19:00:29 UTC;lo;29.00;29.00;16.81;16.81;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:29 UTC;eth0;79.40;83.40;41.89;15.08;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:34 UTC;lo;97.40;97.40;24.32;24.32;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:34 UTC;eth0;55.80;79.20;17.33;13.94;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:39 UTC;lo;34.00;34.00;38.53;38.53;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:39 UTC;eth0;57.20;74.80;22.24;14.80;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:44 UTC;lo;17.80;17.80;9.53;9.53;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:44 UTC;eth0;23.20;38.40;4.35;5.28;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:49 UTC;lo;609.40;609.40;384.47;384.47;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:49 UTC;eth0;34.20;55.00;7.41;8.76;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:54 UTC;lo;621.60;621.60;119.01;119.01;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:54 UTC;eth0;43.60;51.00;23.60;7.94;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:59 UTC;lo;22.20;22.20;14.38;14.38;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:00:59 UTC;eth0;71.40;96.20;28.00;17.93;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:04 UTC;lo;24.20;24.20;37.19;37.19;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:04 UTC;eth0;50.00;70.40;18.45;12.70;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:09 UTC;lo;27.80;27.80;10.96;10.96;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:09 UTC;eth0;96.00;74.60;79.92;12.64;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:14 UTC;lo;20.40;20.40;20.05;20.05;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:14 UTC;eth0;30.00;45.20;6.52;37.95;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:19 UTC;lo;42.20;42.20;34.10;34.10;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:19 UTC;eth0;48.20;59.80;24.97;8.80;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:24 UTC;lo;40.60;40.60;18.21;18.21;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:24 UTC;eth0;59.40;75.40;16.75;141.21;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:29 UTC;lo;19.00;19.00;9.06;9.06;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:29 UTC;eth0;39.20;58.80;9.43;12.02;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:34 UTC;lo;81.60;81.60;287.31;287.31;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:34 UTC;eth0;52.40;71.40;16.62;13.42;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:39 UTC;lo;27.60;27.60;17.91;17.91;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:39 UTC;eth0;53.00;74.00;20.55;14.41;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:44 UTC;lo;23.20;23.20;11.44;11.44;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:44 UTC;eth0;20.80;37.40;3.18;4.57;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:49 UTC;lo;28.20;28.20;18.06;18.06;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:49 UTC;eth0;53.20;62.40;24.25;10.66;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-15 19:01:54 UTC;lo;39.80;39.80;33.42;33.42;0.00;0.00;0.00;0.00
