# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-13 05:51:48 UTC;18.20;10.40;7.80;395.20;163.20
hn0-hadoop;5;2024-07-13 05:51:53 UTC;6.20;3.20;3.00;44.80;33.60
hn0-hadoop;5;2024-07-13 05:51:58 UTC;24.40;4.40;20.00;211.20;846.40
hn0-hadoop;5;2024-07-13 05:52:03 UTC;9.80;0.00;9.80;0.00;4809.60
hn0-hadoop;5;2024-07-13 05:52:08 UTC;0.80;0.00;0.80;0.00;12.77
hn0-hadoop;5;2024-07-13 05:52:13 UTC;3.00;1.00;2.00;24.00;33.60
hn0-hadoop;5;2024-07-13 05:52:18 UTC;70.40;0.00;70.40;0.00;9003.20
hn0-hadoop;5;2024-07-13 05:52:23 UTC;119.60;0.20;119.40;12.80;29358.40
hn0-hadoop;5;2024-07-13 05:52:28 UTC;93.21;0.00;93.21;0.00;49449.90
hn0-hadoop;5;2024-07-13 05:52:33 UTC;50.80;0.20;50.60;1.60;21411.20
hn0-hadoop;5;2024-07-13 05:52:38 UTC;40.72;0.20;40.52;6.39;17314.17
hn0-hadoop;5;2024-07-13 05:52:43 UTC;7.20;3.80;3.40;75.20;30.40
hn0-hadoop;5;2024-07-13 05:52:48 UTC;0.60;0.00;0.60;0.00;11.20
hn0-hadoop;5;2024-07-13 05:52:53 UTC;5.40;2.60;2.80;54.40;945.60
hn0-hadoop;5;2024-07-13 05:52:58 UTC;5.60;1.00;4.60;12.80;3878.40
hn0-hadoop;5;2024-07-13 05:53:03 UTC;10.20;1.80;8.40;41.60;185.60
hn0-hadoop;5;2024-07-13 05:53:08 UTC;4.39;0.40;3.99;4.79;46.31
hn0-hadoop;5;2024-07-13 05:53:13 UTC;4.80;0.80;4.00;8.00;48.00
hn0-hadoop;5;2024-07-13 05:53:18 UTC;1.20;0.00;1.20;0.00;16.00
hn0-hadoop;5;2024-07-13 05:53:23 UTC;3.40;0.20;3.20;4.80;59.20
hn0-hadoop;5;2024-07-13 05:53:28 UTC;2.40;0.20;2.20;1.60;224.00
hn0-hadoop;5;2024-07-13 05:53:33 UTC;35.20;0.00;35.20;0.00;4467.20
hn0-hadoop;5;2024-07-13 05:53:38 UTC;12.80;7.80;5.00;275.20;507.20
hn0-hadoop;5;2024-07-13 05:53:43 UTC;3.40;0.00;3.40;0.00;40.00
hn0-hadoop;5;2024-07-13 05:53:48 UTC;3.00;0.00;3.00;0.00;32.00
hn0-hadoop;5;2024-07-13 05:53:53 UTC;2.80;0.20;2.60;6.40;27.20
hn0-hadoop;5;2024-07-13 05:53:58 UTC;2.60;0.00;2.60;0.00;73.60
hn0-hadoop;5;2024-07-13 05:54:03 UTC;19.20;0.00;19.20;0.00;358.40
hn0-hadoop;5;2024-07-13 05:54:08 UTC;2.80;0.20;2.60;3.20;52.80
hn0-hadoop;5;2024-07-13 05:54:13 UTC;4.00;0.00;4.00;0.00;150.40
hn0-hadoop;5;2024-07-13 05:54:18 UTC;3.00;0.00;3.00;0.00;40.00
hn0-hadoop;5;2024-07-13 05:54:23 UTC;5.00;0.60;4.40;6.40;44.80
hn0-hadoop;5;2024-07-13 05:54:28 UTC;14.80;1.60;13.20;20.80;433.60
hn0-hadoop;5;2024-07-13 05:54:33 UTC;9.60;1.40;8.20;49.60;678.40
hn0-hadoop;5;2024-07-13 05:54:38 UTC;6.60;0.60;6.00;9.60;145.60
hn0-hadoop;5;2024-07-13 05:54:43 UTC;2.00;0.40;1.60;3.20;19.20
hn0-hadoop;5;2024-07-13 05:54:48 UTC;3.00;0.20;2.80;27.20;78.40
hn0-hadoop;5;2024-07-13 05:54:53 UTC;4.60;0.00;4.60;0.00;51.20
hn0-hadoop;5;2024-07-13 05:54:58 UTC;7.20;2.20;5.00;33.60;617.60
hn0-hadoop;5;2024-07-13 05:55:03 UTC;24.00;1.20;22.80;41.60;398.40
hn0-hadoop;5;2024-07-13 05:55:08 UTC;1.60;0.00;1.60;0.00;24.00
hn0-hadoop;5;2024-07-13 05:55:13 UTC;1.40;0.00;1.40;0.00;19.20
hn0-hadoop;5;2024-07-13 05:55:18 UTC;0.80;0.00;0.80;0.00;12.80
hn0-hadoop;5;2024-07-13 05:55:23 UTC;8.00;3.00;5.00;121.60;104.00
hn0-hadoop;5;2024-07-13 05:55:28 UTC;9.20;0.00;9.20;0.00;505.60
hn0-hadoop;5;2024-07-13 05:55:33 UTC;17.60;1.20;16.40;20.80;1110.40
hn0-hadoop;5;2024-07-13 05:55:38 UTC;19.20;4.40;14.80;132.80;1472.00
hn0-hadoop;5;2024-07-13 05:55:43 UTC;7.40;1.60;5.80;19.20;51.20
hn0-hadoop;5;2024-07-13 05:55:48 UTC;3.20;2.00;1.20;115.20;17.60
hn0-hadoop;5;2024-07-13 05:55:53 UTC;1.80;0.40;1.40;3.20;430.40
hn0-hadoop;5;2024-07-13 05:55:58 UTC;2.40;0.00;2.40;0.00;78.40
hn0-hadoop;5;2024-07-13 05:56:03 UTC;26.20;3.00;23.20;264.00;459.20
