# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-13 08:15:25 UTC;lo;63.40;63.40;64.97;64.97;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:15:25 UTC;eth0;124.00;117.20;65.04;228.64;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:15:30 UTC;lo;28.00;28.00;12.93;12.93;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:15:30 UTC;eth0;67.20;67.40;38.04;11.56;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:15:35 UTC;lo;92.20;92.20;22.56;22.56;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:15:35 UTC;eth0;68.40;95.00;20.01;19.91;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:15:40 UTC;lo;29.40;29.40;37.76;37.76;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:15:40 UTC;eth0;39.20;54.20;11.59;10.99;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:15:45 UTC;lo;35.93;35.93;24.56;24.56;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:15:45 UTC;eth0;54.09;57.68;32.78;10.62;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:15:50 UTC;lo;358.60;358.60;235.90;235.90;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:15:50 UTC;eth0;58.20;73.40;22.90;13.32;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:15:55 UTC;lo;45.71;45.71;30.92;30.92;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:15:55 UTC;eth0;54.69;75.25;17.20;16.54;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:00 UTC;lo;26.00;26.00;14.37;14.37;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:00 UTC;eth0;1626.20;1341.80;126.71;15580.27;0.00;0.00;0.00;0.26
hn0-hadoop;5;2024-07-13 08:16:05 UTC;lo;27.20;27.20;28.58;28.58;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:05 UTC;eth0;110.60;116.00;65.40;129.10;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:10 UTC;lo;21.20;21.20;14.36;14.36;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:10 UTC;eth0;77.80;71.20;53.99;20.21;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:15 UTC;lo;26.15;26.15;13.68;13.68;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:15 UTC;eth0;24.15;38.72;4.57;9.32;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:20 UTC;lo;47.40;47.40;19.49;19.49;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:20 UTC;eth0;38.60;53.40;11.56;8.18;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:25 UTC;lo;63.60;63.60;91.52;91.52;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:25 UTC;eth0;88.20;81.20;53.09;162.71;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:30 UTC;lo;23.15;23.15;21.90;21.90;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:30 UTC;eth0;48.10;59.08;21.07;13.02;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:35 UTC;lo;65.60;65.60;200.69;200.69;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:35 UTC;eth0;61.60;80.00;21.86;15.21;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:40 UTC;lo;19.00;19.00;9.07;9.07;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:40 UTC;eth0;30.60;50.40;7.63;8.24;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:45 UTC;lo;36.60;36.60;58.64;58.64;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:45 UTC;eth0;51.60;57.20;27.26;8.46;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:50 UTC;lo;788.20;788.20;303.38;303.38;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:50 UTC;eth0;50.60;66.60;18.48;12.35;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:55 UTC;lo;137.40;137.40;40.58;40.58;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:16:55 UTC;eth0;35.00;49.60;11.51;8.84;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:17:00 UTC;lo;24.40;24.40;16.60;16.60;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:17:00 UTC;eth0;49.60;59.40;21.14;9.35;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:17:05 UTC;lo;16.60;16.60;5.37;5.37;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:17:05 UTC;eth0;37.00;58.40;6.84;10.01;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:17:10 UTC;lo;22.80;22.80;44.22;44.22;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:17:10 UTC;eth0;49.20;60.20;23.24;28.83;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:17:15 UTC;lo;20.20;20.20;10.81;10.81;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:17:15 UTC;eth0;32.40;43.60;11.73;9.98;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:17:20 UTC;lo;38.00;38.00;16.67;16.67;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:17:20 UTC;eth0;45.80;58.60;13.59;68.14;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:17:25 UTC;lo;58.60;58.60;31.43;31.43;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 08:17:25 UTC;eth0;47.20;63.00;13.09;114.51;0.00;0.00;0.00;0.00
