# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-13 03:57:02 UTC;4.20;0.40;3.80;3.20;46.40
hn0-hadoop;5;2024-07-13 03:57:07 UTC;2.60;0.00;2.60;0.00;27.20
hn0-hadoop;5;2024-07-13 03:57:12 UTC;4.39;0.00;4.39;0.00;661.08
hn0-hadoop;5;2024-07-13 03:57:17 UTC;17.00;0.00;17.00;0.00;193.60
hn0-hadoop;5;2024-07-13 03:57:22 UTC;4.60;2.00;2.60;28.80;33.60
hn0-hadoop;5;2024-07-13 03:57:27 UTC;11.20;0.80;10.40;11.20;550.40
hn0-hadoop;5;2024-07-13 03:57:32 UTC;4.40;0.00;4.40;0.00;115.20
hn0-hadoop;5;2024-07-13 03:57:37 UTC;3.80;0.60;3.20;4.80;115.20
hn0-hadoop;5;2024-07-13 03:57:42 UTC;2.20;0.00;2.20;0.00;246.40
hn0-hadoop;5;2024-07-13 03:57:47 UTC;1.60;0.00;1.60;0.00;32.00
hn0-hadoop;5;2024-07-13 03:57:52 UTC;9.18;0.00;9.18;0.00;427.94
hn0-hadoop;5;2024-07-13 03:57:57 UTC;7.40;0.00;7.40;0.00;107.20
hn0-hadoop;5;2024-07-13 03:58:02 UTC;6.80;0.00;6.80;0.00;563.20
hn0-hadoop;5;2024-07-13 03:58:07 UTC;3.60;0.00;3.60;0.00;78.40
hn0-hadoop;5;2024-07-13 03:58:12 UTC;22.60;0.00;22.60;0.00;369.60
hn0-hadoop;5;2024-07-13 03:58:17 UTC;1.00;0.00;1.00;0.00;20.80
hn0-hadoop;5;2024-07-13 03:58:22 UTC;5.20;0.00;5.20;0.00;36.80
hn0-hadoop;5;2024-07-13 03:58:27 UTC;9.20;0.00;9.20;0.00;144.00
hn0-hadoop;5;2024-07-13 03:58:32 UTC;6.40;0.00;6.40;0.00;67.20
hn0-hadoop;5;2024-07-13 03:58:37 UTC;3.20;0.20;3.00;1.60;33.60
hn0-hadoop;5;2024-07-13 03:58:42 UTC;3.80;0.00;3.80;0.00;276.80
hn0-hadoop;5;2024-07-13 03:58:47 UTC;2.80;0.00;2.80;0.00;38.40
hn0-hadoop;5;2024-07-13 03:58:52 UTC;1.20;0.00;1.20;0.00;16.00
hn0-hadoop;5;2024-07-13 03:58:57 UTC;2.40;0.00;2.40;0.00;25.55
hn0-hadoop;5;2024-07-13 03:59:02 UTC;8.60;0.00;8.60;0.00;545.60
hn0-hadoop;5;2024-07-13 03:59:07 UTC;4.60;1.20;3.40;9.60;52.80
hn0-hadoop;5;2024-07-13 03:59:12 UTC;7.20;0.00;7.20;0.00;715.20
hn0-hadoop;5;2024-07-13 03:59:17 UTC;18.60;0.00;18.60;0.00;387.20
hn0-hadoop;5;2024-07-13 03:59:22 UTC;3.60;0.00;3.60;0.00;41.60
hn0-hadoop;5;2024-07-13 03:59:27 UTC;4.40;0.00;4.40;0.00;65.60
hn0-hadoop;5;2024-07-13 03:59:32 UTC;7.40;0.00;7.40;0.00;534.40
hn0-hadoop;5;2024-07-13 03:59:37 UTC;3.00;0.00;3.00;0.00;56.00
hn0-hadoop;5;2024-07-13 03:59:42 UTC;4.59;0.00;4.59;0.00;619.56
hn0-hadoop;5;2024-07-13 03:59:47 UTC;4.00;0.00;4.00;0.00;75.20
hn0-hadoop;5;2024-07-13 03:59:52 UTC;4.00;0.00;4.00;0.00;86.40
hn0-hadoop;5;2024-07-13 03:59:57 UTC;3.80;0.00;3.80;0.00;40.00
hn0-hadoop;5;2024-07-13 04:00:02 UTC;8.40;0.00;8.40;0.00;564.80
hn0-hadoop;5;2024-07-13 04:00:07 UTC;1.60;0.00;1.60;0.00;28.80
hn0-hadoop;5;2024-07-13 04:00:12 UTC;2.20;0.00;2.20;0.00;148.80
hn0-hadoop;5;2024-07-13 04:00:17 UTC;19.40;0.00;19.40;0.00;180.80
hn0-hadoop;5;2024-07-13 04:00:22 UTC;4.80;0.60;4.20;40.00;57.60
hn0-hadoop;5;2024-07-13 04:00:27 UTC;5.20;0.00;5.20;0.00;104.00
hn0-hadoop;5;2024-07-13 04:00:32 UTC;16.40;0.00;16.40;0.00;576.00
hn0-hadoop;5;2024-07-13 04:00:37 UTC;1.80;0.20;1.60;4.80;51.20
hn0-hadoop;5;2024-07-13 04:00:42 UTC;2.60;0.00;2.60;0.00;203.20
hn0-hadoop;5;2024-07-13 04:00:47 UTC;1.40;0.00;1.40;0.00;27.15
hn0-hadoop;5;2024-07-13 04:00:52 UTC;1.80;0.00;1.80;0.00;27.20
hn0-hadoop;5;2024-07-13 04:00:57 UTC;3.00;0.00;3.00;0.00;30.40
hn0-hadoop;5;2024-07-13 04:01:02 UTC;9.80;0.00;9.80;0.00;612.80
hn0-hadoop;5;2024-07-13 04:01:07 UTC;3.20;0.00;3.20;0.00;32.00
hn0-hadoop;5;2024-07-13 04:01:12 UTC;5.00;0.00;5.00;0.00;812.80
hn0-hadoop;5;2024-07-13 04:01:17 UTC;16.40;0.00;16.40;0.00;168.00
hn0-hadoop;5;2024-07-13 04:01:22 UTC;6.20;0.00;6.20;0.00;54.40
hn0-hadoop;5;2024-07-13 04:01:27 UTC;3.60;0.00;3.60;0.00;59.20
hn0-hadoop;5;2024-07-13 04:01:32 UTC;12.20;0.20;12.00;3.20;134.40
hn0-hadoop;5;2024-07-13 04:01:37 UTC;5.00;0.00;5.00;0.00;502.40
hn0-hadoop;5;2024-07-13 04:01:42 UTC;5.00;0.00;5.00;0.00;235.20
hn0-hadoop;5;2024-07-13 04:01:47 UTC;1.00;0.00;1.00;0.00;64.00
hn0-hadoop;5;2024-07-13 04:01:52 UTC;2.00;0.00;2.00;0.00;32.00
hn0-hadoop;5;2024-07-13 04:01:57 UTC;1.00;0.00;1.00;0.00;16.00
hn0-hadoop;5;2024-07-13 04:02:02 UTC;6.60;0.00;6.60;0.00;104.00
hn0-hadoop;5;2024-07-13 04:02:07 UTC;3.80;0.00;3.80;0.00;43.20
hn0-hadoop;5;2024-07-13 04:02:12 UTC;31.40;11.40;20.00;196.80;742.40
hn0-hadoop;5;2024-07-13 04:02:17 UTC;2.20;0.00;2.20;0.00;25.60
hn0-hadoop;5;2024-07-13 04:02:22 UTC;2.00;0.00;2.00;0.00;59.20
hn0-hadoop;5;2024-07-13 04:02:27 UTC;2.20;0.00;2.20;0.00;35.20
hn0-hadoop;5;2024-07-13 04:02:32 UTC;1.00;0.00;1.00;0.00;17.60
hn0-hadoop;5;2024-07-13 04:02:37 UTC;7.00;0.60;6.40;11.20;102.40
hn0-hadoop;5;2024-07-13 04:02:42 UTC;3.79;0.00;3.79;0.00;169.26
hn0-hadoop;5;2024-07-13 04:02:47 UTC;5.00;0.00;5.00;0.00;128.00
hn0-hadoop;5;2024-07-13 04:02:52 UTC;2.20;0.00;2.20;0.00;27.20
hn0-hadoop;5;2024-07-13 04:02:57 UTC;1.20;0.00;1.20;0.00;24.00
hn0-hadoop;5;2024-07-13 04:03:02 UTC;1.80;0.00;1.80;0.00;25.60
hn0-hadoop;5;2024-07-13 04:03:07 UTC;6.40;0.00;6.40;0.00;96.00
hn0-hadoop;5;2024-07-13 04:03:12 UTC;4.40;0.00;4.40;0.00;608.00
hn0-hadoop;5;2024-07-13 04:03:17 UTC;16.40;0.00;16.40;0.00;734.40
hn0-hadoop;5;2024-07-13 04:03:22 UTC;3.40;0.00;3.40;0.00;76.80
hn0-hadoop;5;2024-07-13 04:03:27 UTC;3.99;0.00;3.99;0.00;70.26
hn0-hadoop;5;2024-07-13 04:03:32 UTC;2.60;0.00;2.60;0.00;35.20
hn0-hadoop;5;2024-07-13 04:03:37 UTC;6.00;0.00;6.00;0.00;99.20
hn0-hadoop;5;2024-07-13 04:03:42 UTC;1.60;0.00;1.60;0.00;28.80
hn0-hadoop;5;2024-07-13 04:03:47 UTC;4.20;0.00;4.20;0.00;193.60
hn0-hadoop;5;2024-07-13 04:03:52 UTC;3.00;0.00;3.00;0.00;33.60
hn0-hadoop;5;2024-07-13 04:03:57 UTC;4.40;0.00;4.40;0.00;102.40
hn0-hadoop;5;2024-07-13 04:04:02 UTC;3.40;0.00;3.40;0.00;52.80
hn0-hadoop;5;2024-07-13 04:04:07 UTC;7.60;0.00;7.60;0.00;129.60
hn0-hadoop;5;2024-07-13 04:04:12 UTC;3.60;0.40;3.20;3.20;60.80
hn0-hadoop;5;2024-07-13 04:04:17 UTC;14.00;0.00;14.00;0.00;660.80
hn0-hadoop;5;2024-07-13 04:04:22 UTC;5.59;0.20;5.39;1.60;39.92
hn0-hadoop;5;2024-07-13 04:04:27 UTC;5.59;0.00;5.59;0.00;73.45
hn0-hadoop;5;2024-07-13 04:04:32 UTC;3.80;0.20;3.60;1.60;78.40
hn0-hadoop;5;2024-07-13 04:04:37 UTC;10.20;0.00;10.20;0.00;190.40
hn0-hadoop;5;2024-07-13 04:04:42 UTC;6.99;0.00;6.99;0.00;63.87
hn0-hadoop;5;2024-07-13 04:04:47 UTC;4.80;0.00;4.80;0.00;649.60
hn0-hadoop;5;2024-07-13 04:04:52 UTC;2.00;0.00;2.00;0.00;32.00
hn0-hadoop;5;2024-07-13 04:04:57 UTC;2.00;0.00;2.00;0.00;28.80
hn0-hadoop;5;2024-07-13 04:05:02 UTC;4.40;0.80;3.60;48.00;62.40
hn0-hadoop;5;2024-07-13 04:05:07 UTC;9.60;0.00;9.60;0.00;577.60
hn0-hadoop;5;2024-07-13 04:05:12 UTC;6.60;0.00;6.60;0.00;796.80
hn0-hadoop;5;2024-07-13 04:05:17 UTC;16.60;0.00;16.60;0.00;166.40
hn0-hadoop;5;2024-07-13 04:05:22 UTC;3.39;0.00;3.39;0.00;47.90
hn0-hadoop;5;2024-07-13 04:05:27 UTC;4.60;0.00;4.60;0.00;59.20
hn0-hadoop;5;2024-07-13 04:05:32 UTC;18.20;0.00;18.20;0.00;1470.40
hn0-hadoop;5;2024-07-13 04:05:37 UTC;1.80;0.00;1.80;0.00;20.76
hn0-hadoop;5;2024-07-13 04:05:42 UTC;3.00;0.00;3.00;0.00;35.20
hn0-hadoop;5;2024-07-13 04:05:47 UTC;4.60;0.20;4.40;3.20;280.00
hn0-hadoop;5;2024-07-13 04:05:52 UTC;1.40;0.00;1.40;0.00;17.56
hn0-hadoop;5;2024-07-13 04:05:57 UTC;0.80;0.00;0.80;0.00;12.80
hn0-hadoop;5;2024-07-13 04:06:02 UTC;2.80;0.00;2.80;0.00;44.80
hn0-hadoop;5;2024-07-13 04:06:07 UTC;18.00;0.00;18.00;0.00;668.80
hn0-hadoop;5;2024-07-13 04:06:12 UTC;3.00;0.00;3.00;0.00;35.20
hn0-hadoop;5;2024-07-13 04:06:17 UTC;4.00;0.00;4.00;0.00;137.60
hn0-hadoop;5;2024-07-13 04:06:22 UTC;3.00;0.00;3.00;0.00;105.60
hn0-hadoop;5;2024-07-13 04:06:27 UTC;14.00;0.00;14.00;0.00;332.80
hn0-hadoop;5;2024-07-13 04:06:32 UTC;1.60;0.00;1.60;0.00;19.20
hn0-hadoop;5;2024-07-13 04:06:37 UTC;0.60;0.00;0.60;0.00;11.20
hn0-hadoop;5;2024-07-13 04:06:42 UTC;8.80;0.00;8.80;0.00;132.80
hn0-hadoop;5;2024-07-13 04:06:47 UTC;3.40;0.00;3.40;0.00;163.20
hn0-hadoop;5;2024-07-13 04:06:52 UTC;2.80;0.00;2.80;0.00;28.80
hn0-hadoop;5;2024-07-13 04:06:57 UTC;3.20;0.00;3.20;0.00;212.80
hn0-hadoop;5;2024-07-13 04:07:02 UTC;1.60;0.00;1.60;0.00;24.00
hn0-hadoop;5;2024-07-13 04:07:07 UTC;0.60;0.20;0.40;1.60;9.60
hn0-hadoop;5;2024-07-13 04:07:12 UTC;16.20;0.00;16.20;0.00;648.00
hn0-hadoop;5;2024-07-13 04:07:17 UTC;4.00;0.00;4.00;0.00;588.80
hn0-hadoop;5;2024-07-13 04:07:22 UTC;5.60;0.00;5.60;0.00;40.00
hn0-hadoop;5;2024-07-13 04:07:27 UTC;4.39;0.00;4.39;0.00;60.68
hn0-hadoop;5;2024-07-13 04:07:32 UTC;5.20;0.00;5.20;0.00;64.00
hn0-hadoop;5;2024-07-13 04:07:37 UTC;17.00;0.80;16.20;8.00;294.40
hn0-hadoop;5;2024-07-13 04:07:42 UTC;0.80;0.00;0.80;0.00;12.80
hn0-hadoop;5;2024-07-13 04:07:47 UTC;2.60;0.00;2.60;0.00;235.20
hn0-hadoop;5;2024-07-13 04:07:52 UTC;0.60;0.00;0.60;0.00;11.20
hn0-hadoop;5;2024-07-13 04:07:57 UTC;23.20;0.00;23.20;0.00;806.40
hn0-hadoop;5;2024-07-13 04:08:02 UTC;2.80;0.00;2.80;0.00;33.60
hn0-hadoop;5;2024-07-13 04:08:07 UTC;2.80;0.00;2.80;0.00;94.40
hn0-hadoop;5;2024-07-13 04:08:12 UTC;8.80;0.00;8.80;0.00;139.20
hn0-hadoop;5;2024-07-13 04:08:17 UTC;1.80;0.00;1.80;0.00;142.40
hn0-hadoop;5;2024-07-13 04:08:22 UTC;17.40;0.00;17.40;0.00;211.20
hn0-hadoop;5;2024-07-13 04:08:27 UTC;1.80;0.00;1.80;0.00;32.00
hn0-hadoop;5;2024-07-13 04:08:32 UTC;2.00;0.00;2.00;0.00;22.40
hn0-hadoop;5;2024-07-13 04:08:37 UTC;10.60;0.00;10.60;0.00;275.20
hn0-hadoop;5;2024-07-13 04:08:42 UTC;7.80;5.00;2.80;198.40;48.00
hn0-hadoop;5;2024-07-13 04:08:47 UTC;3.00;0.00;3.00;0.00;148.80
hn0-hadoop;5;2024-07-13 04:08:52 UTC;2.20;0.00;2.20;0.00;24.00
hn0-hadoop;5;2024-07-13 04:08:57 UTC;1.40;0.00;1.40;0.00;17.60
hn0-hadoop;5;2024-07-13 04:09:02 UTC;14.60;0.00;14.60;0.00;644.80
hn0-hadoop;5;2024-07-13 04:09:07 UTC;3.20;0.00;3.20;0.00;32.00
hn0-hadoop;5;2024-07-13 04:09:12 UTC;4.40;0.00;4.40;0.00;243.20
hn0-hadoop;5;2024-07-13 04:09:17 UTC;5.40;0.00;5.40;0.00;600.00
hn0-hadoop;5;2024-07-13 04:09:22 UTC;2.40;0.00;2.40;0.00;25.60
hn0-hadoop;5;2024-07-13 04:09:27 UTC;3.20;0.00;3.20;0.00;54.40
hn0-hadoop;5;2024-07-13 04:09:32 UTC;6.60;0.00;6.60;0.00;115.20
hn0-hadoop;5;2024-07-13 04:09:37 UTC;2.60;0.00;2.60;0.00;49.60
hn0-hadoop;5;2024-07-13 04:09:42 UTC;5.00;0.00;5.00;0.00;105.60
hn0-hadoop;5;2024-07-13 04:09:47 UTC;5.60;0.00;5.60;0.00;262.40
hn0-hadoop;5;2024-07-13 04:09:52 UTC;17.40;0.00;17.40;0.00;576.00
hn0-hadoop;5;2024-07-13 04:09:57 UTC;1.60;0.00;1.60;0.00;19.16
hn0-hadoop;5;2024-07-13 04:10:02 UTC;1.00;0.00;1.00;0.00;41.60
hn0-hadoop;5;2024-07-13 04:10:07 UTC;7.00;0.00;7.00;0.00;108.80
hn0-hadoop;5;2024-07-13 04:10:12 UTC;3.00;0.60;2.40;9.60;28.80
hn0-hadoop;5;2024-07-13 04:10:17 UTC;5.00;0.00;5.00;0.00;606.40
hn0-hadoop;5;2024-07-13 04:10:22 UTC;5.39;0.00;5.39;0.00;97.41
hn0-hadoop;5;2024-07-13 04:10:27 UTC;8.20;0.00;8.20;0.00;84.80
hn0-hadoop;5;2024-07-13 04:10:32 UTC;2.19;0.00;2.19;0.00;20.72
hn0-hadoop;5;2024-07-13 04:10:37 UTC;18.20;0.00;18.20;0.00;180.80
hn0-hadoop;5;2024-07-13 04:10:42 UTC;2.40;0.00;2.40;0.00;35.20
hn0-hadoop;5;2024-07-13 04:10:47 UTC;4.80;0.40;4.40;4.80;228.80
hn0-hadoop;5;2024-07-13 04:10:52 UTC;5.19;0.20;4.99;6.39;720.16
hn0-hadoop;5;2024-07-13 04:10:57 UTC;3.80;0.00;3.80;0.00;40.00
hn0-hadoop;5;2024-07-13 04:11:02 UTC;3.80;0.00;3.80;0.00;54.40
hn0-hadoop;5;2024-07-13 04:11:07 UTC;7.80;0.00;7.80;0.00;545.60
hn0-hadoop;5;2024-07-13 04:11:12 UTC;1.80;0.00;1.80;0.00;22.40
hn0-hadoop;5;2024-07-13 04:11:17 UTC;21.20;0.00;21.20;0.00;760.00
hn0-hadoop;5;2024-07-13 04:11:22 UTC;2.60;0.00;2.60;0.00;36.80
hn0-hadoop;5;2024-07-13 04:11:27 UTC;4.80;0.00;4.80;0.00;121.60
hn0-hadoop;5;2024-07-13 04:11:32 UTC;3.40;0.00;3.40;0.00;35.20
hn0-hadoop;5;2024-07-13 04:11:37 UTC;8.80;0.00;8.80;0.00;126.40
hn0-hadoop;5;2024-07-13 04:11:42 UTC;1.00;0.00;1.00;0.00;15.97
hn0-hadoop;5;2024-07-13 04:11:47 UTC;2.00;0.00;2.00;0.00;556.80
hn0-hadoop;5;2024-07-13 04:11:52 UTC;3.80;0.00;3.80;0.00;56.00
hn0-hadoop;5;2024-07-13 04:11:57 UTC;0.60;0.00;0.60;0.00;11.20
hn0-hadoop;5;2024-07-13 04:12:02 UTC;3.80;0.00;3.80;0.00;155.20
hn0-hadoop;5;2024-07-13 04:12:07 UTC;9.60;0.00;9.60;0.00;123.20
hn0-hadoop;5;2024-07-13 04:12:12 UTC;2.60;0.00;2.60;0.00;27.20
hn0-hadoop;5;2024-07-13 04:12:17 UTC;14.00;0.00;14.00;0.00;235.20
hn0-hadoop;5;2024-07-13 04:12:22 UTC;3.20;0.00;3.20;0.00;40.00
hn0-hadoop;5;2024-07-13 04:12:27 UTC;1.40;0.00;1.40;0.00;28.80
hn0-hadoop;5;2024-07-13 04:12:32 UTC;1.60;0.00;1.60;0.00;436.80
hn0-hadoop;5;2024-07-13 04:12:37 UTC;10.20;1.00;9.20;19.20;176.00
hn0-hadoop;5;2024-07-13 04:12:42 UTC;71.00;67.20;3.80;2860.80;446.40
hn0-hadoop;5;2024-07-13 04:12:47 UTC;3.00;0.00;3.00;0.00;163.20
hn0-hadoop;5;2024-07-13 04:12:52 UTC;3.40;0.00;3.40;0.00;52.80
hn0-hadoop;5;2024-07-13 04:12:57 UTC;0.40;0.00;0.40;0.00;11.20
hn0-hadoop;5;2024-07-13 04:13:02 UTC;1.20;0.00;1.20;0.00;22.40
hn0-hadoop;5;2024-07-13 04:13:07 UTC;7.20;0.00;7.20;0.00;113.60
hn0-hadoop;5;2024-07-13 04:13:12 UTC;2.60;0.00;2.60;0.00;211.20
hn0-hadoop;5;2024-07-13 04:13:17 UTC;5.40;0.00;5.40;0.00;649.60
hn0-hadoop;5;2024-07-13 04:13:22 UTC;21.60;0.00;21.60;0.00;187.20
hn0-hadoop;5;2024-07-13 04:13:27 UTC;2.00;0.00;2.00;0.00;44.80
hn0-hadoop;5;2024-07-13 04:13:32 UTC;6.00;0.00;6.00;0.00;52.80
hn0-hadoop;5;2024-07-13 04:13:37 UTC;1.40;0.00;1.40;0.00;22.40
hn0-hadoop;5;2024-07-13 04:13:42 UTC;8.40;0.20;8.20;1.60;120.00
hn0-hadoop;5;2024-07-13 04:13:47 UTC;4.20;0.00;4.20;0.00;209.60
hn0-hadoop;5;2024-07-13 04:13:52 UTC;6.80;0.60;6.20;4.80;568.00
hn0-hadoop;5;2024-07-13 04:13:57 UTC;2.40;0.00;2.40;0.00;27.20
hn0-hadoop;5;2024-07-13 04:14:02 UTC;2.00;0.00;2.00;0.00;38.32
hn0-hadoop;5;2024-07-13 04:14:07 UTC;2.40;0.00;2.40;0.00;51.20
hn0-hadoop;5;2024-07-13 04:14:12 UTC;9.20;0.00;9.20;0.00;196.80
hn0-hadoop;5;2024-07-13 04:14:17 UTC;9.00;0.00;9.00;0.00;219.20
hn0-hadoop;5;2024-07-13 04:14:22 UTC;4.80;0.00;4.80;0.00;92.80
hn0-hadoop;5;2024-07-13 04:14:27 UTC;5.40;0.00;5.40;0.00;513.60
hn0-hadoop;5;2024-07-13 04:14:32 UTC;4.40;0.20;4.20;1.60;52.80
