# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-13 14:52:19 UTC;1257776;1808936;6878756;84.54;55284;732228;12426724;80.29;4941252;1502008;14448
hn0-hadoop;5;2024-07-13 14:52:24 UTC;1058980;1610632;7077552;86.98;55292;732664;13086708;84.56;5136596;1501680;14756
hn0-hadoop;5;2024-07-13 14:52:29 UTC;989968;1541392;7146564;87.83;55292;732348;12934772;83.58;5208912;1500992;14420
hn0-hadoop;5;2024-07-13 14:52:34 UTC;978240;1531524;7158292;87.98;55292;734152;12884660;83.25;5218152;1502652;16216
hn0-hadoop;5;2024-07-13 14:52:39 UTC;1210964;1763468;6925568;85.12;55292;733396;12556592;81.13;4989196;1501680;15436
hn0-hadoop;5;2024-07-13 14:52:44 UTC;1076552;1629132;7059980;86.77;55292;733428;12680004;81.93;5121704;1501376;13380
hn0-hadoop;5;2024-07-13 14:52:49 UTC;1121436;1689492;7015096;86.22;55320;748944;12637312;81.65;5060280;1516776;28888
hn0-hadoop;5;2024-07-13 14:52:54 UTC;856500;1511168;7280032;89.47;55940;825656;12926596;83.52;5230120;1593540;93520
hn0-hadoop;5;2024-07-13 14:52:59 UTC;682064;1455924;7454468;91.62;56084;926332;12952696;83.69;5280572;1694032;140756
hn0-hadoop;5;2024-07-13 14:53:04 UTC;451152;1333020;7685380;94.46;60020;1011184;12955660;83.71;5410028;1778824;127152
hn0-hadoop;5;2024-07-13 14:53:09 UTC;395900;1277800;7740632;95.13;60020;1011212;13007572;84.05;5463620;1778712;107092
hn0-hadoop;5;2024-07-13 14:53:14 UTC;362316;1244268;7774216;95.55;60020;1011276;13009740;84.06;5496436;1778732;20312
hn0-hadoop;5;2024-07-13 14:53:19 UTC;370460;1252476;7766072;95.45;60028;1011312;13042456;84.27;5487172;1778760;20408
hn0-hadoop;5;2024-07-13 14:53:24 UTC;358068;1240304;7778464;95.60;60032;1011616;13023092;84.15;5499992;1778792;20728
hn0-hadoop;5;2024-07-13 14:53:29 UTC;374192;1256480;7762340;95.40;60032;1011736;13018944;84.12;5485344;1778824;20768
hn0-hadoop;5;2024-07-13 14:53:34 UTC;359712;1242088;7776820;95.58;60080;1011700;13024756;84.16;5501276;1778872;29944
hn0-hadoop;5;2024-07-13 14:53:39 UTC;362180;1244280;7774352;95.55;60084;1011460;13199932;85.29;5497808;1778256;10884
hn0-hadoop;5;2024-07-13 14:53:44 UTC;357336;1239468;7779196;95.61;60084;1011484;12990892;83.94;5504332;1777948;10900
hn0-hadoop;5;2024-07-13 14:53:49 UTC;357372;1239568;7779160;95.61;60092;1011540;13004572;84.03;5503528;1778004;10840
hn0-hadoop;5;2024-07-13 14:53:54 UTC;355884;1238552;7780648;95.63;60092;1011572;13028600;84.18;5503688;1777912;10872
hn0-hadoop;5;2024-07-13 14:53:59 UTC;342672;1226560;7793860;95.79;60092;1012928;13038192;84.24;5515500;1779164;12240
hn0-hadoop;5;2024-07-13 14:54:04 UTC;343184;1227124;7793348;95.78;60100;1012972;13031840;84.20;5517360;1778892;1712
hn0-hadoop;5;2024-07-13 14:54:09 UTC;301784;1185848;7834748;96.29;60100;1015140;13446680;86.88;5556200;1780972;1816
hn0-hadoop;5;2024-07-13 14:54:14 UTC;352972;1236736;7783560;95.66;60100;1014744;13027228;84.17;5503956;1780660;1404
hn0-hadoop;5;2024-07-13 14:54:19 UTC;351644;1235488;7784888;95.68;60108;1014784;13138640;84.89;5504224;1780532;1460
hn0-hadoop;5;2024-07-13 14:54:24 UTC;232488;1116636;7904044;97.14;60136;1012892;13487632;87.15;5627964;1778084;1436
hn0-hadoop;5;2024-07-13 14:54:29 UTC;263584;1148932;7872948;96.76;60136;1013952;13551364;87.56;5595944;1779012;1464
hn0-hadoop;5;2024-07-13 14:54:34 UTC;136536;998736;7999996;98.32;55928;1000500;13984432;90.36;5730044;1774416;2004
hn0-hadoop;5;2024-07-13 14:54:39 UTC;362536;1216044;7773996;95.54;55816;991768;13317156;86.05;5511808;1765516;2040
hn0-hadoop;5;2024-07-13 14:54:44 UTC;381760;1235388;7754772;95.31;55816;991984;13120388;84.78;5495592;1762712;1912
hn0-hadoop;5;2024-07-13 14:54:49 UTC;383612;1237120;7752920;95.29;55912;992260;13097736;84.63;5493836;1762948;2224
hn0-hadoop;5;2024-07-13 14:54:54 UTC;384328;1237852;7752204;95.28;55912;992276;13073028;84.47;5493900;1762932;2240
hn0-hadoop;5;2024-07-13 14:54:59 UTC;383100;1237696;7753432;95.29;55912;993352;13075332;84.48;5493676;1763976;3192
hn0-hadoop;5;2024-07-13 14:55:04 UTC;382596;1237444;7753936;95.30;56032;993444;13083644;84.54;5493556;1763536;2224
hn0-hadoop;5;2024-07-13 14:55:09 UTC;368396;1223672;7768136;95.47;56032;993764;13094464;84.61;5509260;1763840;2080
hn0-hadoop;5;2024-07-13 14:55:14 UTC;363072;1218376;7773460;95.54;56032;993784;13094484;84.61;5514796;1763856;2116
hn0-hadoop;5;2024-07-13 14:55:19 UTC;351980;1207208;7784552;95.67;56044;993908;13387972;86.50;5525868;1763808;2028
hn0-hadoop;5;2024-07-13 14:55:24 UTC;159936;1016024;7976596;98.03;56048;994756;13838256;89.41;5716856;1763956;2796
hn0-hadoop;5;2024-07-13 14:55:29 UTC;143156;964752;7993376;98.24;55544;961288;13752172;88.86;5748912;1748460;3332
hn0-hadoop;5;2024-07-13 14:55:34 UTC;339408;1083548;7797124;95.83;54296;885792;13270960;85.75;5616968;1687308;2240
hn0-hadoop;5;2024-07-13 14:55:39 UTC;496584;1240340;7639948;93.90;54308;885296;12999616;84.00;5460296;1685840;1644
hn0-hadoop;5;2024-07-13 14:55:44 UTC;494064;1238492;7642468;93.93;54308;885884;12993604;83.96;5470380;1679360;1880
hn0-hadoop;5;2024-07-13 14:55:49 UTC;480268;1226172;7656264;94.10;54324;887232;13007540;84.05;5485352;1678988;3588
hn0-hadoop;5;2024-07-13 14:55:54 UTC;483716;1229724;7652816;94.06;54324;887252;12999096;83.99;5481712;1678944;2776
hn0-hadoop;5;2024-07-13 14:55:59 UTC;495284;1241048;7641248;93.91;54324;887004;12989960;83.93;5468388;1678672;1500
hn0-hadoop;5;2024-07-13 14:56:04 UTC;490000;1240392;7646532;93.98;54324;889008;12992172;83.95;5469512;1679964;1512
hn0-hadoop;5;2024-07-13 14:56:09 UTC;489828;1240284;7646704;93.98;54324;889048;12989932;83.93;5470240;1679228;1376
