# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
hn0-hadoop;5;2024-07-13 17:17:32 UTC;-1;24.21;0.00;12.78;0.00;0.00;63.01
hn0-hadoop;5;2024-07-13 17:17:37 UTC;-1;51.89;0.00;14.32;0.06;0.00;33.73
hn0-hadoop;5;2024-07-13 17:17:42 UTC;-1;42.07;0.00;13.27;5.89;0.00;38.78
hn0-hadoop;5;2024-07-13 17:17:47 UTC;-1;46.97;0.00;11.88;0.00;0.00;41.15
hn0-hadoop;5;2024-07-13 17:17:52 UTC;-1;32.57;0.00;7.78;0.00;0.00;59.65
hn0-hadoop;5;2024-07-13 17:17:57 UTC;-1;54.77;0.00;16.32;0.00;0.00;28.91
hn0-hadoop;5;2024-07-13 17:18:02 UTC;-1;52.25;0.00;31.64;0.00;0.00;16.11
hn0-hadoop;5;2024-07-13 17:18:07 UTC;-1;43.19;0.00;18.58;0.00;0.00;38.23
hn0-hadoop;5;2024-07-13 17:18:12 UTC;-1;13.38;0.00;8.30;0.16;0.00;78.16
hn0-hadoop;5;2024-07-13 17:18:17 UTC;-1;4.83;0.00;4.62;0.00;0.00;90.55
hn0-hadoop;5;2024-07-13 17:18:22 UTC;-1;6.50;0.00;5.45;0.00;0.00;88.05
hn0-hadoop;5;2024-07-13 17:18:27 UTC;-1;9.96;0.00;7.00;0.00;0.00;83.04
hn0-hadoop;5;2024-07-13 17:18:32 UTC;-1;11.93;0.00;6.69;0.00;0.00;81.38
hn0-hadoop;5;2024-07-13 17:18:37 UTC;-1;21.33;0.00;8.09;0.00;0.00;70.58
hn0-hadoop;5;2024-07-13 17:18:42 UTC;-1;21.48;0.00;10.29;0.22;0.00;68.01
hn0-hadoop;5;2024-07-13 17:18:47 UTC;-1;14.25;0.00;7.20;0.00;0.00;78.55
hn0-hadoop;5;2024-07-13 17:18:52 UTC;-1;11.34;0.00;6.61;0.00;0.00;82.05
hn0-hadoop;5;2024-07-13 17:18:57 UTC;-1;19.75;0.00;8.20;0.00;0.00;72.06
