# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-13 23:46:12 UTC;lo;26.20;26.20;10.31;10.31;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:12 UTC;eth0;131.80;120.40;78.28;47.64;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:17 UTC;lo;20.60;20.60;9.82;9.82;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:17 UTC;eth0;24.20;36.20;8.03;4.39;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:22 UTC;lo;58.00;58.00;47.59;47.59;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:22 UTC;eth0;62.20;81.60;18.80;143.35;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:27 UTC;lo;51.60;51.60;65.70;65.70;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:27 UTC;eth0;33.40;46.00;9.69;7.75;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:32 UTC;lo;34.00;34.00;13.02;13.02;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:32 UTC;eth0;49.40;68.40;15.94;13.49;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:37 UTC;lo;81.20;81.20;223.96;223.96;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:37 UTC;eth0;61.40;81.20;23.59;17.13;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:42 UTC;lo;30.40;30.40;43.03;43.03;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:42 UTC;eth0;96.00;56.60;88.65;10.72;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:47 UTC;lo;32.00;32.00;41.96;41.96;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:47 UTC;eth0;34.40;43.80;14.41;7.15;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:52 UTC;lo;869.00;869.00;309.32;309.32;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:52 UTC;eth0;41.00;49.60;20.39;7.70;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:57 UTC;lo;30.14;30.14;10.92;10.92;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:46:57 UTC;eth0;39.12;49.50;17.87;6.60;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:02 UTC;lo;30.80;30.80;26.72;26.72;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:02 UTC;eth0;122.20;95.60;87.24;26.36;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:07 UTC;lo;22.20;22.20;9.96;9.96;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:07 UTC;eth0;267.20;288.00;107.20;150.70;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:12 UTC;lo;17.00;17.00;5.02;5.02;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:12 UTC;eth0;220.20;229.40;87.74;137.62;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:17 UTC;lo;34.00;34.00;28.77;28.77;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:17 UTC;eth0;347.40;360.80;149.12;257.85;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:22 UTC;lo;36.60;36.60;17.58;17.58;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:22 UTC;eth0;352.60;364.40;151.76;321.57;0.00;0.00;0.00;0.01
hn0-hadoop;5;2024-07-13 23:47:27 UTC;lo;57.20;57.20;33.49;33.49;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:27 UTC;eth0;236.20;242.40;107.03;125.90;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:32 UTC;lo;30.94;30.94;13.75;13.75;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:32 UTC;eth0;2101.80;1801.60;203.44;15178.10;0.00;0.00;0.00;0.25
hn0-hadoop;5;2024-07-13 23:47:37 UTC;lo;74.40;74.40;107.19;107.19;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:37 UTC;eth0;83.00;77.40;57.91;18.96;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:42 UTC;lo;15.80;15.80;10.87;10.87;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:42 UTC;eth0;40.80;49.40;19.53;6.66;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:47 UTC;lo;39.20;39.20;212.07;212.07;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:47 UTC;eth0;33.20;44.20;13.46;6.99;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:52 UTC;lo;34.80;34.80;283.40;283.40;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:52 UTC;eth0;42.80;51.00;22.52;8.19;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 23:47:57 UTC;lo;35.20;35.20;40.67;40.67;0.00;0.00;0.00;0.00
