# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-13 21:54:20 UTC;lo;61.00;61.00;39.11;39.11;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:54:20 UTC;eth0;113.60;114.40;68.40;32.66;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:54:25 UTC;lo;53.80;53.80;42.83;42.83;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:54:25 UTC;eth0;68.20;81.60;25.24;139.89;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:54:30 UTC;lo;48.20;48.20;21.37;21.37;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:54:30 UTC;eth0;75.80;74.60;47.52;16.79;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:54:35 UTC;lo;45.91;45.91;20.85;20.85;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:54:35 UTC;eth0;74.85;70.66;42.51;74.90;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:54:40 UTC;lo;30.80;30.80;14.15;14.15;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:54:40 UTC;eth0;53.60;59.80;24.71;9.64;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:54:45 UTC;lo;31.60;31.60;12.50;12.50;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:54:45 UTC;eth0;42.40;53.00;19.16;9.51;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:54:50 UTC;lo;773.20;773.20;281.81;281.81;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:54:50 UTC;eth0;43.60;50.60;19.73;8.24;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:54:55 UTC;lo;118.60;118.60;33.74;33.74;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:54:55 UTC;eth0;6418.00;352.60;8652.46;38.11;0.00;0.00;0.00;0.14
hn0-hadoop;5;2024-07-13 21:55:00 UTC;lo;34.60;34.60;18.82;18.82;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:55:00 UTC;eth0;93.60;113.60;33.46;140.03;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:55:05 UTC;lo;17.60;17.60;8.61;8.61;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:55:05 UTC;eth0;39.80;61.20;10.48;10.92;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:55:10 UTC;lo;23.60;23.60;10.85;10.85;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:55:10 UTC;eth0;41.60;58.60;12.60;29.38;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-13 21:55:15 UTC;lo;39.60;39.60;82.00;82.00;0.00;0.00;0.00;0.00
