# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-14 06:49:16 UTC;1071696;1811860;7064836;86.83;89940;880200;12559680;81.15;4973968;1640068;3184
hn0-hadoop;5;2024-07-14 06:49:21 UTC;901032;1641164;7235500;88.93;89940;880264;12941052;83.62;5140888;1640020;2216
hn0-hadoop;5;2024-07-14 06:49:26 UTC;849816;1590044;7286716;89.56;89960;880388;13441920;86.85;5191844;1640144;1732
hn0-hadoop;5;2024-07-14 06:49:31 UTC;717788;1458348;7418744;91.18;89960;880704;13815168;89.27;5321100;1640256;1952
hn0-hadoop;5;2024-07-14 06:49:36 UTC;701228;1444056;7435304;91.38;89960;882876;13924464;89.97;5333788;1642492;4200
hn0-hadoop;5;2024-07-14 06:49:41 UTC;586800;1330520;7549732;92.79;89968;883412;13683164;88.41;5448700;1642632;4700
hn0-hadoop;5;2024-07-14 06:49:46 UTC;694316;1437708;7442216;91.47;89968;885400;13476952;87.08;5339212;1644592;4636
hn0-hadoop;5;2024-07-14 06:49:51 UTC;953328;1697956;7183204;88.28;89972;886568;12681964;81.94;5083972;1645404;2420
hn0-hadoop;5;2024-07-14 06:49:56 UTC;760048;1504732;7376484;90.66;89984;886612;13039760;84.25;5260212;1645424;2920
hn0-hadoop;5;2024-07-14 06:50:01 UTC;718748;1463476;7417784;91.17;89984;884748;13190816;85.23;5316476;1646336;3012
hn0-hadoop;5;2024-07-14 06:50:06 UTC;689792;1434552;7446740;91.52;89984;884760;13041124;84.26;5346068;1646044;3036
hn0-hadoop;5;2024-07-14 06:50:11 UTC;671852;1416952;7464680;91.74;89992;885104;13232432;85.50;5364056;1646340;3436
hn0-hadoop;5;2024-07-14 06:50:16 UTC;677980;1423144;7458552;91.67;89992;885152;13225784;85.46;5359132;1646388;3416
hn0-hadoop;5;2024-07-14 06:50:21 UTC;661540;1407696;7474992;91.87;89992;886172;13484712;87.13;5372976;1646828;1564
hn0-hadoop;5;2024-07-14 06:50:26 UTC;530200;1276844;7606332;93.48;90000;886512;13541196;87.49;5503168;1647244;2372
hn0-hadoop;5;2024-07-14 06:50:31 UTC;697872;1444176;7438660;91.42;90000;885984;13005836;84.04;5337532;1646640;1772
hn0-hadoop;5;2024-07-14 06:50:36 UTC;700496;1446820;7436036;91.39;90000;886004;12956084;83.71;5336544;1646656;1792
hn0-hadoop;5;2024-07-14 06:50:41 UTC;699628;1446036;7436904;91.40;90008;886032;12950376;83.68;5337268;1646204;1832
hn0-hadoop;5;2024-07-14 06:50:46 UTC;701956;1448368;7434576;91.37;90008;886072;12950376;83.68;5335192;1646220;1880
hn0-hadoop;5;2024-07-14 06:50:51 UTC;684168;1431336;7452364;91.59;90008;886840;12969716;83.80;5352620;1646992;1020
hn0-hadoop;5;2024-07-14 06:50:56 UTC;689492;1436724;7447040;91.53;90020;886888;12962176;83.75;5348764;1647040;1420
hn0-hadoop;5;2024-07-14 06:51:01 UTC;691388;1439472;7445144;91.50;90020;887720;13240784;85.55;5343252;1647848;2252
hn0-hadoop;5;2024-07-14 06:51:06 UTC;695944;1444008;7440588;91.45;90020;887728;13125028;84.81;5339860;1647280;1708
hn0-hadoop;5;2024-07-14 06:51:11 UTC;687344;1435464;7449188;91.55;90028;887744;12950104;83.68;5349808;1647264;1764
hn0-hadoop;5;2024-07-14 06:51:16 UTC;699408;1448216;7437124;91.40;90028;888448;12950104;83.68;5337168;1647952;884
hn0-hadoop;5;2024-07-14 06:51:21 UTC;675392;1424600;7461140;91.70;90032;888780;12969768;83.80;5359816;1648272;580
hn0-hadoop;5;2024-07-14 06:51:26 UTC;687828;1437128;7448704;91.55;90060;888844;12952248;83.69;5348616;1648164;1008
hn0-hadoop;5;2024-07-14 06:51:31 UTC;694672;1444068;7441860;91.46;90060;888964;12953328;83.70;5341208;1648200;1048
hn0-hadoop;5;2024-07-14 06:51:36 UTC;698980;1448100;7437552;91.41;90060;888596;12944904;83.64;5337688;1647916;768
hn0-hadoop;5;2024-07-14 06:51:41 UTC;696256;1446424;7440276;91.44;90068;889656;12944940;83.64;5337868;1648976;1900
hn0-hadoop;5;2024-07-14 06:51:46 UTC;698304;1448488;7438228;91.42;90068;889704;12944940;83.64;5336680;1648804;1868
hn0-hadoop;5;2024-07-14 06:51:51 UTC;698100;1448324;7438432;91.42;90068;889720;12953660;83.70;5336980;1648848;244
hn0-hadoop;5;2024-07-14 06:51:56 UTC;696548;1446984;7439984;91.44;90076;890008;12943360;83.63;5339524;1649052;760
hn0-hadoop;5;2024-07-14 06:52:01 UTC;698192;1448636;7438340;91.42;90076;889952;12944884;83.64;5337032;1649016;820
hn0-hadoop;5;2024-07-14 06:52:06 UTC;681996;1432664;7454536;91.62;90076;890144;12961780;83.75;5353988;1648868;1012
hn0-hadoop;5;2024-07-14 06:52:11 UTC;698636;1449032;7437896;91.41;90084;889872;12954252;83.70;5337388;1648588;684
hn0-hadoop;5;2024-07-14 06:52:16 UTC;698856;1449292;7437676;91.41;90084;889896;12954252;83.70;5337124;1648620;720
hn0-hadoop;5;2024-07-14 06:52:21 UTC;678112;1428516;7458420;91.67;90084;889944;13137308;84.89;5356820;1648660;268
hn0-hadoop;5;2024-07-14 06:52:26 UTC;588440;1338936;7548092;92.77;90092;891988;13198492;85.28;5446124;1650656;628
hn0-hadoop;5;2024-07-14 06:52:31 UTC;680140;1431036;7456392;91.64;90092;892316;12963412;83.76;5351512;1650984;976
hn0-hadoop;5;2024-07-14 06:52:36 UTC;682088;1434036;7454444;91.62;90092;893332;12963564;83.76;5350496;1652004;2016
hn0-hadoop;5;2024-07-14 06:52:41 UTC;681148;1433244;7455384;91.63;90092;893364;12941220;83.62;5351252;1652036;2048
hn0-hadoop;5;2024-07-14 06:52:46 UTC;695024;1446896;7441508;91.46;90092;893140;12941444;83.62;5337060;1651636;1812
