# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
hn0-hadoop;5;2024-07-14 15:43:21 UTC;-1;19.91;0.00;13.73;0.00;0.00;66.35
hn0-hadoop;5;2024-07-14 15:43:26 UTC;-1;65.57;0.00;29.43;0.07;0.00;4.93
hn0-hadoop;5;2024-07-14 15:43:31 UTC;-1;69.74;0.00;24.30;0.13;0.00;5.83
hn0-hadoop;5;2024-07-14 15:43:36 UTC;-1;64.60;0.00;28.10;0.00;0.00;7.30
hn0-hadoop;5;2024-07-14 15:43:41 UTC;-1;60.21;0.00;21.79;0.19;0.00;17.81
hn0-hadoop;5;2024-07-14 15:43:46 UTC;-1;44.67;0.00;12.30;0.00;0.00;43.03
hn0-hadoop;5;2024-07-14 15:43:51 UTC;-1;49.10;0.00;26.44;0.00;0.00;24.46
hn0-hadoop;5;2024-07-14 15:43:56 UTC;-1;43.71;0.00;13.75;0.06;0.00;42.48
hn0-hadoop;5;2024-07-14 15:44:01 UTC;-1;41.02;0.00;16.47;0.06;0.00;42.46
hn0-hadoop;5;2024-07-14 15:44:06 UTC;-1;44.05;0.00;18.49;0.00;0.00;37.46
hn0-hadoop;5;2024-07-14 15:44:11 UTC;-1;52.58;0.00;23.09;0.00;0.00;24.33
hn0-hadoop;5;2024-07-14 15:44:16 UTC;-1;7.76;0.00;6.96;0.00;0.00;85.27
hn0-hadoop;5;2024-07-14 15:44:21 UTC;-1;6.45;0.00;5.76;0.00;0.00;87.79
hn0-hadoop;5;2024-07-14 15:44:26 UTC;-1;46.80;0.00;17.27;0.06;0.00;35.87
hn0-hadoop;5;2024-07-14 15:44:31 UTC;-1;47.86;0.00;16.58;0.12;0.00;35.44
hn0-hadoop;5;2024-07-14 15:44:36 UTC;-1;54.76;0.00;22.43;0.00;0.00;22.80
hn0-hadoop;5;2024-07-14 15:44:41 UTC;-1;24.30;0.00;12.15;0.00;0.00;63.55
hn0-hadoop;5;2024-07-14 15:44:46 UTC;-1;22.50;0.00;9.34;0.06;0.00;68.10
hn0-hadoop;5;2024-07-14 15:44:51 UTC;-1;8.30;0.00;5.12;0.00;0.00;86.58
hn0-hadoop;5;2024-07-14 15:44:56 UTC;-1;6.12;0.00;5.86;0.00;0.00;88.02
hn0-hadoop;5;2024-07-14 15:45:01 UTC;-1;4.50;0.00;4.40;0.42;0.00;90.68
hn0-hadoop;5;2024-07-14 15:45:06 UTC;-1;4.75;0.00;5.01;0.00;0.00;90.24
hn0-hadoop;5;2024-07-14 15:45:11 UTC;-1;19.31;0.00;9.93;0.00;0.00;70.76
