# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
hn0-hadoop;5;2024-07-15 02:34:06 UTC;-1;26.58;0.00;13.24;0.17;0.00;60.01
hn0-hadoop;5;2024-07-15 02:34:11 UTC;-1;52.65;0.00;24.63;0.06;0.00;22.66
hn0-hadoop;5;2024-07-15 02:34:16 UTC;-1;44.38;0.00;11.30;0.00;0.00;44.32
hn0-hadoop;5;2024-07-15 02:34:21 UTC;-1;56.17;0.00;25.64;0.00;0.00;18.19
hn0-hadoop;5;2024-07-15 02:34:26 UTC;-1;64.86;0.00;33.73;0.00;0.00;1.40
hn0-hadoop;5;2024-07-15 02:34:31 UTC;-1;67.15;0.00;31.86;0.20;0.00;0.79
hn0-hadoop;5;2024-07-15 02:34:36 UTC;-1;70.73;0.00;27.93;0.00;0.00;1.34
hn0-hadoop;5;2024-07-15 02:34:41 UTC;-1;67.02;0.00;29.40;0.00;0.00;3.58
hn0-hadoop;5;2024-07-15 02:34:46 UTC;-1;69.68;0.00;26.95;0.00;0.00;3.37
hn0-hadoop;5;2024-07-15 02:34:51 UTC;-1;51.20;0.00;23.48;0.06;0.00;25.26
hn0-hadoop;5;2024-07-15 02:34:56 UTC;-1;19.62;0.00;17.83;0.90;0.00;61.66
hn0-hadoop;5;2024-07-15 02:35:01 UTC;-1;31.72;0.00;24.04;0.00;0.00;44.24
hn0-hadoop;5;2024-07-15 02:35:06 UTC;-1;47.38;0.00;22.72;1.52;0.00;28.38
hn0-hadoop;5;2024-07-15 02:35:11 UTC;-1;56.10;0.00;24.59;2.52;0.00;16.79
hn0-hadoop;5;2024-07-15 02:35:16 UTC;-1;37.69;0.00;12.17;0.34;0.00;49.80
hn0-hadoop;5;2024-07-15 02:35:21 UTC;-1;37.36;0.00;16.70;0.06;0.00;45.88
hn0-hadoop;5;2024-07-15 02:35:26 UTC;-1;53.80;0.00;23.81;0.00;0.00;22.39
hn0-hadoop;5;2024-07-15 02:35:31 UTC;-1;36.41;0.00;17.06;0.29;0.00;46.24
hn0-hadoop;5;2024-07-15 02:35:36 UTC;-1;26.63;0.00;12.70;0.39;0.00;60.28
hn0-hadoop;5;2024-07-15 02:35:41 UTC;-1;32.81;0.00;16.21;0.00;0.00;50.98
hn0-hadoop;5;2024-07-15 02:35:46 UTC;-1;45.19;0.00;16.78;0.12;0.00;37.91
hn0-hadoop;5;2024-07-15 02:35:51 UTC;-1;27.65;0.00;10.08;0.00;0.00;62.27
hn0-hadoop;5;2024-07-15 02:35:56 UTC;-1;9.12;0.00;5.43;0.00;0.00;85.44
hn0-hadoop;5;2024-07-15 02:36:01 UTC;-1;9.45;0.00;7.15;0.00;0.00;83.40
hn0-hadoop;5;2024-07-15 02:36:06 UTC;-1;5.70;0.00;5.44;0.16;0.00;88.70
hn0-hadoop;5;2024-07-15 02:36:11 UTC;-1;17.75;0.00;9.18;0.00;0.00;73.08
hn0-hadoop;5;2024-07-15 02:36:16 UTC;-1;21.08;0.00;7.53;0.00;0.00;71.39
hn0-hadoop;5;2024-07-15 02:36:21 UTC;-1;23.02;0.00;10.17;0.00;0.00;66.82
hn0-hadoop;5;2024-07-15 02:36:26 UTC;-1;11.97;0.00;7.45;0.00;0.00;80.59
hn0-hadoop;5;2024-07-15 02:36:31 UTC;-1;6.72;0.00;5.82;0.00;0.00;87.46
hn0-hadoop;5;2024-07-15 02:36:36 UTC;-1;6.95;0.00;4.29;0.21;0.00;88.55
hn0-hadoop;5;2024-07-15 02:36:41 UTC;-1;5.37;0.00;4.90;0.00;0.00;89.73
hn0-hadoop;5;2024-07-15 02:36:46 UTC;-1;24.05;0.00;7.83;0.06;0.00;68.06
hn0-hadoop;5;2024-07-15 02:36:51 UTC;-1;23.08;0.00;9.50;0.00;0.00;67.42
hn0-hadoop;5;2024-07-15 02:36:56 UTC;-1;20.79;0.00;9.45;0.00;0.00;69.76
hn0-hadoop;5;2024-07-15 02:37:01 UTC;-1;7.91;0.00;5.24;0.32;0.00;86.54
hn0-hadoop;5;2024-07-15 02:37:06 UTC;-1;8.63;0.00;4.05;0.00;0.00;87.33
hn0-hadoop;5;2024-07-15 02:37:11 UTC;-1;5.74;0.00;6.21;0.00;0.00;88.05
hn0-hadoop;5;2024-07-15 02:37:16 UTC;-1;4.56;0.00;4.30;0.00;0.00;91.13
hn0-hadoop;5;2024-07-15 02:37:21 UTC;-1;25.68;0.00;12.27;0.11;0.00;61.94
hn0-hadoop;5;2024-07-15 02:37:26 UTC;-1;54.73;0.00;22.82;0.06;0.00;22.38
hn0-hadoop;5;2024-07-15 02:37:31 UTC;-1;60.98;0.00;22.79;0.13;0.00;16.10
hn0-hadoop;5;2024-07-15 02:37:36 UTC;-1;15.49;0.00;7.69;0.33;0.00;76.50
hn0-hadoop;5;2024-07-15 02:37:41 UTC;-1;4.50;0.00;5.35;0.00;0.00;90.15
hn0-hadoop;5;2024-07-15 02:37:46 UTC;-1;4.04;0.00;3.94;0.00;0.00;92.02
hn0-hadoop;5;2024-07-15 02:37:51 UTC;-1;7.34;0.00;5.22;0.00;0.00;87.44
hn0-hadoop;5;2024-07-15 02:37:56 UTC;-1;24.79;0.00;9.72;0.00;0.00;65.49
hn0-hadoop;5;2024-07-15 02:38:01 UTC;-1;20.94;0.00;9.21;0.22;0.00;69.63
hn0-hadoop;5;2024-07-15 02:38:06 UTC;-1;20.80;0.00;8.37;0.00;0.00;70.83
hn0-hadoop;5;2024-07-15 02:38:11 UTC;-1;5.15;0.00;5.47;0.00;0.00;89.39
hn0-hadoop;5;2024-07-15 02:38:16 UTC;-1;4.72;0.00;3.99;0.00;0.00;91.29
hn0-hadoop;5;2024-07-15 02:38:21 UTC;-1;5.29;0.00;5.61;0.00;0.00;89.10
hn0-hadoop;5;2024-07-15 02:38:26 UTC;-1;8.51;0.00;6.61;0.00;0.00;84.88
hn0-hadoop;5;2024-07-15 02:38:31 UTC;-1;23.14;0.00;10.42;0.22;0.00;66.22
hn0-hadoop;5;2024-07-15 02:38:36 UTC;-1;20.38;0.00;8.61;0.00;0.00;71.02
hn0-hadoop;5;2024-07-15 02:38:41 UTC;-1;18.86;0.00;9.05;0.00;0.00;72.09
hn0-hadoop;5;2024-07-15 02:38:46 UTC;-1;4.28;0.00;4.91;0.00;0.00;90.81
hn0-hadoop;5;2024-07-15 02:38:51 UTC;-1;12.14;0.00;7.20;0.00;0.00;80.67
hn0-hadoop;5;2024-07-15 02:38:56 UTC;-1;8.58;0.00;5.76;0.00;0.00;85.66
hn0-hadoop;5;2024-07-15 02:39:01 UTC;-1;23.05;0.00;11.38;0.33;0.00;65.23
hn0-hadoop;5;2024-07-15 02:39:06 UTC;-1;43.93;0.00;15.50;0.06;0.00;40.51
hn0-hadoop;5;2024-07-15 02:39:11 UTC;-1;48.11;0.00;21.31;0.06;0.00;30.53
hn0-hadoop;5;2024-07-15 02:39:16 UTC;-1;19.50;0.00;8.48;0.00;0.00;72.01
hn0-hadoop;5;2024-07-15 02:39:21 UTC;-1;9.91;0.00;7.99;0.00;0.00;82.10
hn0-hadoop;5;2024-07-15 02:39:26 UTC;-1;52.03;0.00;15.85;0.00;0.00;32.12
hn0-hadoop;5;2024-07-15 02:39:31 UTC;-1;48.21;0.00;19.20;0.30;0.00;32.30
hn0-hadoop;5;2024-07-15 02:39:36 UTC;-1;30.80;0.00;9.19;0.00;0.00;60.01
hn0-hadoop;5;2024-07-15 02:39:41 UTC;-1;26.43;0.00;10.73;0.00;0.00;62.85
hn0-hadoop;5;2024-07-15 02:39:46 UTC;-1;22.09;0.00;9.40;0.00;0.00;68.51
hn0-hadoop;5;2024-07-15 02:39:51 UTC;-1;17.39;0.00;8.56;0.00;0.00;74.05
hn0-hadoop;5;2024-07-15 02:39:56 UTC;-1;4.83;0.00;5.36;0.00;0.00;89.81
hn0-hadoop;5;2024-07-15 02:40:01 UTC;-1;4.83;0.00;5.67;0.16;0.00;89.35
hn0-hadoop;5;2024-07-15 02:40:06 UTC;-1;4.25;0.00;4.45;0.00;0.00;91.30
