# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
hn0-hadoop;5;2024-07-15 11:42:21 UTC;-1;24.22;0.00;15.30;6.10;0.00;54.38
hn0-hadoop;5;2024-07-15 11:42:26 UTC;-1;45.65;0.00;21.19;2.38;0.00;30.77
hn0-hadoop;5;2024-07-15 11:42:31 UTC;-1;47.03;0.00;11.42;0.00;0.00;41.55
hn0-hadoop;5;2024-07-15 11:42:36 UTC;-1;45.11;0.00;11.83;0.00;0.00;43.06
hn0-hadoop;5;2024-07-15 11:42:41 UTC;-1;48.95;0.00;12.30;0.06;0.00;38.70
hn0-hadoop;5;2024-07-15 11:42:46 UTC;-1;47.30;0.00;16.89;0.00;0.00;35.82
hn0-hadoop;5;2024-07-15 11:42:51 UTC;-1;42.18;0.00;25.94;0.24;0.00;31.64
hn0-hadoop;5;2024-07-15 11:42:56 UTC;-1;42.06;0.00;23.65;0.00;0.00;34.30
hn0-hadoop;5;2024-07-15 11:43:01 UTC;-1;35.13;0.00;23.19;5.97;0.00;35.71
hn0-hadoop;5;2024-07-15 11:43:06 UTC;-1;42.45;0.00;11.85;0.41;0.00;45.28
hn0-hadoop;5;2024-07-15 11:43:11 UTC;-1;35.85;0.00;13.39;0.00;0.00;50.77
hn0-hadoop;5;2024-07-15 11:43:16 UTC;-1;28.47;0.00;14.58;0.00;0.00;56.95
hn0-hadoop;5;2024-07-15 11:43:21 UTC;-1;24.41;0.00;16.95;0.00;0.00;58.64
hn0-hadoop;5;2024-07-15 11:43:26 UTC;-1;52.62;0.00;33.88;0.06;0.00;13.44
hn0-hadoop;5;2024-07-15 11:43:31 UTC;-1;52.43;0.00;29.36;0.00;0.00;18.20
hn0-hadoop;5;2024-07-15 11:43:36 UTC;-1;54.97;0.00;32.17;0.25;0.00;12.61
hn0-hadoop;5;2024-07-15 11:43:41 UTC;-1;18.24;0.00;10.98;0.00;0.00;70.78
hn0-hadoop;5;2024-07-15 11:43:46 UTC;-1;29.47;0.00;11.08;0.06;0.00;59.39
hn0-hadoop;5;2024-07-15 11:43:51 UTC;-1;28.28;0.00;11.54;0.06;0.00;60.12
hn0-hadoop;5;2024-07-15 11:43:56 UTC;-1;6.92;0.00;5.34;0.00;0.00;87.74
hn0-hadoop;5;2024-07-15 11:44:01 UTC;-1;32.86;0.00;11.03;0.28;0.00;55.83
hn0-hadoop;5;2024-07-15 11:44:06 UTC;-1;42.22;0.00;17.78;0.00;0.00;40.00
hn0-hadoop;5;2024-07-15 11:44:11 UTC;-1;51.32;0.00;24.03;0.06;0.00;24.59
hn0-hadoop;5;2024-07-15 11:44:16 UTC;-1;17.76;0.00;8.18;0.00;0.00;74.07
hn0-hadoop;5;2024-07-15 11:44:21 UTC;-1;9.11;0.00;7.30;0.00;0.00;83.59
hn0-hadoop;5;2024-07-15 11:44:26 UTC;-1;48.77;0.00;16.72;0.00;0.00;34.52
hn0-hadoop;5;2024-07-15 11:44:31 UTC;-1;46.79;0.00;17.10;1.02;0.00;35.09
hn0-hadoop;5;2024-07-15 11:44:36 UTC;-1;45.63;0.00;17.43;0.00;0.00;36.94
hn0-hadoop;5;2024-07-15 11:44:41 UTC;-1;22.03;0.00;10.54;0.00;0.00;67.43
hn0-hadoop;5;2024-07-15 11:44:46 UTC;-1;21.49;0.00;9.13;0.00;0.00;69.38
hn0-hadoop;5;2024-07-15 11:44:51 UTC;-1;20.94;0.00;10.42;0.39;0.00;68.25
hn0-hadoop;5;2024-07-15 11:44:56 UTC;-1;5.82;0.00;5.03;0.00;0.00;89.15
hn0-hadoop;5;2024-07-15 11:45:01 UTC;-1;11.18;0.00;4.71;0.00;0.00;84.11
hn0-hadoop;5;2024-07-15 11:45:06 UTC;-1;11.19;0.00;6.43;0.11;0.00;82.27
hn0-hadoop;5;2024-07-15 11:45:11 UTC;-1;12.13;0.00;8.77;0.00;0.00;79.10
hn0-hadoop;5;2024-07-15 11:45:16 UTC;-1;23.84;0.00;10.24;0.06;0.00;65.86
hn0-hadoop;5;2024-07-15 11:45:21 UTC;-1;42.40;0.00;20.60;0.00;0.00;37.01
hn0-hadoop;5;2024-07-15 11:45:26 UTC;-1;58.72;0.00;21.33;0.00;0.00;19.95
hn0-hadoop;5;2024-07-15 11:45:31 UTC;-1;40.59;0.00;12.67;0.53;0.00;46.22
hn0-hadoop;5;2024-07-15 11:45:36 UTC;-1;7.24;0.00;5.24;0.16;0.00;87.36
hn0-hadoop;5;2024-07-15 11:45:41 UTC;-1;4.98;0.00;5.40;0.00;0.00;89.63
hn0-hadoop;5;2024-07-15 11:45:46 UTC;-1;5.81;0.00;4.70;0.00;0.00;89.49
hn0-hadoop;5;2024-07-15 11:45:51 UTC;-1;26.04;0.00;11.14;0.62;0.00;62.20
hn0-hadoop;5;2024-07-15 11:45:56 UTC;-1;29.77;0.00;11.43;0.00;0.00;58.80
hn0-hadoop;5;2024-07-15 11:46:01 UTC;-1;23.62;0.00;10.42;0.00;0.00;65.96
hn0-hadoop;5;2024-07-15 11:46:06 UTC;-1;8.56;0.00;8.07;0.00;0.00;83.37
hn0-hadoop;5;2024-07-15 11:46:11 UTC;-1;5.80;0.00;6.01;0.05;0.00;88.13
hn0-hadoop;5;2024-07-15 11:46:16 UTC;-1;4.40;0.00;4.82;0.00;0.00;90.79
hn0-hadoop;5;2024-07-15 11:46:21 UTC;-1;9.54;0.00;6.84;0.32;0.00;83.30
hn0-hadoop;5;2024-07-15 11:46:26 UTC;-1;51.67;0.00;22.62;0.00;0.00;25.71
hn0-hadoop;5;2024-07-15 11:46:31 UTC;-1;61.86;0.00;20.56;0.00;0.00;17.58
hn0-hadoop;5;2024-07-15 11:46:36 UTC;-1;43.72;0.00;16.42;0.24;0.00;39.63
hn0-hadoop;5;2024-07-15 11:46:41 UTC;-1;10.25;0.00;7.08;0.00;0.00;82.66
hn0-hadoop;5;2024-07-15 11:46:46 UTC;-1;4.98;0.00;4.67;0.00;0.00;90.35
hn0-hadoop;5;2024-07-15 11:46:51 UTC;-1;7.23;0.00;4.89;0.32;0.00;87.56
hn0-hadoop;5;2024-07-15 11:46:56 UTC;-1;5.51;0.00;5.14;0.00;0.00;89.35
hn0-hadoop;5;2024-07-15 11:47:01 UTC;-1;14.60;0.00;6.65;0.00;0.00;78.75
hn0-hadoop;5;2024-07-15 11:47:06 UTC;-1;21.72;0.00;9.17;0.00;0.00;69.11
hn0-hadoop;5;2024-07-15 11:47:11 UTC;-1;21.77;0.00;11.02;0.00;0.00;67.20
hn0-hadoop;5;2024-07-15 11:47:16 UTC;-1;11.58;0.00;6.95;0.05;0.00;81.42
hn0-hadoop;5;2024-07-15 11:47:21 UTC;-1;7.86;0.00;6.42;0.16;0.00;85.56
hn0-hadoop;5;2024-07-15 11:47:26 UTC;-1;9.33;0.00;7.09;0.00;0.00;83.58
hn0-hadoop;5;2024-07-15 11:47:31 UTC;-1;3.93;0.00;4.40;0.00;0.00;91.66
hn0-hadoop;5;2024-07-15 11:47:36 UTC;-1;15.27;0.00;7.74;0.00;0.00;76.99
hn0-hadoop;5;2024-07-15 11:47:41 UTC;-1;21.36;0.00;8.58;0.00;0.00;70.07
hn0-hadoop;5;2024-07-15 11:47:46 UTC;-1;22.61;0.00;9.35;0.00;0.00;68.05
hn0-hadoop;5;2024-07-15 11:47:51 UTC;-1;13.71;0.00;7.23;0.22;0.00;78.85
hn0-hadoop;5;2024-07-15 11:47:56 UTC;-1;15.01;0.00;5.95;0.05;0.00;78.99
hn0-hadoop;5;2024-07-15 11:48:01 UTC;-1;9.95;0.00;4.95;0.00;0.00;85.11
hn0-hadoop;5;2024-07-15 11:48:06 UTC;-1;4.94;0.00;4.73;0.00;0.00;90.33
hn0-hadoop;5;2024-07-15 11:48:11 UTC;-1;12.13;0.00;9.30;0.00;0.00;78.58
hn0-hadoop;5;2024-07-15 11:48:16 UTC;-1;22.96;0.00;9.01;0.00;0.00;68.03
hn0-hadoop;5;2024-07-15 11:48:21 UTC;-1;24.71;0.00;9.75;0.22;0.00;65.32
hn0-hadoop;5;2024-07-15 11:48:26 UTC;-1;19.01;0.00;10.60;0.05;0.00;70.34
hn0-hadoop;5;2024-07-15 11:48:31 UTC;-1;4.16;0.00;4.16;0.00;0.00;91.68
hn0-hadoop;5;2024-07-15 11:48:36 UTC;-1;5.28;0.00;5.79;0.00;0.00;88.93
hn0-hadoop;5;2024-07-15 11:48:41 UTC;-1;4.36;0.00;4.51;0.00;0.00;91.13
hn0-hadoop;5;2024-07-15 11:48:46 UTC;-1;11.03;0.00;7.60;0.00;0.00;81.37
hn0-hadoop;5;2024-07-15 11:48:51 UTC;-1;30.07;0.00;14.21;0.51;0.00;55.21
hn0-hadoop;5;2024-07-15 11:48:56 UTC;-1;24.27;0.00;11.60;0.00;0.00;64.13
hn0-hadoop;5;2024-07-15 11:49:01 UTC;-1;35.24;0.00;11.23;0.00;0.00;53.53
hn0-hadoop;5;2024-07-15 11:49:06 UTC;-1;27.73;0.00;9.22;0.00;0.00;63.05
hn0-hadoop;5;2024-07-15 11:49:11 UTC;-1;33.58;0.00;13.61;0.00;0.00;52.81
hn0-hadoop;5;2024-07-15 11:49:16 UTC;-1;5.27;0.00;5.17;0.00;0.00;89.56
hn0-hadoop;5;2024-07-15 11:49:21 UTC;-1;15.03;0.00;12.00;0.11;0.00;72.85
hn0-hadoop;5;2024-07-15 11:49:26 UTC;-1;64.90;0.00;30.99;0.00;0.00;4.11
hn0-hadoop;5;2024-07-15 11:49:31 UTC;-1;67.27;0.00;26.23;0.06;0.00;6.43
hn0-hadoop;5;2024-07-15 11:49:36 UTC;-1;63.66;0.00;30.76;0.00;0.00;5.58
hn0-hadoop;5;2024-07-15 11:49:41 UTC;-1;66.06;0.00;29.55;0.07;0.00;4.33
hn0-hadoop;5;2024-07-15 11:49:46 UTC;-1;38.08;0.00;13.43;0.17;0.00;48.32
hn0-hadoop;5;2024-07-15 11:49:51 UTC;-1;5.22;0.00;4.80;0.16;0.00;89.82
hn0-hadoop;5;2024-07-15 11:49:56 UTC;-1;6.54;0.00;7.33;0.00;0.00;86.13
hn0-hadoop;5;2024-07-15 11:50:01 UTC;-1;8.46;0.00;6.87;0.00;0.00;84.66
hn0-hadoop;5;2024-07-15 11:50:06 UTC;-1;22.77;0.00;9.70;0.00;0.00;67.53
hn0-hadoop;5;2024-07-15 11:50:11 UTC;-1;23.27;0.00;12.44;0.06;0.00;64.23
hn0-hadoop;5;2024-07-15 11:50:16 UTC;-1;23.68;0.00;9.93;0.00;0.00;66.39
hn0-hadoop;5;2024-07-15 11:50:21 UTC;-1;30.43;0.00;12.29;0.06;0.00;57.22
hn0-hadoop;5;2024-07-15 11:50:26 UTC;-1;49.76;0.00;18.72;0.00;0.00;31.52
hn0-hadoop;5;2024-07-15 11:50:31 UTC;-1;31.10;0.00;10.74;0.28;0.00;57.87
hn0-hadoop;5;2024-07-15 11:50:36 UTC;-1;9.80;0.00;5.64;0.05;0.00;84.50
