# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
hn0-hadoop;5;2024-07-15 11:42:21 UTC;17.60;8.00;9.60;315.20;4830.40
hn0-hadoop;5;2024-07-15 11:42:26 UTC;15.00;3.40;11.60;46.40;155.20
hn0-hadoop;5;2024-07-15 11:42:31 UTC;2.00;0.00;2.00;0.00;401.60
hn0-hadoop;5;2024-07-15 11:42:36 UTC;1.80;0.00;1.80;0.00;33.60
hn0-hadoop;5;2024-07-15 11:42:41 UTC;1.40;0.00;1.40;0.00;17.60
hn0-hadoop;5;2024-07-15 11:42:46 UTC;4.60;1.00;3.60;25.60;91.20
hn0-hadoop;5;2024-07-15 11:42:51 UTC;39.52;0.00;39.52;0.00;6831.14
hn0-hadoop;5;2024-07-15 11:42:56 UTC;137.80;0.20;137.60;1.60;24771.20
hn0-hadoop;5;2024-07-15 11:43:01 UTC;323.15;0.00;323.15;0.00;58566.07
hn0-hadoop;5;2024-07-15 11:43:06 UTC;90.80;0.00;90.80;0.00;19939.20
hn0-hadoop;5;2024-07-15 11:43:11 UTC;15.60;0.40;15.20;4.80;4723.20
hn0-hadoop;5;2024-07-15 11:43:16 UTC;1.20;0.00;1.20;0.00;27.20
hn0-hadoop;5;2024-07-15 11:43:21 UTC;2.20;0.00;2.20;0.00;24.00
hn0-hadoop;5;2024-07-15 11:43:26 UTC;8.00;0.00;8.00;0.00;83.20
hn0-hadoop;5;2024-07-15 11:43:31 UTC;6.20;0.00;6.20;0.00;2998.40
hn0-hadoop;5;2024-07-15 11:43:36 UTC;108.60;0.00;108.60;0.00;15568.00
hn0-hadoop;5;2024-07-15 11:43:41 UTC;4.00;0.00;4.00;0.00;57.60
hn0-hadoop;5;2024-07-15 11:43:46 UTC;1.00;0.00;1.00;0.00;14.40
hn0-hadoop;5;2024-07-15 11:43:51 UTC;3.00;0.00;3.00;0.00;30.40
hn0-hadoop;5;2024-07-15 11:43:56 UTC;1.80;0.00;1.80;0.00;48.00
hn0-hadoop;5;2024-07-15 11:44:01 UTC;7.39;0.00;7.39;0.00;715.37
hn0-hadoop;5;2024-07-15 11:44:06 UTC;36.80;0.00;36.80;0.00;3041.60
hn0-hadoop;5;2024-07-15 11:44:11 UTC;5.40;0.00;5.40;0.00;169.60
hn0-hadoop;5;2024-07-15 11:44:16 UTC;2.40;0.00;2.40;0.00;78.40
hn0-hadoop;5;2024-07-15 11:44:21 UTC;3.20;0.00;3.20;0.00;44.80
hn0-hadoop;5;2024-07-15 11:44:26 UTC;3.19;0.00;3.19;0.00;49.50
hn0-hadoop;5;2024-07-15 11:44:31 UTC;12.00;0.00;12.00;0.00;342.40
hn0-hadoop;5;2024-07-15 11:44:36 UTC;3.20;0.00;3.20;0.00;43.20
hn0-hadoop;5;2024-07-15 11:44:41 UTC;2.80;0.00;2.80;0.00;28.80
hn0-hadoop;5;2024-07-15 11:44:46 UTC;17.17;0.00;17.17;0.00;237.92
hn0-hadoop;5;2024-07-15 11:44:51 UTC;6.00;0.00;6.00;0.00;592.00
hn0-hadoop;5;2024-07-15 11:44:56 UTC;1.40;0.00;1.40;0.00;22.40
hn0-hadoop;5;2024-07-15 11:45:01 UTC;1.40;0.00;1.40;0.00;22.40
hn0-hadoop;5;2024-07-15 11:45:06 UTC;17.20;1.60;15.60;20.80;230.40
hn0-hadoop;5;2024-07-15 11:45:11 UTC;1.80;0.00;1.80;0.00;20.80
hn0-hadoop;5;2024-07-15 11:45:16 UTC;11.20;0.00;11.20;0.00;262.40
hn0-hadoop;5;2024-07-15 11:45:21 UTC;5.40;0.40;5.00;3.20;368.00
hn0-hadoop;5;2024-07-15 11:45:26 UTC;4.40;0.00;4.40;0.00;57.60
hn0-hadoop;5;2024-07-15 11:45:31 UTC;24.00;0.00;24.00;0.00;456.00
hn0-hadoop;5;2024-07-15 11:45:36 UTC;4.80;0.00;4.80;0.00;30.40
hn0-hadoop;5;2024-07-15 11:45:41 UTC;1.40;0.00;1.40;0.00;17.60
hn0-hadoop;5;2024-07-15 11:45:46 UTC;0.60;0.00;0.60;0.00;11.20
hn0-hadoop;5;2024-07-15 11:45:51 UTC;21.60;0.00;21.60;0.00;548.80
hn0-hadoop;5;2024-07-15 11:45:56 UTC;4.00;0.00;4.00;0.00;156.80
hn0-hadoop;5;2024-07-15 11:46:01 UTC;4.79;0.00;4.79;0.00;49.50
hn0-hadoop;5;2024-07-15 11:46:06 UTC;1.80;0.00;1.80;0.00;32.00
hn0-hadoop;5;2024-07-15 11:46:11 UTC;1.40;0.00;1.40;0.00;30.40
hn0-hadoop;5;2024-07-15 11:46:16 UTC;0.80;0.00;0.80;0.00;12.80
hn0-hadoop;5;2024-07-15 11:46:21 UTC;6.20;0.20;6.00;1.60;164.80
hn0-hadoop;5;2024-07-15 11:46:26 UTC;11.00;0.00;11.00;0.00;220.80
hn0-hadoop;5;2024-07-15 11:46:31 UTC;4.40;0.00;4.40;0.00;91.20
hn0-hadoop;5;2024-07-15 11:46:36 UTC;7.80;0.00;7.80;0.00;70.40
hn0-hadoop;5;2024-07-15 11:46:41 UTC;1.60;0.00;1.60;0.00;19.20
hn0-hadoop;5;2024-07-15 11:46:46 UTC;1.20;0.00;1.20;0.00;16.00
hn0-hadoop;5;2024-07-15 11:46:51 UTC;3.00;0.00;3.00;0.00;617.60
hn0-hadoop;5;2024-07-15 11:46:56 UTC;23.80;0.00;23.80;0.00;712.00
hn0-hadoop;5;2024-07-15 11:47:01 UTC;2.80;0.00;2.80;0.00;76.80
hn0-hadoop;5;2024-07-15 11:47:06 UTC;2.80;0.00;2.80;0.00;204.80
hn0-hadoop;5;2024-07-15 11:47:11 UTC;3.40;0.00;3.40;0.00;36.80
hn0-hadoop;5;2024-07-15 11:47:16 UTC;2.40;0.00;2.40;0.00;28.80
hn0-hadoop;5;2024-07-15 11:47:21 UTC;3.20;0.20;3.00;1.60;147.20
hn0-hadoop;5;2024-07-15 11:47:26 UTC;8.60;0.00;8.60;0.00;140.80
hn0-hadoop;5;2024-07-15 11:47:31 UTC;1.00;0.00;1.00;0.00;17.60
hn0-hadoop;5;2024-07-15 11:47:36 UTC;2.40;0.00;2.40;0.00;68.80
hn0-hadoop;5;2024-07-15 11:47:41 UTC;3.00;0.00;3.00;0.00;68.80
hn0-hadoop;5;2024-07-15 11:47:46 UTC;3.20;0.00;3.20;0.00;32.00
hn0-hadoop;5;2024-07-15 11:47:51 UTC;3.20;0.00;3.20;0.00;164.80
hn0-hadoop;5;2024-07-15 11:47:56 UTC;20.20;0.00;20.20;0.00;275.20
hn0-hadoop;5;2024-07-15 11:48:01 UTC;3.20;0.00;3.20;0.00;48.00
hn0-hadoop;5;2024-07-15 11:48:06 UTC;0.60;0.00;0.60;0.00;11.20
hn0-hadoop;5;2024-07-15 11:48:11 UTC;11.60;0.00;11.60;0.00;310.40
hn0-hadoop;5;2024-07-15 11:48:16 UTC;2.80;0.00;2.80;0.00;78.40
hn0-hadoop;5;2024-07-15 11:48:21 UTC;11.60;0.20;11.40;1.60;395.20
hn0-hadoop;5;2024-07-15 11:48:26 UTC;3.80;0.00;3.80;0.00;52.80
