# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
hn0-hadoop;5;2024-07-15 14:13:35 UTC;1392884;1693752;6743648;82.88;44300;489620;12347008;79.78;5005808;1294120;3280
hn0-hadoop;5;2024-07-15 14:13:40 UTC;1258976;1560244;6877556;84.53;44304;489760;12603120;81.43;5138296;1294236;3472
hn0-hadoop;5;2024-07-15 14:13:45 UTC;1326536;1627716;6809996;83.70;44304;489672;12554772;81.12;5072476;1294148;3092
hn0-hadoop;5;2024-07-15 14:13:50 UTC;1215780;1516984;6920752;85.06;44364;489696;12727928;82.24;5177172;1293824;2836
hn0-hadoop;5;2024-07-15 14:13:55 UTC;1157856;1478956;6978676;85.77;44472;509444;12875568;83.19;5219408;1313112;22228
hn0-hadoop;5;2024-07-15 14:14:00 UTC;894036;1273608;7242496;89.01;44480;567888;12954536;83.70;5423988;1371580;79720
hn0-hadoop;5;2024-07-15 14:14:05 UTC;839940;1219888;7296592;89.68;44480;568220;13041400;84.27;5477600;1371860;79864
hn0-hadoop;5;2024-07-15 14:14:10 UTC;832784;1135800;7303748;89.76;44480;491296;13526512;87.40;5559572;1294780;2564
hn0-hadoop;5;2024-07-15 14:14:15 UTC;831212;1134276;7305320;89.78;44480;491308;13131828;84.85;5562920;1293672;2456
hn0-hadoop;5;2024-07-15 14:14:20 UTC;812200;1115216;7324332;90.02;44488;491336;13191852;85.24;5581228;1293448;2868
hn0-hadoop;5;2024-07-15 14:14:25 UTC;701608;1004384;7434924;91.38;44488;491144;13586592;87.79;5692052;1293264;3788
hn0-hadoop;5;2024-07-15 14:14:30 UTC;755908;1058716;7380624;90.71;44496;491168;13639680;88.13;5636668;1293288;1972
hn0-hadoop;5;2024-07-15 14:14:35 UTC;624216;927096;7512316;92.33;44496;491188;13768740;88.97;5768660;1293044;2000
hn0-hadoop;5;2024-07-15 14:14:40 UTC;817296;1120160;7319236;89.96;44496;491172;13257296;85.66;5574884;1292916;1848
hn0-hadoop;5;2024-07-15 14:14:45 UTC;800140;1103416;7336392;90.17;44496;491488;13274352;85.77;5592124;1293212;3108
hn0-hadoop;5;2024-07-15 14:14:50 UTC;807820;1111452;7328712;90.07;44508;493808;13218328;85.41;5583700;1295532;1264
hn0-hadoop;5;2024-07-15 14:14:55 UTC;805720;1109252;7330812;90.10;44508;493680;13211232;85.36;5586808;1294996;1184
hn0-hadoop;5;2024-07-15 14:15:00 UTC;821336;1124772;7315196;89.91;44516;493572;13191356;85.23;5572116;1294900;1092
hn0-hadoop;5;2024-07-15 14:15:05 UTC;819980;1123500;7316552;89.92;44516;493612;13195916;85.26;5572600;1294844;1128
hn0-hadoop;5;2024-07-15 14:15:10 UTC;810688;1114232;7325844;90.04;44516;493636;13192836;85.24;5581484;1294872;1148
hn0-hadoop;5;2024-07-15 14:15:15 UTC;809276;1112712;7327256;90.05;44516;491696;13176248;85.14;5583448;1296324;1204
hn0-hadoop;5;2024-07-15 14:15:20 UTC;750948;1054780;7385584;90.77;44532;492152;13481704;87.11;5641068;1296388;2248
hn0-hadoop;5;2024-07-15 14:15:25 UTC;688612;992260;7447920;91.54;44536;492032;13506656;87.27;5703016;1296192;1512
hn0-hadoop;5;2024-07-15 14:15:30 UTC;643480;947808;7493052;92.09;44544;492620;13458224;86.96;5747424;1296780;2112
hn0-hadoop;5;2024-07-15 14:15:35 UTC;817084;1120796;7319448;89.96;44544;492268;13088248;84.57;5577080;1295936;1784
hn0-hadoop;5;2024-07-15 14:15:40 UTC;822912;1126596;7313620;89.89;44544;491992;13093800;84.60;5569768;1295656;1496
