# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
hn0-hadoop;5;2024-07-10 00:17:45 UTC;eth0;163.40;144.40;97.50;41.37;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:17:45 UTC;lo;32.40;32.40;30.82;30.82;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:17:50 UTC;eth0;114.00;116.60;42.86;227.62;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:17:50 UTC;lo;35.60;35.60;78.58;78.58;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:17:55 UTC;eth0;104.00;108.40;49.38;50.94;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:17:55 UTC;lo;28.40;28.40;24.62;24.62;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:00 UTC;eth0;123.00;118.80;57.24;37.65;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:00 UTC;lo;49.80;49.80;283.75;283.75;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:05 UTC;eth0;104.60;104.40;54.00;55.82;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:05 UTC;lo;40.80;40.80;36.94;36.94;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:10 UTC;eth0;110.80;113.40;58.94;36.28;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:10 UTC;lo;19.60;19.60;8.44;8.44;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:15 UTC;eth0;64.27;61.68;33.06;9.11;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:15 UTC;lo;65.67;65.67;53.37;53.37;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:20 UTC;eth0;61.40;75.60;24.34;34.90;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:20 UTC;lo;34.20;34.20;11.52;11.52;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:25 UTC;eth0;53.20;58.60;25.05;12.01;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:25 UTC;lo;31.80;31.80;17.37;17.37;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:30 UTC;eth0;85.00;71.20;56.38;11.46;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:30 UTC;lo;27.80;27.80;51.34;51.34;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:35 UTC;eth0;259.80;257.00;55.96;1585.60;0.00;0.00;0.00;0.03
hn0-hadoop;5;2024-07-10 00:18:35 UTC;lo;27.60;27.60;14.11;14.11;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:40 UTC;eth0;108.20;89.80;72.25;17.20;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:40 UTC;lo;56.00;56.00;72.88;72.88;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:45 UTC;eth0;73.40;81.00;33.68;13.12;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:45 UTC;lo;24.60;24.60;24.70;24.70;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:50 UTC;eth0;65.80;83.00;23.57;115.99;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:50 UTC;lo;31.40;31.40;21.01;21.01;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:55 UTC;eth0;36.53;48.90;8.00;7.38;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:18:55 UTC;lo;22.95;22.95;11.04;11.04;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:00 UTC;eth0;82.80;74.80;49.30;12.26;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:00 UTC;lo;30.80;30.80;12.74;12.74;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:05 UTC;eth0;44.40;56.20;16.27;14.03;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:05 UTC;lo;44.00;44.00;328.52;328.52;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:10 UTC;eth0;60.80;80.80;20.70;15.81;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:10 UTC;lo;16.60;16.60;8.07;8.07;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:15 UTC;eth0;109.80;85.40;80.47;12.45;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:15 UTC;lo;63.20;63.20;31.64;31.64;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:20 UTC;eth0;42.80;57.60;13.83;10.30;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:20 UTC;lo;24.20;24.20;14.63;14.63;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:25 UTC;eth0;52.40;63.20;21.47;13.34;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:25 UTC;lo;24.20;24.20;17.02;17.02;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:30 UTC;eth0;110.80;92.60;73.00;13.91;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:30 UTC;lo;145.20;145.20;269.87;269.87;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:35 UTC;eth0;34.00;49.80;8.54;10.13;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:35 UTC;lo;768.20;768.20;150.80;150.80;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:40 UTC;eth0;138.00;97.40;111.98;14.09;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:40 UTC;lo;42.80;42.80;34.80;34.80;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:45 UTC;eth0;70.80;75.80;32.45;13.10;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:45 UTC;lo;52.80;52.80;35.09;35.09;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:50 UTC;eth0;75.40;94.00;27.78;85.93;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:50 UTC;lo;23.00;23.00;9.33;9.33;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:55 UTC;eth0;45.40;59.60;12.88;10.45;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:19:55 UTC;lo;32.20;32.20;28.85;28.85;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:20:00 UTC;eth0;67.00;70.40;33.37;11.79;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:20:00 UTC;lo;30.20;30.20;45.43;45.43;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:20:05 UTC;eth0;71.80;79.80;27.63;36.72;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:20:05 UTC;lo;27.40;27.40;24.12;24.12;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:20:10 UTC;eth0;59.40;71.60;21.88;12.35;0.00;0.00;0.00;0.00
hn0-hadoop;5;2024-07-10 00:20:10 UTC;lo;21.40;21.40;10.99;10.99;0.00;0.00;0.00;0.00
